단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
activate,verb,작동시키다; 활성화하다,기능을 켜거나 움직이게 함.,Latin activare,기계·생물 기능,일상/과학,타동사,타동사,activate + N,해당 없음,해당 없음,act+ivate,activation,actualize와 혼동,turn on,deactivate,activate the system,The enzyme is activated by heat.,-ate 동사형 규칙.,"과학, 기술",상,2,X,"O, X: activate=비활성화 → X, Q1 명사형? activation"
activation,noun,활성화,작동하거나 활성 상태로 전환됨.,activate에서 파생,생화학,격식,명사,불가산,activation of,of,해당 없음,act+ivation,activate,actualization과 혼동,stimulation,deactivation,activation of immune cells,The activation process begins.,-tion 명사형 규칙.,과학,상,2,X,"O, X: activation=정지 → X, Q1 동사형? activate"
classify,verb,분류하다,공통 특성에 따라 나누다.,Latin classis(등급),생물 분류학,격식,타동사,타동사,classify into,into,해당 없음,class+ify,classification,clarify와 혼동,categorize,merge,classify items into groups,The data are classified.,-ify 동사형 규칙.,학문,상,2,X,"O, X: classify=합치다 → X, Q1 명사형? classification"
automatic,adjective,자동의,사람 조작 없이 작동하는.,Greek automatos,심리 automatic thinking,일상,형용사,해당 없음,automatic system,해당 없음,해당 없음,auto+matic,automatically,manual과 대비,mechanical,manual,an automatic door,The response was automatic.,auto=스스로 연상.,기술,상,1,X,"O, X: automatic=수동적인 → X, Q1 반의어? manual"
manual,"adjective, noun",수동의; 설명서,사람 손으로 작동하거나 안내 책자.,Latin manus(손),매뉴얼 북,일상,"형, 명",해당 없음,manual labor,해당 없음,해당 없음,manu+al,manually,manufacture와 혼동,hand-operated,automatic,"manual control, user manual",Manual work is tiring.,manual=손 연상.,"일반, 기술",상,1,X,"O, X: manual=자동 → X, Q1 부사형? manually"
manually,adverb,수동으로; 손으로,자동이 아닌 사람 손으로.,manual에서 파생,기술적 문맥,일상,부사,해당 없음,manually adjust,해당 없음,해당 없음,manual+ly,manual,manufacture와 혼동,by hand,automatically,You must operate it manually.,The settings were manually changed.,"manual, manualy 세트.",기술,중,1,X,"O, X: manually=자동으로 → X, Q1 형용사형? manual"
visual,adjective,시각의; 눈으로 보는,눈을 통해 인지되는 것.,Latin visus(시각),visual arts,격식/일상,형용사,해당 없음,visual effect,해당 없음,해당 없음,vis+ual,visualize,video와 혼동,optical,auditory,visual learners,The film has strong visual imagery.,vis=see 기억.,"예술, 심리",상,2,X,"O, X: visual=청각의 → X, Q1 명사형? vision"
equation,noun,방정식; 동일시,수학식 또는 두 요소를 동일히 취급함.,Latin aequare,사회적 equation,격식,명사,"가산, 불가산",equation of A with B,"of, with",해당 없음,equa+tion,equate,equality와 혼동,formula,disparity,"solve the equation, equation of success with money",This equation is complex.,-tion 명사형 규칙.,"수학, 사회",상,3,X,"O, X: equation=불균형 → X, Q1 동사형? equate"
equate,verb,동일시하다,A=B로 인정하거나 해석함.,Latin aequare,비유적 사용 많음,격식,타동사,타동사,equate A with B,with,A with B,equa+te,equation,equal과 혼동,identify with,separate,Some equate success with wealth.,Don't equate price with value.,with 필수.,"논리, 사회",상,2,X,"O, X: equate=분리하다 → X, Q1 명사형? equation"
equational,adjective,방정식의,방정식 또는 수학적 식 관련.,equation에서 파생,격식,격식,형용사,해당 없음,equational form,해당 없음,해당 없음,equation+al,equation,equality와 혼동,mathematical,non-mathematical,equational reasoning,The system follows an equational pattern.,-al 형용사 규칙.,수학,중,3,X,"O, X: equational=비수학적 → X, Q1 명사형? equation"
