단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
deliver,verb,배달하다; 전달하다,물건·말·서비스 등을 목적지에 도달하게 함.,Latin deliberare,약속 이행 의미도,일상,타동사,타동사,deliver + N,해당 없음,해당 없음,de+liver,delivery,develop과 혼동,send,withhold,"deliver a message, deliver goods",They delivered the package on time.,deliver on(약속 이행)도 중요.,일반,상,2,X,"O, X: deliver=숨기다 → X, Q1 명사형? delivery"
delivery,noun,배달; 출산,무언가를 가져다 주는 행위 또는 아이 출산.,deliver에서 파생,speech delivery 의미도,일상/격식,명사,"가산, 불가산",delivery of,of,해당 없음,deliver+y,deliverable,deliver와 혼동,shipment,withholding,"free delivery, delivery of goods",She had a safe delivery.,출산 의미 주의.,"일상, 의학",상,2,X,"O, X: delivery=삭제 → X, Q1 동사형? deliver"
envelop,verb,감싸다; 뒤덮다,사물이 완전히 둘러싸이는 상태.,Old French envoloper,감정·안개가 감싸다,격식,타동사,타동사,envelop in,in,해당 없음,en+velop,enveloping,envelope(봉투)와 혼동,surround,expose,fog enveloped the town,She was enveloped in silence.,envelope(명사)와 구분.,문학,중,3,X,"O, X: envelop=봉투 → X, Q1 명사형? envelope(다른 단어)"
stamp,"noun, verb",우표; 도장 찍다,도장을 찍거나 우표를 붙이는 행위.,Germanic stampf(밟다),강한 찍기 의미,일상,"명, 동",타동사,stamp on,on,on,stamp,stamping,stomp과 혼동,seal,erase,"put a stamp on the letter, stamp the form",He stamped on the ground.,stamp on=짓밟다 의미도.,"우편, 일상",상,1,X,"O, X: stamp=지우다 → X, Q1 동의어? seal"
respondent,noun,응답자; 피고,설문 응답자 또는 법적 소송의 피고.,respond에서 파생,법 용어에서 중요,격식,명사,가산,respondent to,to,해당 없음,respond+ent,response,correspondent과 혼동,answerer,plaintiff,survey respondent,The respondent denied the charges.,respondent vs correspondent 구별.,"법, 조사",상,3,X,"O, X: respondent=원고 → X, Q1 반의어? plaintiff"
respond,verb,응답하다; 반응하다,말·행동에 대해 답하거나 반응함.,Latin respondere,의학·기계 반응도,일상,자동사,자동사,respond to,to,해당 없음,re+spond,response,correspond와 혼동,reply,ignore,"respond to a question, respond quickly",The body responds to stress.,respond to 필수.,일상,상,1,X,"O, X: respond=무시하다 → X, Q1 명사형? response"
transaction,noun,거래; 처리,재화·서비스 교환 또는 업무 처리.,Latin transigere,은행·회계 용어,격식,명사,가산,transaction with,with,해당 없음,trans+act+ion,transact,transition과 혼동,deal,inaction,financial transactions,The transaction was completed.,transact 동사와 연결.,"경제, 비즈니스",상,3,X,"O, X: transaction=정지 → X, Q1 동사형? transact"
deal,"verb, noun",처리하다; 거래,문제 해결 또는 상거래 활동.,Old English dǣlan(나누다),big deal(중요한 일),일상,"동, 명",둘 다,deal with,with,with,deal,dealer,dial과 혼동,handle,ignore,"deal with problems, make a deal",It's not a big deal.,deal with 패턴 필수.,"일상, 비즈니스",상,1,X,"O, X: deal=피하다 → X, Q1 전치사? deal with"
transact,verb,거래하다; 처리하다,공식적·상업적 일을 수행함.,Latin transigere,deal보다 격식,격식,타동사,타동사,transact with,with,해당 없음,trans+act,transaction,transform과 혼동,conduct,ignore,transact business with partners,They transact electronically.,transaction과 세트.,비즈니스,중,3,X,"O, X: transact=놀다 → X, Q1 명사형? transaction"
cherish,verb,소중히 여기다,감정·기억·사람을 아끼고 귀하게 여김.,Old French cherir,사랑·추억 의미 강조,문학/일상,타동사,타동사,cherish + N,해당 없음,해당 없음,cher+ish,cherished,chair과 혼동,treasure,neglect,"cherish memories, cherish a child",She cherished the moment.,감정적·긍정적 뉘앙스.,"감정, 문학",중,2,X,"O, X: cherish=무시하다 → X, Q1 동의어? treasure"
