단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
absolutely,adverb,절대적으로; 완전히,강조·전적 동의를 나타냄.,absolute에서 파생,비격식 대답 ‘완전 그렇지!’,일상/격식,부사,해당 없음,해당 없음,해당 없음,해당 없음,absolute+ly,absolute,obsolete와 혼동,completely,partially,Absolutely right.,The room was absolutely silent.,강조부사로 매우 자주 사용.,일반,상,2,X,"O, X: absolutely는 형용사 → X, Q1 형용사형? absolute"
draft,"noun, verb",초안; 설계하다,최종본 전의 임시 문서.,독일어 draft(끌다),군대 징집 의미도 있음,격식/일상,"명사, 타동사",타동사,draft + N,해당 없음,해당 없음,draft,drafting,daft와 혼동,outline,final,"write a draft, draft a plan",This is just a draft.,draft=초안 의미 확실히.,"문서, 업무",상,3,X,"O, X: draft는 동사 사용 가능 → O, Q1 징집 의미도 있다? yes"
spell,"verb, noun",철자를 쓰다; 기간,단어의 철자를 말하거나 적다.,중세 영어 spellen,마법 ‘주문’ 의미도,일상,"동사, 명사",타동사,spell + N,해당 없음,해당 없음,spell,spelling,sell과 혼동,write letters,miswrite,"spell a word, a cold spell",Spelling matters.,spell=철자 vs spell=기간.,일반,상,2,X,"O, X: spell은 명사 의미도 있다 → O, Q1 명사 의미? 기간"
modify,verb,수정하다; 조정하다,형태·내용을 바꾸어 더 적합하게 함.,라틴어 modificare,문법: 수식하다,격식,타동사,타동사,modify + N,해당 없음,해당 없음,mod(방법)+ify,modification,amplify와 혼동,adjust,maintain,modify the plan,The rule was modified.,change보다 부분적 변화.,"업무, 학문",상,3,X,"O, X: modify는 자동사 → X, Q1 명사형? modification"
modification,noun,수정; 변경,기존 내용을 일부 고치는 행위.,modify에서 파생,생물학: 변이 의미도,격식,명사,"가산, 불가산",modification of,해당 없음,해당 없음,modify+cation,modifier,modulator와 혼동,adjustment,maintenance,a slight modification,Genetic modification,modify와 세트로 암기.,"학문, 업무",상,3,X,"O, X: modification은 변이 의미도 있다 → O, Q1 동사형? modify"
tragic,adjective,비극적인,슬프고 파국적 결과를 낳는.,그리스어 tragikos,일상: 안타까운,격식/일상,형용사,해당 없음,tragic for,해당 없음,해당 없음,trag(염소)+ic,tragedy,traffic과 혼동,disastrous,comic,tragic accident,Her death was tragic.,tragedy와 쌍으로 학습.,"문학, 일상",중,3,X,"O, X: tragic=희극적 → X, Q1 명사형? tragedy"
tragedy,noun,비극; 참사,슬프고 파국적인 사건.,그리스 tragodia,연극·사건 모두,격식/일상,명사,"가산, 불가산",tragedy of,해당 없음,해당 없음,trag(염소)+ody,tragic,strategy와 혼동,disaster,comedy,a national tragedy,Losing him was a tragedy.,tragedy ↔ comedy 대비.,"문학, 일반",상,3,X,"O, X: tragedy는 희극 → X, Q1 형용사형? tragic"
complicate,verb,복잡하게 만들다,단순한 것을 복잡하게 증가시킴.,라틴 complicare(접다),상황 악화 의미,격식,타동사,타동사,complicate + N,해당 없음,해당 없음,com+plicate,complication,duplicate와 혼동,make complex,simplify,complicate the issue,The plan was complicated by delay.,complicate ↔ simple.,"사회, 업무",중,4,X,"O, X: complicate는 자동사 → X, Q1 명사형? complication"
mythical,adjective,신화적인; 사실이 아닌,신화 속 존재 또는 근거 없는 이야기.,myth에서 파생,‘상상 속’ 의미,격식,형용사,해당 없음,mythical to,해당 없음,해당 없음,myth+ical,mythology,mystical과 혼동,legendary,real,mythical creatures,His success became mythical.,myth vs mythic 구분.,문학,중,3,X,"O, X: mythical=실존하는 → X, Q1 명사형? myth"
imply,verb,암시하다; 숨은 뜻을 내포하다,명시하지 않고 간접적으로 드러냄.,라틴어 implicare(포함하다),논리학 필수,격식,타동사,타동사,imply + N,해당 없음,해당 없음,im(안에)+ply(접다),implication,infer와 혼동,suggest,state clearly,imply a meaning,Silence implies consent.,imply ↔ infer 구별.,"언어, 논리",상,4,X,"O, X: imply=infer → X, Q1 명사형? implication"
