단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
ignorant,adjective,무지한; 알지 못하는,지식·정보가 부족한 상태.,Latin ignorare,무례 의미도,일상/격식,형용사,해당 없음,"ignorant of, about","of, about",해당 없음,ign+or+ant,ignorance,ignore와 혼동,unaware,informed,He is ignorant of the facts.,Don't be ignorant about science.,무례함 의미 주의.,"교육, 일반",상,2,X,"O, X: ignorant=잘 아는 → X, Q1 명사형? ignorance"
ignorance,noun,무지; 무식,지식 부족으로 인한 이해 결여.,Latin ignorantia,격식,격식,명사,불가산,"ignorance of, about","of, about",해당 없음,ign+or+ance,ignorant,ignore와 혼동,unawareness,knowledge,their ignorance of history,Ignorance led to mistakes.,-ance 명사형.,교육,상,2,X,"O, X: ignorance=지식 → X, Q1 형용사형? ignorant"
association,noun,연관; 단체,무언가가 연결되거나 단체 조직.,Latin associare,심리학 용례,격식/일상,명사,"가산, 불가산",association with,with,해당 없음,asso+ciation,associate,assertion과 혼동,connection,separation,strong association with smoking,a trade association,associate와 세트.,"심리, 사회",상,2,X,"O, X: association=분리 → X, Q1 동사형? associate"
assumption,noun,가정; 추정,근거 없이 사실로 받아들이는 것.,Latin assumere,철학 용례,일상/격식,명사,가산,assumption that,that,절,as+sum+ption,assume,resume과 혼동,presumption,certainty,The assumption was wrong.,a common assumption,that절 가능.,학문,상,2,X,"O, X: assumption=확실한 사실 → X, Q1 동사형? assume"
assume,verb,가정하다; 떠맡다,근거 없이 사실로 여기거나 임무를 맡음.,Latin assumere,두 의미 주의,일상/격식,타동사,타동,assume that,that,절,as+sumere,assumption,consume과 혼동,presume,verify,He assumed it was true.,She assumed responsibility.,responsibility와 잘 결합.,일반,상,1,X,"O, X: assume=확인하다 → X, Q1 명사형? assumption"
distraction,noun,주의 산만; 방해 요소,집중을 방해하는 것.,Latin dis+trahere,일상적,일상,명사,"가산, 불가산",distraction from,from,해당 없음,dis+tract+ion,distract,traction과 혼동,disturbance,focus,Phones are a major distraction.,He worked without distraction.,tract=끌다 어근.,일상,상,1,X,"O, X: distraction=집중 → X, Q1 동사형? distract"
subjective,adjective,주관적인,개인 감정·의견 중심.,Latin subjectivus,철학·심리,격식,형용사,해당 없음,subjective view,해당 없음,해당 없음,subject+ive,subjectivity,objective와 대비,personal,objective,a subjective judgment,Taste is subjective.,objective와 짝지어 암기.,철학,상,2,X,"O, X: subjective=객관적 → X, Q1 명사형? subjectivity"
objective,"adjective, noun",객관적인; 목표,개인 감정 배제 또는 달성 목표.,Latin objectivus,두 의미 핵심,격식/일상,"형, 명",해당 없음,objective view,해당 없음,해당 없음,object+ive,objectivity,object와 혼동,unbiased,subjective,an objective report,achieve your objectives,두 의미 모두 중요.,학문,상,1,X,"O, X: objective=주관적 → X, Q1 명사형(성질)? objectivity"
end up -ing,expression,결국 ~하게 되다,의도와 달리 최종 결과가 특정 상태임.,구동사,일상 빈출,일상,구,해당 없음,end up -ing,-ing,해당 없음,end+up,해당 없음,wind up와 유사,finally become,start,They ended up losing.,We ended up staying home.,-ing 필수.,일상,상,1,X,"O, X: end up to-v → X, Q1 형태? end up -ing"
interfere,verb,간섭하다; 방해하다,타인의 일이나 과정을 막거나 개입.,Latin interferire,전파 간섭 포함,격식/일상,자동사,자동사,"interfere with, in","with, in",해당 없음,inter+fere,interference,interrupt와 혼동,meddle,assist,Don't interfere with my work.,The signal interferes.,"with=방해, in=간섭.",일반,상,2,X,"O, X: interfere=돕다 → X, Q1 명사형? interference"
