단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
friction,noun,"마찰, 불화",물리적 마찰 또는 사람 간의 갈등을 의미.,라틴어 fricare(문지르다)에서 유래.,물리·비유 모두 가능.,일상/학술,명사,"불가산, 가산",friction between,해당 없음,fric(문지르다) + -tion,frictional,conflict(비유),"conflict, rubbing",harmony,"social friction, friction between surfaces",1) There is friction between the teams. 2) Friction causes heat.,물리/비유 의미 둘 다 암기.,"물리, 사회",중,5,X,X,"Q1: friction 뜻? → 마찰, Q2: 비유적 의미? → 불화, Q3: collocation? → friction between"
disclosure,noun,"공개, 폭로",감춰진 정보를 드러내어 밝힘.,라틴어 disclosure(열다)에서 유래.,정책·언론에서 ‘정보공개’ 의미 강함.,격식적,명사,"가산, 불가산",disclosure of,해당 없음,해당 없음,dis- (not) + close(닫다),disclose,exposure(유사),"revelation, exposure",concealment,"financial disclosure, disclosure of information",1) The disclosure shocked the public. 2) Companies must provide full disclosure.,"disclose, disclosure 세트 암기.","법, 언론, 경영",중,6,X,"Q1: disclosure 뜻? → 공개, Q2: 동사형? → disclose, Q3: collocation? → disclosure of"
go through,phrasal verb,"겪다, 검토하다",단계·문서·상황을 통과하거나 경험함.,고대 영어 gangen(가다)에서 유래.,감정·문서·절차 등 폭넓게 사용.,일상적,"자동사, 구동사",자동사,해당 없음,go through + N,해당 없음,go + through,going through,experience(경험),"experience, undergo",avoid,"go through hardship, go through documents",1) She went through a tough time. 2) Let's go through the report.,"문맥별 의미(경험, 검토) 구분.","일상, 업무",고,4,X,"Q1: go through 의미? → 겪다, 검토하다, Q2: 전치사? → through, Q3: 유사어? → undergo"
be regarded as,expression,~로 여겨지다,어떤 대상이 특정한 성질·범주로 평가됨.,regard(보다)에서 파생.,주로 평가·인지·평판을 나타냄.,격식적,구문,수동 구문,해당 없음,be regarded as + 명사,보어 필요,re- (again) + gard(보다),"regard, regarding",consider(유사),"considered as, viewed as",ignore,be regarded as important,1) He is regarded as a genius. 2) This is regarded as a major issue.,consider와 유사하지만 수동형에 주의.,"일상, 학술",고,4,X,"Q1: be regarded ___? → as, Q2: 의미? → ~로 여겨지다, Q3: 유사 표현? → be considered"
relevant,adjective,"관련 있는, 적절한",어떤 주제·상황과 밀접한 관련이 있음.,라틴어 relevare(가볍게 하다)에서 확장.,적절성·연관성을 강조.,격식/일상,형용사,해당 없음,해당 없음,relevant to,해당 없음,re- + levare(들다),"relevance, relevantly",related(유사),"related, pertinent",irrelevant,"relevant information, relevant data",1) The data is relevant to our study. 2) Provide only relevant details.,relevant ↔ irrelevant 대비.,"학술, 업무",고,4,X,"Q1: relevant 뜻? → 관련 있는, Q2: 반의어? → irrelevant, Q3: 전치사? → to"
irrelevant,adjective,관련 없는,주제와 관계가 없음을 강조.,relevant에 부정 접두사 ir-.,부정적·비판적 뉘앙스.,격식/일상,형용사,해당 없음,해당 없음,irrelevant to,해당 없음,ir- + relevant,irrelevance,relevant(반의어),unrelated,relevant,"irrelevant details, irrelevant answer",1) Your comment is irrelevant to the topic. 2) This data is irrelevant.,ir- 부정 접두사 주의.,"학술, 업무",고,4,X,"Q1: irrelevant 반의어? → relevant, Q2: 전치사? → to, Q3: 의미? → 관련 없는"
relevance,noun,"관련성, 적절성",어떤 정보가 목적·주제와 어떻게 연관되는지.,relevant의 명사형.,학술·법·데이터 분석에서 사용.,격식적,명사,불가산,relevance to,해당 없음,해당 없음,relevant + -ance,irrelevance,importance(혼동),"importance, pertinence",irrelevance,"relevance to the topic, social relevance",1) The relevance of the study is clear. 2) This fact has little relevance.,"relevant, relevance 함께 암기.","학술, 법",중,4,X,"Q1: relevance 뜻? → 관련성, Q2: 반의어? → irrelevance, Q3: 전치사? → to"
explicit,adjective,"명확한, 분명한",숨김 없이 직접적으로 표현된 상태.,라틴어 explicitus(펼쳐진)에서 유래.,설명·지시·규칙에서 자주 사용.,격식적,형용사,해당 없음,해당 없음,explicit about,해당 없음,ex- (밖으로) + plicare(접다),"explicitly, explicity",implicit(반의어),"clear, direct",implicit,"explicit instructions, explicit warning",1) The rules are explicit. 2) She gave explicit directions.,explicit ↔ implicit 쌍으로 암기.,"학술, 업무",고,5,X,"Q1: explicit 뜻? → 명확한, Q2: 반의어? → implicit, Q3: collocation? → explicit instruction"
implicit,adjective,"암시적인, 내포된",직접 표현하지 않고 포함된 의미.,라틴어 implicitus(감싸진)에서 유래.,심리·언어학·분석 분야에서 자주 등장.,격식적,형용사,해당 없음,해당 없음,implicit in,해당 없음,im- (in) + plicare(접다),implicitly,explicit(반의어),"implied, indirect",explicit,"implicit meaning, implicit bias",1) There is an implicit message in the text. 2) His silence was implicit approval.,explicit과 대비해 기억.,"언어, 심리, 학술",고,5,X,"Q1: implicit 반의어? → explicit, Q2: 전치사? implicit ___ → in, Q3: 의미? → 암시적"
explicitly,adverb,"명확히, 분명하게",직접적으로 표현함을 강조.,explicit + -ly,규정·설명·지시에서 자주 사용.,격식적,부사,해당 없음,해당 없음,explicitly state,해당 없음,explicit + -ly,explicit,clearly(유사),"clearly, directly",implicitly,"explicitly mention, explicitly state",1) The rules explicitly forbid smoking. 2) She explicitly said no.,explicit와 함께 학습.,"학술, 법, 업무",고,4,X,"Q1: explicitly 뜻? → 명확히, Q2: 반의어? → implicitly, Q3: related adjective? → explicit"
