"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"explain","verb","설명하다","이해하도록 의미를 밝히는 행위.","Latin explanare","clarify보다 자세함","일상/격식","타동사","타동사","explain + N, explain that","that","절","ex+plain","explanation","exclaim과 혼동","clarify","confuse","He explained the problem.","Explain why you were late.","that 절 가능.","교육, 일반","상","1","X","O, X: explain=혼란주다 → X, Q1 명사형? explanation"
"grant","verb, noun","승인하다; 보조금","요청을 허가하거나 자금을 제공.","Old French granter","정책·법률 용어","격식","타동사","타동사","grant + N","해당 없음","해당 없음","grant","granting","grand와 혼동","approve","deny","The visa was granted.","They received a research grant.","grant=공식 승인 느낌.","정책, 법","상","2","X","O, X: grant=거부하다 → X, Q1 명사 의미? 보조금"
"award","verb, noun","수여하다; 상","자격·성과에 대한 공식적 수여.","Old French eswarder","법적 배상 award","격식/일상","동, 명","타동사","award + O + N","O+N","해당 없음","a+ward","awarded","reward와 혼동","present","withhold","She was awarded a prize.","the award ceremony","award vs reward 구별.","일반, 법","상","1","X","O, X: award=보복하다 → X, Q1 비교어? reward"
"inevitable","adjective","피할 수 없는","반드시 일어나는 성질.","Latin inevitabilis","negative 뉘앙스","격식","형용사","해당 없음","inevitable result","해당 없음","해당 없음","in+evitable","inevitably","avoidable와 혼동","unavoidable","avoidable","It was inevitable.","an inevitable consequence","in- = not 기억.","학문, 일반","상","2","X","O, X: inevitable=피할 수 있는 → X, Q1 부사형? inevitably"
"inevitably","adverb","피할 수 없이","결과를 피할 방법이 없는 상태.","inevitable에서 파생","격식","격식","부사","해당 없음","inevitably + S V","해당 없음","S V","in+evitable+ly","inevitable","avoidably와 혼동","unavoidably","avoidably","He inevitably failed.","The two inevitably met.","논리적 결론 표현.","학문, 일반","상","2","X","O, X: inevitably=우연히 → X, Q1 형용사형? inevitable"
"get rid of","expression","제거하다; 없애다","불필요한 것을 치우거나 버림.","rid=remove","일상적 비격식","일상","구","해당 없음","get rid of + N","of","N","rid","rid of","get off와 혼동","remove","keep","I want to get rid of this habit.","Get rid of old clothes.","of 필수.","일상","상","1","X","O, X: get rid of=보관하다 → X, Q1 전치사? of"
"eliminate","verb","제거하다; 없애다","불필요·해로운 요소를 완전히 없앰.","Latin eliminare","격식적 용어","격식/과학","타동사","타동사","eliminate + N","해당 없음","해당 없음","e+limin+ate","elimination","illuminate와 혼동","remove","preserve","We must eliminate errors.","The plan eliminates waste.","eliminate=완전 제거.","학문, 정책","상","2","X","O, X: eliminate=보존하다 → X, Q1 명사형? elimination"
"policy","noun","정책; 방침","정부·조직의 공식적인 행동 계획.","Greek polis(도시)","회사 policy","격식/일상","명사","가산","policy on","on","해당 없음","pol+icy","policies","police와 혼동","strategy","impulse","government policy, company policy","The policy must change.","on 전치사 암기.","정치, 조직","상","2","X","O, X: policy=충동 → X, Q1 전치사? on"
"disguise","verb, noun","변장하다; 위장","정체를 숨기기 위해 겉모습을 바꿈.","French desguiser","비유적 의미","일상","동, 명","타동","disguise + N","해당 없음","해당 없음","dis+guise","disguised","discuss와 혼동","mask","reveal","He disguised himself.","Her anger was disguised as humor.","guise=모습.","일상","중","2","X","O, X: disguise=드러내다 → X, Q1 명사형? disguise"
"captive","adjective, noun","사로잡힌; 포로","자유를 박탈당한 상태의 사람/동물.","Latin captivus","심리적 captive","격식","형, 명","해당 없음","captive audience","해당 없음","해당 없음","capt+ive","captivity","capture와 혼동","imprisoned","free","captive animals, held captive","They kept him captive.","capt- 어근=잡다.","법, 사회","중","3","X","O, X: captive=자유로운 → X, Q1 명사형? captivity"
