단어,품사,주요 의미,핵심 의미 요약,어원,의미 확장,뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어,형태론 분석,파생어,혼동 주의,동의어,반의어,콜로케이션,예문,학습 팁,분야 태그,빈도,난이도,OX 문항,미니 퀴즈
reduction,noun,감소; 축소,양·규모를 줄이는 행위.,Latin reducere,세금 reduction,격식/일상,명사,가산/불가산,reduction in/of,in/of,-,re+duct+ion,reduce,deduction과 혼동,decrease,increase,a reduction in cost,The reduction was significant.,reduce와 연결.,경제/일반,상,1,O/X: reduction=증가 → X,Q1 동사형? reduce
fabricate,verb,조작하다; 제작하다,사실을 꾸며내거나 물건을 만들다.,Latin fabricare,거짓말 fabricate,격식,타동,타동,fabricate + N,-,-,fabr+icate,fabrication,fabric과 혼동,manufacture,destroy,They fabricated evidence.,The parts were fabricated.,fabric=천과 구분.,법/기술,중,2,O/X: fabricate=입증하다 → X,Q1 명사형? fabrication
accumulate,verb,축적하다; 쌓이다,양·지식 등이 점점 쌓임.,Latin accumulare,wealth accumulate,격식,자동/타동,auto/tado,accumulate + N,-,-,ac+cum+ulate,accumulation,accommodate와 혼동,amass,dissipate,He accumulated wealth.,Dust accumulated.,accumulation과 세트.,경제/일반,상,2,O/X: accumulate=흩뜨리다 → X,Q1 명사형? accumulation
accumulation,noun,축적; 누적,오래 쌓여 모인 양.,Latin accumulare,학문 용례,격식,명사,가산/불가산,accumulation of,of,-,ac+cum+ulation,accumulate,accommodation과 혼동,collection,dissipation,the accumulation of data,Snow accumulation increased.,-ation 명사형.,경제/과학,상,2,O/X: accumulation=분산 → X,Q1 동사형? accumulate
accumulative,adjective,누적되는; 축적하는,점점 쌓이는 성질.,accumulate에서 파생,통계·경제,격식,형용사,-,accumulative effect,-,-,ac+cum+ulative,accumulation,accusative와 혼동,growing,diminishing,an accumulative process,accumulative profits,형용사형 활용.,경제/학문,중,2,O/X: accumulative=감소하는 → X,Q1 명사형? accumulation
discard,verb,버리다; 폐기하다,쓸모 없거나 원하지 않아 버림.,Old French descarter,카드 게임 discard,일상/격식,타동,타동,discard + N,-,-,dis+card,discarded,discord와 혼동,throw away,keep,He discarded old papers.,The rule was discarded.,discard=격식 throw away.,일상/격식,상,1,O/X: discard=보관하다 → X,Q1 동의어? throw away
throw away,phrasal verb,버리다,필요 없는 것을 던져 버리다.,throw+away,비격식,일상,구동사,타동,throw away + N,-,-,throw+away,thrown away,throw up과 혼동,discard,keep,Don't throw it away.,She threw away the receipt.,가벼운 표현.,일상,상,1,O/X: throw away=보관하다 → X,Q1 격식 표현? discard
dispose of,phrasal verb,처리하다; 폐기하다,문제·쓰레기 등을 적절히 처리.,Latin disponere,격식,격식,구동사,자동,dispose of + N,of,-,dis+pose+of,disposal,compose와 혼동,discard,keep,Dispose of waste properly.,He disposed of the evidence.,of 필수.,법/환경,상,2,O/X: dispose of=보관하다 → X,Q1 명사형? disposal
get rid of,expression,없애다; 버리다,불필요한 것을 제거.,rid=제거,일상,일상,구,-,get rid of + N,of,-,rid,rid of,ride와 혼동,eliminate,keep,He got rid of old clothes.,You must get rid of the smell.,회화 핵심 표현.,일상,상,1,O/X: get rid of=보관하다 → X,Q1 동의어? eliminate
(the) chances are (that),expression,아마 ~일 것이다,가능성이 높음을 나타냄.,chance,회화체,일상,구,-,chances are (that) S V,-,절,chance+s,chance,changes와 혼동,probably,unlikely,Chances are he'll come.,Chances are that it will rain.,회화에서 매우 빈출.,일상,상,1,O/X: chances are=불가능하다 → X,Q1 구조? chances are (that) S V
