단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
manipulate,verb,조종하다; 능숙하게 다루다,사람·사물을 교묘하게 통제하거나 다룸.,Latin manus(손)+plere,부정적 뉘앙스 빈번,격식,타동사,타동사,타동,manipulate + N,해당 없음,해당 없음,manu+pilate,manipulation,manufacture와 혼동,control,release,He manipulated the data.,They manipulated public opinion.,manu=손 어근 기억.,"사회, 심리",상,3,"O, X: manipulate=방임하다 → X, Q1 명사형? manipulation"
manipulation,noun,조작; 조종,교묘하게 통제를 가하는 행위.,manipulate에서 파생,부정적 의미 강함,격식,명사,해당 없음,"불가산, 가산",manipulation of,of,해당 없음,manu+pil+ation,manipulate,mutilation과 혼동,control,freedom,manipulation of results,political manipulation,부정적 의미 강조.,"사회, 정치",상,3,"O, X: manipulation=정직성 → X, Q1 동사형? manipulate"
uneasy,adjective,불안한; 불편한,마음이 편하지 않고 걱정됨.,un+easy,감정 묘사,일상,형용사,해당 없음,해당 없음,uneasy about,about,해당 없음,un+easy,uneasiness,dizzy와 혼동,anxious,comfortable,He felt uneasy.,an uneasy silence,about 전치사 기억.,감정,상,1,"O, X: uneasy=편안 → X, Q1 명사형? uneasiness"
go through,phrasal verb,겪다; 경험하다,어려움·과정을 모두 지나감.,구동사,일상적,일상,"자동, 타동","자동, 타동","auto, tado",go through + N,해당 없음,해당 없음,go+through,해당 없음,go over와 혼동,experience,avoid,We went through hard times.,She is going through a divorce.,go through=겪다 고정.,일상,상,1,"O, X: go through=건너뛰다 → X, Q1 비슷한 표현? undergo"
stress,"noun, verb",스트레스; 강조하다,정신적 압박 또는 강조 행위.,Latin stringere,학문·일상,일상/격식,"명, 동","명, 동",타동,stress + N,해당 없음,해당 없음,stress,stressed,stretch와 혼동,pressure,relief,"reduce stress, He stressed the importance.",mental stress,명사·동사 둘 다 중요.,심리,상,1,"O, X: stress=휴식 → X, Q1 동사 뜻? 강조하다"
stressful,adjective,스트레스를 주는,압박을 유발하는 상황.,stress에서 파생,일상,일상,형용사,해당 없음,해당 없음,stressful situation,해당 없음,해당 없음,stress+ful,stress,stressed와 혼동,tense,relaxing,It was a stressful day.,Her job is stressful.,stress vs stressful.,심리,상,1,"O, X: stressful=편안 → X, Q1 명사형? stress"
desperate,adjective,절망적인; 필사적인,희망이 거의 없거나 필사적 시도.,Latin desperare,위험/필사 느낌,격식/일상,형용사,해당 없음,해당 없음,desperate for,for,해당 없음,de+sper+ate,desperately,separate와 혼동,hopeless,calm,They were desperate for help.,a desperate attempt,for 전치사 암기.,감정,상,2,"O, X: desperate=여유로운 → X, Q1 부사형? desperately"
desperately,adverb,필사적으로; 간절히,절박하거나 매우 강하게.,desperate 파생,일상,일상,부사,부사,해당 없음,"desperately + V, adj",해당 없음,해당 없음,desper+ately,desperate,separately와 혼동,urgently,calmly,He desperately needed money.,She tried desperately.,-ly 부사형.,감정,상,1,"O, X: desperately=느긋하게 → X, Q1 형용사형? desperate"
stability,noun,안정; 견고함,흔들리지 않고 지속되는 상태.,Latin stabilis,경제·사회·과학,격식,명사,해당 없음,불가산,stability of,of,해당 없음,stabil+ity,stable,station과 혼동,steadiness,instability,economic stability,The bridge has high stability.,stable-stability 세트.,"경제, 물리",상,2,"O, X: stability=불안정 → X, Q1 형용사형? stable"
overwhelm,verb,압도하다; 휩쓸다,감정·힘으로 완전히 제압함.,over+whelm,감정 압도,일상/격식,타동사,타동사,타동,overwhelm + N,해당 없음,해당 없음,over+whelm,overwhelming,overwhelm vs overcome 혼동,overpower,comfort,The news overwhelmed him.,She was overwhelmed with joy.,with joy 패턴 중요.,감정,상,2,"O, X: overwhelm=편안 → X, Q1 형용사형? overwhelming"
