단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
band,"noun, verb",띠; 악단; 묶다,띠 형태의 물건 또는 음악 그룹을 의미.,게르만어 bindan,의미 다의적(띠/그룹/주파수대),일상,"명사, 타동",타동 가능,가산,band of,해당 없음,band(묶다),banded,bind와 혼동,group,separate,a rock band,He banded papers together.,band의 뜻 3개 구분.,"음악, 일상",고,3,X,"O, X: band는 ‘묶다’ 동사도 있다 → O, Q1 뜻 3개?"
certify,verb,증명하다,사실·품질을 공식적으로 확인함.,라틴어 certus(확실한),공문서·의학·품질 보증 분야,격식,타동사,타동사,certify + O,해당 없음,해당 없음,cert(확실)+ify,"certificate, certification",certify vs verify,confirm,deny,certify a document,The product is certified safe.,certificate와 세트.,"법, 공문",중,4,X,"O, X: certify는 타동사이다 → O, Q1 명사형? certificate"
chiefly,adverb,"주로, 대개",가장 중요한 부분을 강조.,chief에서 파생,격식/일상,부사,해당 없음,해당 없음,해당 없음,해당 없음,chief + ly,chief,chief(명사)와 구별,mainly,rarely,chiefly because,He works chiefly at night.,chief↔chiefly 구분.,일반,중,3,O/X: chiefly=chief → X,X,Q1 의미?
deprive,verb,박탈하다,필요한 것을 빼앗아 결핍시키다.,라틴어 deprivare,법/사회 분야 자주 사용,격식,타동사,타동사,deprive A of B,해당 없음,A of B,de+prive(빼앗다),deprived,derive와 혼동주의,strip,give,deprive children of care,They were deprived of sleep.,of 구조 필수.,"사회, 법",고,4,X,"O, X: deprive of 구조는 틀리다 → X, Q1 구조? A of B"
rob,verb,강탈하다,폭력·위협으로 빼앗음.,고대 영어 robbian,범죄 관련 맥락,일상/법,타동사,타동사,rob + 사람,rob A of B,A of B,"rob + -,","robbery, robber",steal과 혼동주의,steal from,give,rob a bank,He robbed me of my wallet.,rob vs steal 구조 구분.,법,고,3,X,"O, X: rob a thing은 자연스러움 → X, Q1 rob vs steal?"
deprivation,noun,"박탈, 결핍",필수 요소가 부족한 상태.,deprive에서 파생,사회·보건 분야에서 중요,격식,명사,불가산,deprivation of,해당 없음,해당 없음,deprive+ation,deprived,depravity와 혼동,lack,abundance,sleep deprivation,Deprivation affects health.,불가산 주의.,"심리, 보건",중,4,X,"O, X: deprivation은 가산명사이다 → X, Q1 전치사? of"
deprive A of B,grammar,A에게서 B를 빼앗다,특정 문형이 고정된 구문.,라틴어 deprive,법/격식,구문,타동사,해당 없음,A of B,B가 목적어,de+prive,deprivation,rob와 구조 비교,strip A of B,supply A with B,deprive people of rights,They were deprived of freedom.,of 반드시 사용.,"문법, 법",중,3,O/X: deprive A from B → X,X,Q1 구조? A of B
outcome,noun,결과,과정 끝에 드러나는 최종 결과.,out(밖)+come(오다),격식/일상 모두,명사,가산,outcome of,해당 없음,해당 없음,out+come,해당 없음,income과 혼동,result,cause,the outcome of the trial,We expect a positive outcome.,result와 유사.,일반,고,3,O/X: outcome은 가산명사이다 → O,X,Q1 outcome vs income?
consequence,noun,"결과, 영향",행동의 논리적·중요한 결과.,라틴어 consequi(뒤따르다),격식적·법적 의미로 강함,명사,"가산, 불가산",consequence of,해당 없음,해당 없음,con+sequi,consequent,result와 차이,result,cause,serious consequences,He faced consequences.,심각한 결과 의미 강함.,"법, 일반",고,4,O/X: consequence는 가벼운 결과 의미만 있다 → X,X,Q1 전치사? of
exceed,verb,"초과하다, 넘다",기준·양·한계를 넘어섬.,라틴어 excedere(밖으로 나가다),수량·속도·한계 등 다양한 맥락,격식,타동사,타동사,exceed + N,해당 없음,해당 없음,ex+ceed,"excess, excessive",excel과 혼동,surpass,fall short,exceed expectations,The speed exceeded 100 km/h.,"excess, exceed 구분.","수량, 법",고,4,X,"O, X: exceed 뒤 전치사 필요 → X, Q1 명사형? excess"
