단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),OX 체크용 문항(기본값 X),미니 퀴즈(3문항 선택형)
straw,noun,짚; 빨대,건조된 식물 줄기 또는 음료 빨대.,Old English streaw,비유: 마지막 짚,일상,명사,가산,straw for,for,-,straw,strawy,strain과 혼동,hay,plastic tube,drink through a straw / a straw hat,He grabbed the last straw.,idiom ‘the last straw’ 중요.,일상/농업,상,1,O/X: straw=금속 빨대 → X,Q1 숙어? the last straw
remain,verb,남다; 유지되다,변하지 않고 계속 존재함.,Latin remanere,remain + adj,일상,자동사,자동사,remain + adj,-,adj,re+main,remainder,remind와 혼동,stay,disappear,remain calm / remain unchanged,He remained in the room.,remain + 보어 구조 중요.,일반,상,1,O/X: remain=사라지다 → X,Q1 보어? adjective
utilize,verb,활용하다,효율적으로 사용하여 이익을 얻음.,Latin utilis(쓸모 있는),격식 뉘앙스,격식,타동사,타동사,utilize for,for,-,util+ize,utilization,use와 혼동,use,waste,utilize resources efficiently,The tool is utilized for work.,utilize=격식 use.,기술/학문,중,3,O/X: utilize=버리다 → X,Q1 명사형? utilization
make use of,expression,활용하다,무언가를 목적에 맞게 사용함.,Old English macian,use와 동일 함수,일상,구,-,make use of + N,of,-,make+use+of,usage,make do with와 혼동,utilize,ignore,make use of data,We made use of the tools.,of 필수.,일상,상,1,O/X: make use for → X,Q1 동의어? utilize
utility,noun,유용성; 공익 서비스,무언가가 쓸모 있는 정도 또는 전기·가스 등의 공공요금.,Latin utilitas,경제학 효용,격식,명사,가산/불가산,utility of,of,-,util+ity,utilities,utilize와 혼동,usefulness,uselessness,water utility / economic utility,Utility costs are rising.,경제학 의미 중요.,경제/공공,상,2,O/X: utility=무용함 → X,Q1 복수형? utilities
conserve,verb,보존하다; 절약하다,자원을 보호하거나 아껴 씀.,Latin conservare,음식 보존 conserve,격식,타동사,타동사,conserve + N,-,-,con+serve,conservation,preserve와 혼동,save,waste,conserve water / conserve energy,We must conserve resources.,preserve와 의미 비교.,환경,상,2,O/X: conserve=낭비하다 → X,Q1 명사형? conservation
preserve,verb,보존하다; 지키다,원래 상태를 유지하거나 보호함.,Latin praeservare,음식 저장도,격식,타동사,타동사,preserve from,from,-,pre+serve,preservation,reserve와 혼동,maintain,destroy,preserve nature / preserve traditions,The ruins are preserved.,conserve와 차이(절약 vs 유지).,역사/환경,상,2,O/X: preserve=파괴하다 → X,Q1 명사형? preservation
conservation,noun,보존; 자연 보호,환경·자원·문화재의 보호 활동.,conserve에서 파생,과학·지구환경 분야,격식,명사,불가산,conservation of,of,-,conserve+ation,conservative,conversation과 혼동,protection,destruction,wildlife conservation,Conservation is important.,conserve/preserve/conservation 구별.,환경,상,3,O/X: conservation=파괴 → X,Q1 형용사형? conservative
conservative,adjective/noun,보수적인; 보수주의자,변화를 경계하고 전통을 중시하는 성향.,Latin conservare,정치 성향,격식/일상,형/명,-,conservative about,about,-,conserve+ative,conservatism,conversation과 혼동,traditional,progressive,conservative views / a Conservative,He is politically conservative.,문맥 따라 정치/성향.,정치/문화,상,3,O/X: conservative=진보적 → X,Q1 명사형? conservatism
generate,verb,생성하다; 발생시키다,새로운 것·에너지·아이디어 등을 만들어 냄.,Latin generare,컴퓨터·전력 분야,격식/일상,타동사,타동사,generate + N,-,-,gener+ate,generation,degenerate와 혼동,produce,cease,generate electricity / generate ideas,The engine generates power.,generation과 연결.,기술/과학,상,2,O/X: generate=소멸시키다 → X,Q1 명사형? generation
