"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"consequent","adjective","~의 결과로 일어나는","특정 사건의 직접적 결과를 나타냄.","라틴어 consequi(따르다)에서 유래.","학술·논리적 맥락에서 자주 사용.","격식적","형용사","해당 없음","해당 없음","consequent on","해당 없음","con- + sequi(따르다)","consequence, consequently","subsequent(시간), resulting(유사)","resulting","causal","consequent changes, consequent effects","1) The flood was consequent on heavy rain. 2) Consequent damages were reported.","consequence와 품사 구분.","학술, 논리, 사회","중","5","X","Q1: consequent 뜻? → 결과로, Q2: 전치사? consequent ___ → on, Q3: 명사형? → consequence"
"consequently","adverb","그 결과, 따라서","앞선 내용의 결과로 이어짐을 표현.","consequent + -ly 파생.","논리적 글쓰기에서 자주 사용.","격식적","부사","해당 없음","해당 없음","해당 없음","해당 없음","consequent + -ly","consequence","therefore(유사)","therefore, thus","nonetheless","Consequently, S + V","1) It rained heavily; consequently, the match was canceled.","논리 연결사 세트로 학습.","논리, 학술, 글쓰기","고","4","X","Q1: consequently 의미? → 그 결과, Q2: 유사어? → therefore, Q3: 품사? → 부사"
"restore","verb","복구하다, 회복하다","원래 상태로 되돌리거나 다시 사용 가능하게 함.","라틴어 restaurare(다시 세우다)에서 유래.","건물·정신·건강 등 다양한 대상에 적용.","격식적","타동사","타동사","해당 없음","restore + O","해당 없음","re- (다시) + store(세우다)","restoration, restorative","repair(유사)","repair, revive","damage","restore order, restore a building","1) The government restored the old palace. 2) His confidence was restored.","restore, restoration 세트 암기.","건축, 심리, 사회","고","5","X","Q1: restore 뜻? → 복구하다, Q2: 명사형? → restoration, Q3: collocation? → restore order"
"reconstruct","verb","재건하다, 재구성하다","무너진 구조물·기억·사건을 다시 만들거나 분석함.","re- + construct에서 파생.","물리적·추상적 분야 모두 사용.","격식적","타동사","타동사","해당 없음","reconstruct + O","해당 없음","re- + struct(쌓다)","reconstruction","restore(복구), rebuild(물리적)","rebuild, restore","destroy","reconstruct a building, reconstruct events","1) The police reconstructed the crime scene. 2) They reconstructed the bridge.","construct 구조 기억.","과학, 수사, 건축","중","6","X","Q1: reconstruct 뜻? → 재구성, Q2: 반의어? → destroy, Q3: 명사형? → reconstruction"
"restoration","noun","복구, 회복","원래 상태를 되찾는 과정.","restore의 명사형.","건축·건강·질서 등 폭넓게 사용.","격식적","명사","불가산, 가산","restoration of","해당 없음","해당 없음","restore + -ation","restorative","construction(혼동 주의: 건축)","repair, revival","destruction","restoration work, restoration of peace","1) The restoration of the building took years. 2) Restoration of peace was achieved.","restore, restoration 세트 학습.","건축, 사회, 심리","중","5","X","Q1: restoration 품사? → 명사, Q2: 의미? → 복구, Q3: collocation? → restoration of peace"
"adversity","noun","역경, 고난","힘들고 불리한 상황을 의미.","라틴어 adversus(반대되는)에서 유래.","문학·격식적 문맥에서 사용.","격식적/문학적","명사","불가산","in the face of adversity","해당 없음","해당 없음","ad- (toward) + vers(돌다)","adverse, adversely","hardship(유사)","hardship, misfortune","fortune","overcome adversity","1) He overcame great adversity. 2) Adversity builds character.","adverse, adversity 구분 필요.","심리, 문학, 사회","중","6","X","Q1: adversity 뜻? → 역경, Q2: 형용사형? → adverse, Q3: collocation? → overcome adversity"
"hardship","noun","고난, 어려움","경제적·육체적·정신적 고통과 어려움.","hard + -ship의 결합.","경제·이민·생계 관련 문맥에 많음.","일상/격식","명사","가산, 불가산","해당 없음","해당 없음","해당 없음","hard + -ship","hardships","difficulty(유사)","difficulty, adversity","comfort","financial hardship, endure hardship","1) Many families face economic hardship. 2) He endured many hardships.","경제, 생활 단어들과 연상.","경제, 사회","고","4","X","Q1: hardship 의미? → 고난, Q2: 반의어? → comfort, Q3: collocation? → economic hardship"
"refer","verb","언급하다, 참고하다","정보·사람·자료의 출처를 지목하거나 연결함.","라틴어 referre(되돌리다, 보고하다)에서 유래.","문서·학술에서 ‘참고하라’ 의미로 자주 사용.","격식적","자동사, 타동사","자동사","해당 없음","refer to ~","해당 없음","re- + ferre(나르다)","reference, referral","mention(일상)","mention, cite","ignore","refer to a book, refer to a problem","1) Please refer to page 10. 2) He referred to the data in his speech.","refer to 구문 필수 암기.","학술, 문서, 일상","고","4","X","Q1: refer 전치사? → to, Q2: 명사형? → reference, Q3: 의미? → 언급, 참고하다"
"scatter","verb","흩뿌리다, 흩어지다","물건·사람 등이 여러 방향으로 퍼짐.","스칸디나비아계 어원.","물리적·비유적 확산 모두.","일상적","자동사, 타동사","둘 다 가능","해당 없음","scatter + O, scatter over","해당 없음","어근 불명확","scattered","disperse(유사)","spread, disperse","gather","scatter seeds, scatter papers","1) The wind scattered the leaves. 2) People scattered in all directions.","scatter, disperse 구분.","자연, 일상","중","4","X","Q1: scatter 뜻? → 흩뿌리다, Q2: 반의어? → gather, Q3: collocation? → scatter seeds"
"disperse","verb","흩어지다, 해산시키다","묶여 있던 것이 사방으로 퍼지거나 흩어짐.","라틴어 dispergere(흩뿌리다)에서 유래.","군중 해산 등에서 자주 사용.","격식적","자동사, 타동사","둘 다 가능","해당 없음","disperse + O","해당 없음","dis- (분리) + spergere(뿌리다)","dispersion","scatter(일상), dissolve(유사)","scatter, dissolve","assemble","disperse a crowd, clouds disperse","1) Police dispersed the crowd. 2) The fog slowly dispersed.","disperse는 공식적·격식적 느낌.","법, 자연, 학술","중","5","X","Q1: disperse 뜻? → 흩어지다, Q2: 유사어? → scatter, Q3: 군중 해산 표현? → disperse a crowd"
