단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
deplete,verb,"고갈시키다, 소모시키다",자원·에너지를 써서 줄어들게 하다.,"라틴어 'de-'(벗겨내다) + 'plere'(채우다)에서 유래, ‘채운 것을 빼앗다’ 의미 발전.",자원·재고·에너지 등을 줄이다(주로 수동적·계속적 소모에 사용).,중립적·학술적(환경·경제 문맥에서 자주 사용).,타동사,"가산, 불가산 적용 불필요(대상명사와 함께 사용)",deplete + O,해당 없음,"접두사 de-(제거), 어근 plete(채우다)","depletion(명사), depleted(형용사)",exhaust (혼동 가능),"exhaust, use up",replenish,deplete resources (자원 고갈시키다),1) (기본) The long drought depleted the reservoir. 2) (중급) Intensive farming has depleted soil nutrients. 3) (고급) The campaign's expenditures depleted the party's coffers.,"de- 의미 제거, plete(채우다)를 연상; depletion과 함께 묶어 학습.","환경, 경제, 과학",중,6,X,X,"Q1: 'Deplete'는 주로 (A) 채우다 (B) 줄이다 (C) 보호하다 → B, Q2: 'depletion'의 품사? (A) 동사 (B) 명사 (C) 형용사 → B, Q3: 다음 중 동의어는? (A) replenish (B) exhaust (C) protect → B"
protest,"verb, noun",항의하다; 항의(시위),공개적으로 불만을 표명하거나 이의를 제기하다.,라틴어 protestari(공개적으로 증언하다)에서 유래; 근대에 정치·사회적 시위 의미 확장.,"행동·말로 반대 의견을 표출(시위, 서한, 공개 발언).",격식적·일상적·정치적 문맥 모두 사용.,"자동사, 타동사 가능","가산(시위 a protest), 불가산(항의행위)",protest against + O,해당 없음,pro- (앞으로) + test(증언),"protester, protesterion(비표준)",complain(혼동 가능),"object, complain",agree,protest loudly (강하게 항의하다),1) (쉬움) They protested against the new law. 2) (중급) Hundreds of protesters gathered in the capital to voice their discontent. 3) (고급) He registered a formal protest with the board.,시위자(protester)과 동사형을 함께 외우기; 'protest against' 패턴 연습.,"정치, 사회, 법",중,4,X,X,"Q1: 'Protest'는 주로 어떤 행위? (A) 찬성 (B) 항의 (C) 설명 → B, Q2: 올바른 전치사: protest ___ the decision (A) for (B) against (C) with → B, Q3: 명사형은? (A) protesting (B) protest (C) protests → B"
definite,adjective,"명확한, 확실한",모호함 없이 분명히 규정되거나 확인된 상태.,라틴어 'definitus'에서 유래(끝을 정하다).,확실·명확을 강조(정의·시간·계획 등에서 사용).,격식적·일상적 사용 가능.,형용사,해당 없음,해당 없음,해당 없음,해당 없음,de-(완성) + finite(경계가 있는),"definitely(부사), definition(관련)",specific(비슷하지만 용도차),"clear, certain",indefinite,definite article (문법적 용례),1) The deadline is definite: it's March 1. 2) Her intentions are definite and well thought out.,"'definite'와 'definitive' 구분: definite=분명한, definitive=결정적·권위있는.","문법, 일상",고,3,X,"Q1: 'Definite'의 뜻은? (A) 불확실한 (B) 분명한 (C) 혼동되는 → B, Q2: 부사형은? (A) definately (B) definitely (C) definetly → B, Q3: 반의어는? (A) certain (B) indefinite (C) precise → B"
invest,verb,투자하다; (시간·권한을) 투입하다,자금·시간·자원 등을 어떤 목적을 위해 투입하다.,"라틴어 'investire'(옷을 입히다, 권한을 부여하다)에서 유래; 금융 의미 확장.",금융적 투자와 비금융적 투입(시간·노력) 두 축으로 사용.,"비격식~격식 모두, 경제·경영 문맥에서 빈번.",타동사,보통 가산 명사와 결합 (investment),"invest in + O, invest O with (권한을 부여)",필수보어 없음,접두사 in- + vest(입히다),"investment, investor, reinvest",spend(혼동 가능),"put money into, fund",withdraw (재정적 반대어는 withdraw),invest in stocks,1) (쉬움) She invested in a mutual fund. 2) (중급) The government invested considerable resources in the renewable sector. 3) (고급) They decided to invest authority in the new committee.,financial context와 'invest in' 패턴을 먼저 외우기.,"경제, 금융, 경영",고,5,X,X,"Q1: 'Invest in' 다음에 오는 것은? (A) 사람만 (B) 사물·사람 모두 (C) 동사원형 → B, Q2: 명사형은? (A) investation (B) investment (C) investor → B, Q3: 'invest'의 또 다른 뜻은? (A) 빼앗다 (B) 권한을 부여하다 (C) 무시하다 → B"
advent,noun,"출현, 도래",중요한 사건·기술·시대의 등장(도래)을 가리킨다.,라틴어 'adventus'(도착)에서 유래; 기독교적 맥락(강림절)을 포함하여 일반적 '도래' 의미로 확장.,새로운 시대나 기술의 등장을 표현할 때 사용.,격식적·학술적,명사,불가산이 일반적,the advent of + N,해당 없음,ad- + vent(오다),adventurous(형용사 동일 어근),arrival (유사),"arrival, coming",departure,the advent of the internet (인터넷의 등장),"1) The advent of smartphones changed communication. 2) With the advent of industrialization, many social changes occurred.",역사적 '도래' 의미로 사건 연표와 함께 학습.,"역사, 기술, 사회",중,6,X,X,"Q1: 'Advent'는 주로 (A) 소멸 (B) 도래 (C) 지속 → B, Q2: 올바른 표현: the advent ___ the internet (A) in (B) of (C) to → B, Q3: 품사는? (A) 동사 (B) 명사 (C) 형용사 → B"
designate,"verb, adjective",지정하다; 지명된,사람·장소를 공식적으로 지정하거나 이름을 붙이다.,라틴어 designatus(지정된)에서 유래; 공식·관리적 맥락에서 사용.,공식적으로 역할·위치·이름을 할당하거나 지명하다.,공식적·행정적 레지스터.,"타동사, 형용사(past participle)","가산, 불가산 해당 없음","designate as, designate person for role",보어 없이 목적어 필요,de- + signare(표시하다),"designation, designated",appoint (유사),"appoint, nominate",remove (반의어 문맥적),"designated driver, designated area",1) He was designated as team leader. 2) The committee designated a site for the festival.,공식 문서 예문으로 패턴 연습.,"행정, 조직, 법",중,5,X,X,"Q1: 'Designate'는 어떤 의미? (A) 해고하다 (B) 지정하다 (C) 의심하다 → B, Q2: 올바른 패턴: designate ___ (A) to (B) as (C) with → B, Q3: 명사형은? (A) designation (B) designateion (C) desig → A"
nominate,verb,"지명하다, 후보로 추천하다",공식적으로 후보에 올리거나 직책을 맡기 위해 추천하다.,라틴어 nominare(이름을 부르다)에서 유래.,선거·시상·임명 문맥에서 사용.,타동사,해당 없음,"nominate for + N, nominate O as NP",목적어 필요,어근 nomin- (name),"nomination, nominee",appoint (유사),"propose, appoint",dismiss,nominate someone for an award,1) She was nominated for the award. 2) The president nominated him as ambassador.,"nominee, nomination 셋을 함께 외우기.",정치/조직/문화,중,5,X,Q1: 'Nominate'의 명사형은? (A) nominatee (B) nomination (C) nominance → B; Q2: 올바른 패턴: nominate ___ (A) with (B) for (C) at → B; Q3: 'nominee' 뜻은? (A) 지명된 사람 (B) 지명하지 않는 것 (C) 반대자 → A,X,해당 없음
rational,adjective,"이성적인, 합리적인",이성·이성적 사고에 근거한 판단.,"라틴어 ratio(이성, 계산)에서 파생.",일상·학술 모두 사용.,형용사,해당 없음,"rational about, be rational to V",해당 없음,rationalize(동사),ratio(계산) 어근,"reasonable, logical",irrational,rational decision-making,1) Try to be rational about the costs. 2) The committee made a rational choice based on data.,"ratio 연상, 'irrational'과 세트로 학습.","철학, 심리, 경제",중,5,X,Q1: 'Rational'의 반의어는? (A) logical (B) irrational (C) reasonable → B; Q2: 어근은? (A) ratio (B) rex (C) reg → A; Q3: 품사? (A) 명사 (B) 형용사 (C) 동사 → B,해당 없음,X,해당 없음
get accustomed to,phrasal (phrase),~에 익숙해지다,어떤 환경·상황에 점차 익숙해지다.,'accustom' 어근에 'get'이 결합된 구동사/숙어 형태.,일상적·비격식~중립적,구동사/구문,해당 없음,"get accustomed to + N, V-ing",보어로 ~ing 또는 명사 필요,ac- + custom(습관),"accustom, accustomed",be used to(혼동 가능),"adapt, become used to",unaccustomed,"get accustomed to changes, get accustomed to the new schedule",1) I quickly got accustomed to the new phone. 2) It took her months to get accustomed to city life.,"be used to, get used to 와 비교해 패턴별 연습.",일상/학습,고,4,X,Q1: 'Get accustomed to'와 같은 뜻은? (A) get used to (B) get back to (C) get rid of → A; Q2: 올바른 형태: get accustomed to ___ (A) to부정사 (B) 동사원형 (C) -ing → C; Q3: 'accustomed' 품사는? (A) 형용사 (B) 동사 (C) 명사 → A,X,해당 없음
precise,adjective,"정확한, 정밀한",오차나 모호함 없이 정확한 상태.,라틴어 'praecisus'에서 유래(자르다->정확히 나눔).,수치·표현·지시가 정확함을 강조.,격식적·기술적 맥락에서 자주 사용.,형용사,해당 없음,"precise about, be precise in",해당 없음,pre- (앞) + cise(자르다),"precision (명사), precisely (부사)",exact (유사),imprecise,precise measurement,1) The measurements must be precise. 2) Can you be more precise about the location?,"precision과 쌍으로 학습, 'precisely' 발음 연습.",과학/기술/일상,중,4,X,Q1: 'Precise'의 부사형은? (A) preciously (B) precisely (C) precisly → B; Q2: 유사어는? (A) vague (B) exact (C) loose → B; Q3: 전치사 패턴: be precise ___ (A) about (B) for (C) at → A,X,해당 없음
