단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
ironic,adjective,아이러니한; 반어적인,말한 것과 실제 의미가 반대인 상태.,Greek eironeia,sarcastic과 구분,격식/일상,형용사,해당 없음,해당 없음,ironic that,that,절,iron+y,ironically,iconic과 혼동,sarcastic,literal,It’s ironic that he arrived late.,Her tone was ironic.,irony-ironic-ironically 세트 암기.,"문학, 언어",상,2,"O, X: ironic=직설적인 → X, Q1 부사형? ironically"
analogy,noun,유추; 비유,두 사물 간의 유사성 기반 설명.,Greek analogia,논리적 판단,격식,명사,해당 없음,가산,analogy between,between,해당 없음,ana+logy,analogous,analysis와 혼동,comparison,difference,draw an analogy between A and B,The analogy helped understanding.,analogous와 함께 암기.,"논리, 학문",상,3,"O, X: analogy=전혀 다른 것 → X, Q1 형용사형? analogous"
abstract,"adjective, noun, verb",추상적인; 요약,구체적이지 않고 개념적인 것.,Latin abstrahere,학술 초록,격식,"형, 명, 동","형, 명, 동",타동사,abstract from,from,해당 없음,abs+tract,abstraction,concrete와 혼동,conceptual,concrete,"abstract ideas, an abstract of the paper",He abstracted key points.,abstract vs concrete 대비.,"학문, 예술",상,2,"O, X: abstract=구체적 → X, Q1 반의어? concrete"
concrete,"adjective, noun",구체적인; 콘크리트,분명하고 실체가 있는 것.,Latin concretus,비유 확장,격식/일상,"형, 명",해당 없음,해당 없음,concrete example,해당 없음,해당 없음,con+crete,concretely,abstract와 혼동,specific,abstract,a concrete example,We need concrete evidence.,abstract의 반대축.,"일반, 학문",상,1,"O, X: concrete=추상적 → X, Q1 반의어? abstract"
polish,"verb, noun",윤내다; 다듬다,표면을 반질반질하게 하거나 글·기술을 개선.,Polish(폴란드와 발음 동일),글 다듬기 의미,일상,"동, 명","동, 명",타동,polish + N,해당 없음,해당 없음,pol+ish,polished,Polish(국적)과 혼동,refine,roughen,"polish shoes, polish writing",She polished her speech.,polish=다듬다 기억.,일반,상,1,"O, X: polish=거칠게 하다 → X, Q1 명사형? polish"
craft,"noun, verb",기술; 만들다,손으로 만드는 기술 또는 작업.,Old English cræft,항공기 aircraft,일상/예술,"명, 동","명, 동",타동,craft + N,해당 없음,해당 없음,craft,crafting,crafty와 혼동,skill,destroy,"traditional craft, craft a story",He crafted a beautiful box.,craftsmanship 연계.,"예술, 기술",상,2,"O, X: craft=파괴하다 → X, Q1 명사형? craftsman"
crafty,adjective,교활한,속임수를 잘 쓰는 성향.,craft에서 파생,부정적,일상,형용사,해당 없음,해당 없음,crafty plan,해당 없음,해당 없음,craft+y,craftiness,craft와 혼동,cunning,honest,He made a crafty plan.,She looked crafty.,craft와 의미 다름 주의.,성격,중,2,"O, X: crafty=정직한 → X, Q1 명사형? craftiness"
craftsman,noun,장인,손기술로 뛰어난 물건을 만드는 사람.,craft+man,예술·목공,일상/격식,명사,해당 없음,가산,craftsman in,in,해당 없음,crafts+man,craftsmanship,craft와 혼동,artisan,amateur,a skilled craftsman,Craftsmen built the temple.,craftsmanship 연결.,"예술, 기술",중,2,"O, X: craftsman=초보자 → X, Q1 명사형? craftsmanship"
authentic,adjective,진짜의; 신뢰할 수 있는,가짜가 아닌 진본 또는 진정성.,Greek authentikos,음식 authentic,격식/일상,형용사,해당 없음,해당 없음,authentic to,to,해당 없음,authen+tic,authenticity,authority와 혼동,genuine,fake,"authentic food, authentic document",The painting is authentic.,authen-=true 기억.,"예술, 일반",상,2,"O, X: authentic=가짜 → X, Q1 명사형? authenticity"
proportion,noun,비율; 조화,전체 대비 특정 부분의 크기.,Latin proportio,신체 비율,격식/일상,명사,해당 없음,"가산, 불가산",proportion of,of,해당 없음,pro+portion,proportional,proposal과 혼동,ratio,imbalance,"the proportion of women, in proportion to",The room is in good proportion.,proportion=비율 핵심.,"수학, 일반",상,2,"O, X: proportion=무관한 양 → X, Q1 형용사형? proportional"
