"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"context","noun","맥락; 전후 사정","단어·상황의 의미를 결정하는 주변 정보.","Latin contextus(얽다)","언어학·문해력 필수","격식/일상","명사","가산, 불가산","context of","of","해당 없음","con+text","contextual","content와 혼동","background","isolation","in this context, context of culture","Meaning depends on context.","reading skill 핵심.","언어, 학문","상","2","X","O, X: context=단어 뜻 자체 → X, Q1 형용사형? contextual"
"inherent","adjective","타고난; 내재한","존재 자체에 본질적으로 포함된 성질.","Latin inherere","격식","격식","형용사","해당 없음","inherent in","in","해당 없음","in+herent","inherence","inherit와 혼동","innate","acquired","risks inherent in the system","The problem is inherent.","in과 함께 고정.","학문, 철학","상","3","X","O, X: inherent=외부에서 획득한 → X, Q1 명사형? inherence"
"intrinsic","adjective","본질적인","외부 요인과 무관하게 내재된 성질.","Latin intrinsecus","inherent와 유사","격식","형용사","해당 없음","intrinsic to","to","해당 없음","in+trinsic","intrinsically","extrinsic과 혼동","essential","extrinsic","intrinsic value, intrinsic motivation","Beauty is intrinsic to art.","intrinsic vs extrinsic 구별.","철학, 심리","상","3","X","O, X: intrinsic=외적 동기 → X, Q1 반의어? extrinsic"
"inhere","verb","내재하다","특성이 사물에 본질적으로 속함.","Latin inherere","격식","격식","자동사","자동사","inhere in","in","해당 없음","in+here","inherence","inherit와 혼동","exist in","separate","The value inheres in rarity.","Qualities inhering in nature.","대학 교재에서 자주.","학문","중","3","X","O, X: inhere=외부에서 붙다 → X, Q1 명사형? inherence"
"inherence","noun","내재; 고유함","특성이 사물에 자연스럽게 들어 있음.","inhere에서 파생","격식","격식","명사","불가산","inherence in","in","해당 없음","in+herence","inherent","inheritance와 혼동","essential nature","externality","the inherence of value in art","Its inherence is debated.","철학적 용어.","철학","중","3","X","O, X: inherence=외적 요소 → X, Q1 형용사형? inherent"
"outline","noun, verb","개요; 개요를 작성하다","핵심 내용만 정리한 구조.","out+line","스케치 의미","일상/학문","명, 동","타동사","outline + N","해당 없음","해당 없음","out+line","outlined","online과 혼동","summary","detail","outline the plan","Here is an outline of the book.","개요=시험 준비 핵심.","학문","상","1","X","O, X: outline=상세 설명 → X, Q1 동의어? summary"
"plot","noun, verb","줄거리; 음모","이야기의 전개 구조 혹은 은밀한 계획.","Old English plot","부정 의미도","일상","명, 동","타동사","plot to-v","to-v","해당 없음","plot","plotting","plate와 혼동","storyline","improvisation","The plot is complex.","They plotted to escape.","plot=줄거리, 음모 둘 다.","문학, 일반","상","2","X","O, X: plot=즉흥 표현 → X, Q1 동사형 의미? 음모하다"
"plotless","adjective","줄거리 없는","서사가 거의 없는 상태.","plot에서 파생","실험 영화","문학/예술","형용사","해당 없음","plotless story","해당 없음","해당 없음","plot+less","plot","plod와 혼동","non-narrative","structured","a plotless novel","The movie felt plotless.","-less 부정 의미.","문학","중","2","X","O, X: plotless=구조적 → X, Q1 어근? plot"
"ironically","adverb","아이러니하게도","기대한 것과 반대로.","irony에서 파생","글쓰기 연결어","일상/격식","부사","해당 없음","ironically, S V","해당 없음","S V","irony+ically","ironic","iconically와 혼동","paradoxically","straightforwardly","Ironically, he failed the easy exam.","Ironically, she succeeded by accident.","전환·대조 신호어.","글쓰기, 일반","상","2","X","O, X: ironically=예상대로 → X, Q1 형용사형? ironic"
"irony","noun","반어; 역설","말한 것과 반대로 의미 전달.","Greek eironeia","문학 장치","격식/일상","명사","불가산","irony of","of","해당 없음","iron+y","ironic","irony vs sarcasm 혼동","paradox","literalness","The irony of the situation was clear.","He missed the irony.","반어법=tone 분석 핵심.","문학, 언어","상","3","X","O, X: irony=직설 표현 → X, Q1 형용사형? ironic"
