단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
subordinate,"adjective, noun, verb",하급의; 부하; 종속시키다,지위·권한 면에서 아래에 위치하거나 종속된 상태.,라틴어 subordinare(아래에 두다).,회사·조직·문법(종속절) 등 다양하게 사용.,격식,"형, 명, 동",타동사 가능,가산명사,subordinate to,해당 없음,sub(아래)+ordinare(정리하다),subordination,suburban(혼동주의),"inferior, junior",superior,"subordinate role, subordinate clause",1) He is subordinate to the manager. 2) A subordinate clause cannot stand alone.,"문법, 조직 두 의미 모두 암기.","조직, 문법",중,5,X,"Q1 subordinate 반의어?→superior Q2 품사?→형, 명, 동 Q3 전치사? subordinate to"
dominance,noun,"지배, 우세",특정 대상이 다른 것보다 우위에 있는 상태.,dominare(지배하다)에서 유래.,생태·사회·경제 등 다양한 분야.,격식,명사,불가산,dominance over,해당 없음,해당 없음,domin(지배)+-ance,"dominant, dominate",domination(과도한 통제),"control, superiority",subordination,market dominance,1) The company achieved market dominance. 2) Lions show dominance in the wild.,"dominant, dominance, dominating 구분.","경제, 생태, 사회",고,4,X,Q1 dominance 뜻? Q2 전치사? →over Q3 동사형? →dominate
dwell,verb,"살다, 거주하다",특정 장소에 오래 머물러 살다.,"고대 영어 dwellan(길을 잃다, 지체하다).",문학적 뉘앙스 강함.,문학/격식,자동사,자동사,해당 없음,"dwell in, on",해당 없음,dwell(머무르다),"dweller, dwelling",live(일상),"reside, inhabit",leave,dwell on the past,1) They dwell in a quiet village. 2) Don’t dwell on your mistakes.,'dwell on=~에 대해 깊이 생각하다' 별도 암기.,"문학, 일상",중,5,X,"Q1 dwell 전치사? →in, on Q2 의미 2개?→살다, 곱씹다 Q3 유사어?→reside"
attach,verb,"붙이다, 첨부하다",두 대상이 서로 연결되도록 붙임.,프랑스어 attacher(고정시키다).,이메일 첨부 의미로 현대적 확장.,일상/업무,타동사,타동사,해당 없음,attach A to B,해당 없음,at- + tach(고정),attachment,attach vs attack 발음혼동,"fasten, connect",detach,"attach a file, attach a label",1) Please attach the file. 2) He attached a note to the door.,attach A to B 구조 암기.,"업무, 일상",고,3,X,Q1 attach A ___ B? →to Q2 명사형?→attachment Q3 반의어?→detach
attachment,noun,애착; 첨부문서; 부착,물리적 연결 또는 감정적 애착 모두 포함.,attach에서 파생.,감정·기계·이메일 등 넓은 쓰임.,일상/업무/심리,명사,"가산, 불가산",attachment to,해당 없음,해당 없음,attach + -ment,attached,"affection(감정), appendix(문서)","bond, affection",detachment,"emotional attachment, email attachment",1) Children form strong attachments. 2) Please check the attachment.,세 가지 의미 구분.,"심리, 업무",고,4,X,Q1 attachment 의미 3개? Q2 감정적 전치사?→to Q3 동사형?→attach
in terms of,expression,"~의 관점에서, ~에 관하여",특정 기준·측면에서 논의함을 나타냄.,"중세 영어 term(말, 조건)에서.",학술·분석·설명 문맥.,격식,구문,해당 없음,해당 없음,in terms of + 명사,보어 없음,term(측면)+표현,terms,regarding(유사),"regarding, concerning",regardless of,"in terms of cost, time","1) In terms of cost, this option is better. 2) Think of it in terms of safety.",'in terms of'는 항상 전치사구 형태.,"학술, 업무",고,3,X,Q1 in terms ___?→of Q2 의미?→~의 관점에서 Q3 유사 표현?→regarding
be caught in,expression,~에 휘말리다,상황·문제·사건 속에 빠져 빠져나오기 어려운 상태.,catch의 수동형.,부정적 사건 묘사.,일상,구문,수동,해당 없음,be caught in + N,보어 없음,catch(붙잡다)+수동,caught,be involved in(유사),be involved in,escape,"be caught in traffic, the rain",1) We were caught in heavy traffic. 2) He was caught in a storm.,‘비·교통·문제’와 자주 사용.,일상,중,3,X,Q1 be caught ___?→in Q2 의미?→휘말리다 Q3 collocation?→caught in traffic
break into,phrasal verb,침입하다; 갑자기 ~하기 시작하다,힘으로 들어가거나 갑작스레 행동을 시작함.,break(깨다)+into(안으로).,도난·감정 표현 모두.,일상,구동사,"자동사, 타동사",해당 없음,"break into + 장소, 활동",해당 없음,break + into,breaking into,enter illegally(유사),"enter, burst into",exit,"break into a house, break into tears",1) Someone broke into my car. 2) She broke into tears.,두 의미 모두 자주 출제.,"일상, 범죄",중,4,X,Q1 break into 의미2개? Q2 구조?→break into+N Q3 감정 표현?→break into tears
be up to,expression,~할 책임이다; ~하려고 하다; ~에 달려 있다,상황·결정·능력이 특정 주체에게 달려 있음을 표현.,up to(도달 범위)에서 확장.,일상/비격식,구문,be동사구,해당 없음,"be up to + N, V-ing",보어 가능,up(위)+to,up to you,depend on과 유사,"depending on, planning",not responsible,"be up to you, be up to something",1) It’s up to you. 2) He is up to something suspicious.,‘수상쩍다’ 의미도 있음.,일상,고,3,X,X,Q1 be up to 의미2개? Q2 be up to you 뜻? Q3 구조?→be up to + N
hang out with,phrasal verb,~와 어울리다,가볍게 시간을 함께 보내다.,hang(매달리다)에서 의미 확장.,비격식/일상,구동사,자동사,해당 없음,hang out with + 사람,해당 없음,hang + out,hanging out,spend time with(유사),spend time with,avoid,hang out with friends,1) I like to hang out with my friends. 2) They were hanging out after school.,비격식 표현으로 회화에서 매우 자주 사용.,"일상, 회화",고,2,X,X,Q1 hang out with 의미? Q2 공식적?→비격식 Q3 구조?→hang out with+사람
