단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
equational,adjective,방정식의,방정식과 관련된 성질.,equation에서 파생,수학적 성질 표현,격식,형용사,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,equation+al,equation,equal과 혼동 주의,algebraic,non-mathematical,equational rule,Equational logic is important.,수학 전용 표현.,수학,중,4,"O, X: equational은 명사 → X, Q1 명사형? equation"
bump,"verb, noun",부딪치다; 충돌,가볍게 또는 우연히 부딪침.,북유럽어 bumpona,도로 ‘요철’ 의미도,일상,"자동, 타동, 명사","자동, 타동, 명사",둘 다,bump into,into,해당 없음,bump,bumpy,jump와 혼동,hit,avoid,"bump into a friend, a bump on the road",She bumped the table.,into 사용 필수.,일상,상,2,"O, X: bump는 명사 의미도 있다 → O, Q1 전치사? into"
rough,adjective,거친; 대략의,표면이 매끄럽지 않거나 정밀하지 않은.,Old English ruh,상황 ‘힘든’ 의미도,일상,형용사,해당 없음,해당 없음,rough on,해당 없음,해당 없음,rough,roughly,tough와 혼동,coarse,smooth,"rough surface, rough estimate",The weather is rough today.,대략적=rough 의미 암기.,일반,상,2,"O, X: rough=정확한 → X, Q1 부사형? roughly"
approximate,"adjective, verb",대략적인; 가까워지다,정확하지 않지만 근사한 값 또는 형태.,ad(향해)+proximare(가까워지다),동사: 가까워지다,격식,"형, 동","형, 동","자동, 타동",approximate to,to,해당 없음,ap+prox+imate,approximation,appropriate와 혼동,estimate,exact,"an approximate number, approximate to reality",The values approximate each other.,"동사, 형용사 구별.","수학, 학문",중,3,"O, X: approximate=정확한 → X, Q1 명사형? approximation"
roughly,adverb,대략; 거칠게,정확하지 않은 수치·양 강조.,rough에서 파생,거칠게라는 의미도,일상/격식,부사,부사,해당 없음,해당 없음,해당 없음,해당 없음,rough+ly,rough,roundly와 혼동,approximately,exactly,roughly 10 people,The work was roughly done.,대략=roughly 암기.,일반,상,2,"O, X: roughly=정확히 → X, Q1 형용사형? rough"
commute,verb,통근하다,일상적으로 집↔직장 이동.,com(함께)+mutare(변하다),감형 ‘형을 감형하다’ 의미도,일상,"자동, 타동","자동, 타동",둘 다,commute to,to,해당 없음,com+mute,commuter,compute와 혼동,travel,stay,They commute to work.,He commuted the sentence.,형 감형 뜻도 있음.,"일상, 법",상,3,"O, X: commute는 자동사만 가능 → X, Q1 명사형? commuter"
commuter,noun,통근자,정기적으로 이동하는 사람.,commute에서 파생,교통 연구 분야 사용,일상,명사,해당 없음,가산,"commuter to, from",해당 없음,해당 없음,commute+er,commuting,computer와 혼동,traveler,resident,a commuter train,Commuters filled the bus.,commute와 세트.,"교통, 도시",상,2,"O, X: commuter=자동차 → X, Q1 동사형? commute"
investigate,verb,조사하다,사실·사건을 체계적으로 파악함.,in(안에)+vestigare(추적하다),경찰 조사 의미 핵심,격식,"타동, 자동","타동, 자동",둘 다,investigate + N,해당 없음,해당 없음,in+vestigate,investigation,interrogate와 혼동,examine,ignore,investigate a case,The matter is being investigated.,investigation과 반드시 연계.,"법, 학문",상,3,"O, X: investigate는 자동사 불가 → X, Q1 명사형? investigation"
accelerate,verb,가속하다; 촉진하다,속도를 높이거나 과정·진행을 빠르게 함.,ad(향해)+celer(빠른),경제·기술에서도 사용,격식,"타동, 자동","타동, 자동",둘 다,accelerate + N,해당 없음,해당 없음,ac+celer+ate,acceleration,accentuate와 혼동,speed up,decelerate,"accelerate the process, The car accelerates.",The economy accelerated.,acceleration과 세트.,"과학, 경제",상,3,"O, X: accelerate=감속하다 → X, Q1 명사형? acceleration"
decelerate,verb,감속하다,속도를 줄이거나 느리게 함.,de(반대)+celerare(빠르게 하다),tech 분야 빈출,격식,"타동, 자동","타동, 자동",둘 다,decelerate to,to,해당 없음,de+celer+ate,deceleration,accelerate와 반대,slow down,accelerate,The car decelerated.,They decelerated the process.,accelerate와 대비.,"기술, 과학",중,3,"O, X: decelerate=가속하다 → X, Q1 명사형? deceleration"
