단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
accuse,verb,"고발하다, 비난하다",상대가 어떤 잘못을 했다고 주장하거나 책임을 묻다.,라틴어 accusare(비난하다)에서 유래.,법적 고발·일상적 비난 모두 포함.,격식적/일상 모두,타동사,타동사,해당 없음,accuse O of ~,해당 없음,ad- + caus(원인),"accusation, accuser","charge(법적), blame(일상)","blame, charge",absolve,"accuse someone of lying, falsely accused",1) She accused him of cheating. 2) He was accused of theft.,accuse of 구문 반드시 기억.,"법, 사회, 일상",고,5,X,"Q1: accuse 뒤 전치사? → of, Q2: 명사형? → accusation, Q3: 반의어? → absolve"
charge,"verb, noun",요금을 부과하다; 비난하다; 충전하다,비용 부과·법적 고발·전기 충전 등 다양한 의미.,라틴어 carricare(짐을 싣다)에서 유래.,문맥에 따라 요금/책임/공격 등 다중 의미.,일상/법/기술 모두,"타동사, 명사",타동사,가산,"charge for, charge O with",해당 없음,charg(짐 싣다),"charger, rechargeable","accuse(법적), cost(요금) 혼동","bill, accuse, load",discharge,"charge a fee, be charged with murder",1) They charged me $10. 2) He was charged with robbery.,문맥별 의미 차이를 명확히 구분하기.,"경제, 법, 기술",고,5,X,"Q1: charge 뜻? → 요금, 고발, 충전, Q2: charge O ___ crime? → with, Q3: 반의어? → discharge"
accusation,noun,"고발, 비난",상대의 잘못을 주장하는 행위 또는 말.,accuse의 명사형.,법적·도덕적 비난 모두 포함.,격식적,명사,가산,accusation of,해당 없음,해당 없음,accus(e) + -ation,"accuse, accuser",charge(법적),"allegation, claim",defense,"false accusation, face accusations",1) He denied all accusations. 2) She faced accusations of fraud.,accuse와 세트로 암기.,"법, 사회",고,4,X,"Q1: accusation 품사? → 명사, Q2: 의미? → 고발, Q3: collocation? → accusation of"
noticeable,adjective,"눈에 띄는, 뚜렷한",쉽게 인식되거나 보이는 상태.,notice + -able의 파생형.,감정·변화·외형 등 다양한 맥락.,일상적,형용사,해당 없음,해당 없음,noticeable + N,해당 없음,notice + -able,noticeably,notable(혼동: 유명한),"obvious, visible",subtle,"noticeable change, noticeable improvement",1) There was a noticeable difference. 2) Her improvement is noticeable.,notable과 혼동 주의.,"일상, 심리",중,4,X,"Q1: noticeable vs notable? → 눈에 띄는, 중요한, Q2: 반의어 → subtle, Q3: 품사? → 형용사"
discourse,noun,"담론, 담화",특정 주제에 대한 체계적 말하기·글쓰기.,"라틴어 discursus(달림, 흐름)에서 유래.",학술·사회비평·언어학에서 자주 사용.,격식적·학문적,명사,"가산, 불가산",해당 없음,해당 없음,해당 없음,dis- + currere(달리다),discursive,discussion(일상적),"discussion, dialogue",silence,"political discourse, academic discourse",1) The professor analyzed the political discourse. 2) Public discourse shapes society.,학술적 쓰임이 강함 기억.,"학문, 사회",중,6,X,"Q1: discourse 분야? → 학술, Q2: 유사어? → discussion, Q3: collocation? → political discourse"
massive,adjective,"거대한, 엄청난",규모·양·강도가 매우 크다.,mass(덩어리)에서 파생.,긍정·부정 의미 모두 가능.,일상/언론/학술 모두,형용사,해당 없음,해당 없음,massive + N,해당 없음,mass + -ive,massively,"huge(일상), enormous","huge, enormous",tiny,"massive damage, massive support",1) The storm caused massive damage. 2) They received massive support.,크기·규모 강조 단어들과 연상.,"자연재해, 경제, 일상",고,4,X,"Q1: massive 의미? → 거대한, Q2: 반의어? → tiny, Q3: collocation? → massive damage"
analogy,noun,"유사 관계, 비유",둘 사이의 구조적 유사성을 통해 설명하는 것.,그리스어 analogia(비례)에서 유래.,교육·논리·언어학에서 사용.,격식적,명사,가산,"analogy between, analogy to",해당 없음,해당 없음,"ana- (again) + logos(말, 비율)",analogous,metaphor(혼동: 비유의 종류),"comparison, similarity",difference,"draw an analogy, analogy between A and B",1) The teacher used an analogy to explain the concept. 2) There is an analogy between the two systems.,"analogy, analogous 함께 암기.","교육, 논리, 언어",중,6,X,"Q1: analogy 뜻? → 유사 관계, Q2: 형용사? → analogous, Q3: 반의어? → difference"
wound,"noun, verb",상처; 상처를 입히다,신체적·정신적 상처를 일으킴.,고대 영어 wund에서 유래.,감정적 상처로 확장 가능.,일상/격식 모두,"명사, 타동사",타동사,가산,wound + O,해당 없음,어근 불명확(게르만계),wounded,"injury(명사), injure(동사)와 구분","injure, hurt",heal,"deep wound, emotional wound",1) He suffered a deep wound. 2) The remark wounded her pride.,injure와 품사차 구분.,"의학, 심리, 일상",고,4,X,"Q1: wound vs injure? → wound: 명사, 동사, injure: 동사, Q2: 반의어? → heal, Q3: collocation? → deep wound"
injure,verb,부상을 입히다,사람·동물에게 신체적 피해를 주다.,"라틴어 injuria(부정, 상처)에서 유래.",물리적 피해 중심.,격식적/의학적,타동사,타동사,해당 없음,injure + O,해당 없음,"in- (부정) + juris(법, 권리)",injury,"hurt(일상), wound(신체·감정)","harm, wound",heal,"injure a leg, seriously injured",1) He injured his arm. 2) Several people were injured in the accident.,wound와 쓰임 차이 학습.,"의학, 교통사고, 일상",고,4,X,"Q1: injure 품사? → 동사, Q2: 명사형? → injury, Q3: wound와 차이? → wound=감정 포함"
consequence,noun,"결과, 영향",어떤 행동이나 사건 뒤에 따르는 결과.,라틴어 consequi(따라오다)에서 유래.,부정적·중립적 모두 가능.,격식적,명사,가산,consequence of,해당 없음,해당 없음,con- + sequi(따르다),"consequential, consequently",result(일상적),"result, outcome",cause,"serious consequences, in consequence",1) Every action has consequences. 2) The consequence of the mistake was severe.,cause-result 관계로 연상.,"사회, 법, 논리",고,4,X,"Q1: consequence 뜻? → 결과, Q2: 전치사? consequence ___ → of, Q3: 반의어? → cause"
