단어,품사,주요 의미,핵심 의미 요약,어원,의미 확장,뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어,형태론 분석,파생어,혼동 주의,동의어,반의어,콜로케이션,예문,학습 팁,분야 태그,빈도,난이도,OX 문항,미니 퀴즈
erupt,verb,분출하다; 폭발하다,화산·감정·상황이 갑자기 터져 나오다.,Latin eruere,감정 폭발 의미,격식,자동사,자동사,erupt from,from,-,e+rupt,eruption,corrupt와 혼동,explode,calm,The volcano erupted suddenly.,Anger erupted within the crowd.,erupt/eruption 세트로 암기.,과학/감정,상,2,O/X: erupt=가라앉다 → X,Q1 명사형? eruption
originate,verb,발생하다; 비롯되다,어떤 것이 시작되거나 유래함.,Latin origo,사물·아이디어 둘 다,격식,자동사,자동사,originate from/in,from/in,-,origin+ate,origin,original과 혼동,start,end,The custom originated in Korea.,The idea originated from a mistake.,from/in 전치사 암기.,사회/역사,상,2,O/X: originate=끝내다 → X,Q1 명사형? origin
derive,verb,끌어오다; 유래하다,A가 B에서 기인하거나 얻음.,Latin derivare,수학 도함수 derive,격식,타동/자동,둘 다,derive from,from,-,de+rive,derivation,deprive와 혼동,come from,originate independently,This word derives from Latin.,We derive energy from food.,derive A from B 구조 주의.,언어/과학,상,3,O/X: derive=기원을 끊다 → X,Q1 명사형? derivation
originally,adverb,원래; 처음에,처음 상태 또는 본래의 시작을 나타냄.,original에서 파생,부가 설명에 자주,일상/격식,부사,-,originally + S V,-,-,origin+al+ly,original,origin과 혼동,initially,later,I originally planned to leave.,The house was originally small.,original vs originally 구별.,일반,상,1,O/X: originally=최근에 → X,Q1 형용사형? original
agriculture,noun,농업,토지 경작·작물 재배·가축 사육.,Latin ager(밭)+culture,학문 분야,격식,명사,불가산,agriculture in,in,-,agri+culture,agricultural,architecture와 혼동,farming,industry,Agriculture is vital to society.,Modern agriculture uses technology.,어근 agri- 기억.,농업/경제,상,2,O/X: agriculture=산업 공학 → X,Q1 형용사형? agricultural
agricultural,adjective,농업의,농사·경작과 관련된.,agriculture에서 파생,기술 농업 표현,격식,형용사,-,agricultural land,-,-,agri+cultural,agriculture,architectural과 혼동,farming,industrial,agricultural techniques / agricultural area,Agricultural jobs decreased.,agriculture와 세트.,농업,상,2,O/X: agricultural=도시의 → X,Q1 명사형? agriculture
ripe,adjective,익은; 성숙한,과일·상황 등이 충분히 무르익은 상태.,Old English rīpe,비유 가능,일상,형용사,-,ripe for,for,-,ripe,ripen,rape와 혼동,mature,unripe,ripe fruit / a ripe opportunity,The apples are ripe.,ripe for(적절한 시기).,농업/일상,상,1,O/X: ripe=안 익은 → X,Q1 동사형? ripen
ripen,verb,익다; 익히다,과일·상황·능력이 성숙해짐.,ripe에서 파생,비유 가능,일상,자동/타동,둘 다,ripen into,into,-,ripe+n,ripeness,rip와 혼동,mature,rot,The fruit ripened slowly.,Experience ripens judgment.,자동·타동 둘 다 주의.,농업/비유,상,2,O/X: ripen=미성숙하게 하다 → X,Q1 명사형? ripeness
cultivate,verb,경작하다; 계발하다,땅을 일구거나 능력·관계를 발전시킴.,Latin colere(경작),관계 cultivate,격식,타동사,타동사,cultivate + N,-,-,cult+ivate,cultivation,culture와 혼동,develop,neglect,cultivate crops / cultivate friendship,She cultivated talent.,비유적 의미 자주 사용.,농업/성장,상,3,O/X: cultivate=파괴하다 → X,Q1 명사형? cultivation
plow,verb/noun,쟁기질하다; 쟁기,땅을 파 뒤집어 경작 준비함.,Old English plog,북미표기 plow=plough,일상,동/명,타동사,plow through,through,-,plow,plough(UK),plod와 혼동,till,cover,farmers plow fields / plow through work,The plow is old.,plow through(힘들게 해치우다).,농업,중,2,O/X: plow=덮다 → X,Q1 영국식 표기? plough
