단어,품사,주요 의미,핵심 의미 요약,어원,의미 확장,뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어,형태론 분석,파생어,혼동 주의,동의어,반의어,콜로케이션,예문,학습 팁,분야 태그,빈도,난이도,OX 문항,미니 퀴즈
pollutant,noun,오염 물질,환경을 더럽히는 유해 성분.,pollute 파생,환경 과학,격식,명사,가산,pollutant in,in,-,pollut+ant,pollution,pollut와 혼동,contaminant,purifier,air pollutants / toxic pollutants,Pollutants harm wildlife.,환경 주요 단어.,환경,상,1,O/X: pollutant=정화제 → X,Q1 동의어? contaminant
fossil,noun,화석; 시대에 뒤처진 사람,오래전 생물의 흔적 또는 매우 구식인 사람.,Latin fossilis,비유적 fossil,일상/격식,명사,가산,fossil of,of,-,foss+il,fossilize,funnel과 혼동,relic,modern being,fossil fuels / dinosaur fossils,He is a fossil in thinking.,fossil fuel 중요.,과학/환경,상,1,O/X: fossil=현대적 것 → X,Q1 동사형? fossilize
contaminate,verb,오염시키다; 더럽히다,해로운 물질을 섞어 더럽게 함.,Latin contaminare,비유 contamination,격식,타동,타동,contaminate + N,-,-,con+tam+inate,contamination,container와 혼동,pollute,purify,contaminate water,The soil was contaminated.,con- ‘함께’ 연상.,환경,상,2,O/X: contaminate=정화하다 → X,Q1 명사형? contamination
purifier,noun,정화 장치,공기·물 등을 깨끗하게 하는 기계.,purify 파생,공기청정기,일상,명사,가산,air purifier,-,-,pur+ify+er,purify,purifier vs purifier(철자 비슷),cleaner,pollutant,water purifier / air purifier,This purifier removes dust.,ify→er 패턴.,환경/기술,중,1,O/X: purifier=오염물 → X,Q1 동사형? purify
litter,noun/verb,쓰레기; 어지르다,공공장소에 버려진 쓰레기 또는 어지르기.,Old English littera,동물 새끼 litter,일상,명/동,타동/자동,litter with,with,-,litt+er,littering,letter와 혼동,trash,clean,Don't litter.,The street was littered with cans.,두 의미 모두 중요.,환경,상,1,O/X: litter=정리하다 → X,Q1 동사 의미? 어지르다
threat,noun,위협; 위험 요소,해를 입힐 가능성 있는 존재.,Old English þreat,비유적 threat,일상/격식,명사,가산,threat to,to,-,threat,threaten,treat와 혼동,danger,protection,a threat to peace,He received death threats.,threat to 구조 중요.,일반,상,1,O/X: threat=보호 → X,Q1 동사형? threaten
threaten,verb,위협하다; ~할 우려가 있다,해를 가하겠다고 경고하거나 위험을 야기함.,Old English þreatian,비유적 threaten,일상/격식,타동/자동,auto/tado,threaten + N,-,-,threat+en,threat,treat와 혼동,menace,protect,He threatened them.,The storm threatens damage.,자동사구도 있음.,일반,상,1,O/X: threaten=보호하다 → X,Q1 명사형? threat
threatening,adjective,위협적인,해를 줄 듯한 태도·표현.,threaten 파생,문학·감정,격식,형용사,-,threatening tone,-,-,threat+en+ing,threat,treating과 혼동,menacing,harmless,a threatening message,He spoke in a threatening voice.,tone과 잘 결합.,문학/일반,중,1,O/X: threatening=무해한 → X,Q1 동사형? threaten
processed,adjective,가공된,처리를 거친 상태.,process에서 파생,식품 processed food,일상,형용사,-,processed food,-,-,process+ed,processing,procession과 혼동,refined,raw,processed sugar,processed materials,food 단어 빈출.,식품/일반,상,1,O/X: processed=자연 그대로 → X,Q1 반의어? raw
straw,noun,짚; 빨대,건조한 줄기 또는 음료 빨대.,Old English streaw,비유 last straw,일상,명사,가산,straw of,of,-,stra+w,strawy,strawberry와 혼동,hay,stick,a straw hat / plastic straw,The last straw broke him.,last straw 표현 중요.,일반,상,1,O/X: straw=튼튼한 금속 → X,Q1 표현? the last straw
