단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
interpretation,noun,해석; 이해; 설명,문장·상황의 의미를 이해하거나 풀이하는 과정.,Latin interpretari(설명하다),예술·문학 해석 포함,격식,명사,해당 없음,"가산, 불가산",interpretation of,of,해당 없음,interpret+ation,interpret,translation과 혼동,explanation,misunderstanding,the interpretation of a text,Different interpretations exist.,interpret와 set 암기.,"문학, 학문",상,3,"O, X: interpretation=번역 → X, Q1 동사형? interpret"
explain,verb,설명하다,이해를 돕기 위해 이유와 내용을 말함.,Latin explanare(평평하게 하다),감정 설명에도 사용,일상,타동사,타동사,타동사,"explain + N, explain to",to,해당 없음,ex+plain,explanation,complain과 혼동,clarify,confuse,"Explain the rule, Explain to me.",He explained what happened.,explain to 구조 중요.,일반,상,2,"O, X: explain은 자동사 → X, Q1 명사형? explanation"
grant,"verb, noun",승인하다; 보조금,요청을 받아들이거나 공식적으로 허가함.,French graanter,grant(보조금) 의미 중요,격식,"타동사, 명사","타동사, 명사",타동사,grant + O + N,해당 없음,O+N,grant,grantor,grand와 혼동,allow,deny,"grant permission, a research grant",He was granted access.,grant=보조금 의미도 암기.,"행정, 교육",상,3,"O, X: grant=거절하다 → X, Q1 명사 의미? 보조금"
award,"verb, noun",수여하다; 상,성과에 대해 공식적으로 주는 상 또는 부여.,French eswarder,법적 배상도,격식/일상,"동, 명","동, 명",타동사,award A to B,to,A to B,award,awardee,reward와 혼동,give,withhold,"award him a prize, an award ceremony",The prize was awarded to her.,award↔reward 차이.,"일반, 공식",상,2,"O, X: award=보상하다와 동일 → X, Q1 전치사? award A to B"
inevitable,adjective,피할 수 없는,반드시 일어날 수밖에 없는 상황.,in(부정)+evitare(피하다),부정적 사건에 자주 사용,격식,형용사,해당 없음,해당 없음,inevitable that,that절,해당 없음,in+evitable,inevitably,avoidable와 혼동,unavoidable,avoidable,an inevitable result,It was inevitable that he would fail.,inevitable=부정적 경향.,일반,상,3,"O, X: inevitable=우연한 → X, Q1 부사형? inevitably"
inevitably,adverb,피할 수 없이,어쩔 수 없이 일어나는 상황을 강조.,inevitable에서 파생,부정적 예측 포함,격식,부사,부사,해당 없음,해당 없음,해당 없음,해당 없음,inevitable+ly,inevitable,invariably와 혼동,unavoidably,avoidably,He inevitably failed.,The plan will inevitably change.,부정적 뉘앙스 강조.,일반,상,2,"O, X: inevitably=우연히 → X, Q1 형용사형? inevitable"
get rid of,expression,없애다; 제거하다,원치 않는 것을 제거하거나 버림.,Old English ridan(구하라),문제 해결 의미,일상,구,해당 없음,해당 없음,get rid of + N,of,해당 없음,get+rid+of,rid,dispose of와 혼동,eliminate,keep,"get rid of waste, get rid of stress",I need to get rid of this.,of 필수.,일상,상,2,"O, X: get rid for → X, Q1 유사어? eliminate"
eliminate,verb,제거하다; 없애다,완전히 제거하거나 도태시키는 행위.,Latin eliminare(밖으로 내보내다),스포츠 ‘탈락시키다’,격식,타동사,타동사,타동사,eliminate + N,해당 없음,해당 없음,e+limin+ate,elimination,illuminate와 혼동,remove,keep,"eliminate waste, be eliminated",They eliminated the team.,eliminate≠illuminate 주의.,"일반, 스포츠",상,3,"O, X: eliminate=밝히다 → X, Q1 명사형? elimination"
policy,noun,정책; 방침,행동 원칙이나 규칙 체계.,Greek polis(도시),보험 증서 의미도,격식/행정,명사,해당 없음,가산,policy on,on,해당 없음,pol+icy,policies,police와 혼동,plan,disorder,"government policy, company policy",The policy changed.,policy vs police 구분.,"정치, 행정",상,3,"O, X: policy=경찰 → X, Q1 복수형? policies"
disguise,"verb, noun",변장하다; 위장,정체를 감추기 위해 모습이나 성격을 바꿈.,Old French desguiser,감정 숨기기 의미,일상/격식,"타동, 명","타동, 명",타동사,disguise as,as,해당 없음,dis+guise,disguised,guise와 혼동,mask,reveal,"disguise himself as a clown, in disguise",Fear was disguised as anger.,as 필수.,일반,상,3,"O, X: disguise=드러내다 → X, Q1 전치사? disguise as"
