"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"acceleration","noun","가속; 촉진","속도 증가 또는 과정의 빠른 진행.","ad+celerare(빠르게 하다)","경제·기술 촉진 의미","격식","명사","불가산","acceleration of","해당 없음","해당 없음","accelerate+ion","accelerator","accentuation과 혼동","speed-up","deceleration","rapid acceleration","Acceleration increased sharply.","accelerate와 세트.","과학, 경제","상","3","X","O, X: acceleration=감속 → X, Q1 동사형? accelerate"
"shipment","noun","선적; 배송물","화물을 실어 보내는 행위 또는 화물 자체.","ship(배)+ment","트럭·항공 화물 포함","격식/일상","명사","가산, 불가산","shipment of","해당 없음","해당 없음","ship+ment","shipper","shipping과 혼동","delivery","receipt","a shipment of goods","The shipment arrived late.","ship vs shipment 구별.","유통, 물류","상","3","X","O, X: shipment=배 자체 → X, Q1 동사형? ship"
"assemble","verb","모으다; 조립하다","사람·부품을 모아 하나로 구성함.","ad+simulare(같게 하다)","회의 ‘소집하다’","격식/일상","자동, 타동","둘 다","assemble + N","해당 없음","해당 없음","as+semble","assembly","resemble과 혼동","gather","disperse","assemble the parts, The group assembled.","They assembled in the hall.","assemble↔resemble 철자 주의.","기술, 조직","상","3","X","O, X: assemble=해체하다 → X, Q1 명사형? assembly"
"assembly","noun","조립; 집회","부품을 조립한 구조 또는 사람들의 모임.","assemble에서 파생","정치 ‘의회’ 의미","격식","명사","가산","assembly of","해당 없음","해당 없음","assemble+ly","assembler","assembly line과 혼동","gathering","disassembly","school assembly, assembly line","The assembly passed the bill.","assemble와 세트.","기술, 정치","상","3","X","O, X: assembly=해체 → X, Q1 동사형? assemble"
"have it in common","expression","공통점이 있다","둘 이상이 공유하는 속성 또는 경험.","common(공통의)","구어 매우 자주 사용","일상","구","해당 없음","해당 없음","with","해당 없음","have+common","commonality","in common with와 비교","share","differ","We have a lot in common.","They have little in common.","in common with 구조 기억.","일상, 대화","상","2","X","O, X: have it in common with 뒤 전치사 to → X, Q1 전치사? with"
"posture","noun, verb","자세; 입장","몸의 위치 또는 태도·정책적 입장.","Latin positura(놓는 방식)","정치·외교 입장도","격식","명사, 자동사","자동사, 타동사","posture as","as","해당 없음","post+ure","postural","poster와 혼동","stance","movement","good posture, adopt a posture","He postured as a reformer.","physical posture vs political posture.","생물, 정치","중","3","X","O, X: posture=움직임 → X, Q1 형용사형? postural"
"track","verb, noun","추적하다; 선로","대상을 따라가며 기록하거나 관찰.","track(발자국)","음악 트랙 의미도","일상/격식","자동, 타동, 명사","둘 다","track + N","해당 없음","해당 없음","track","tracking","truck과 혼동","follow","lose","track progress, a running track","The police tracked the suspect.","기록·추적 의미.","일반","상","2","X","O, X: track=트럭 → X, Q1 명사 의미? 선로"
"row","noun","열; 줄","일렬로 늘어선 구조.","Old English row","동사: 노 젓다(row)","일상","명사","가산","row of","해당 없음","해당 없음","row","rowing","raw와 혼동","line","cluster","a row of trees","They sat in the front row.","row vs raw 철자 구별.","일상","상","2","X","O, X: row=날것 → X, Q1 동사 의미? 노를 젓다"
"in a row","expression","연속으로","끊기지 않고 계속 이어짐.","row(줄)에서 확장","경기 점수 등","일상","구","해당 없음","해당 없음","해당 없음","해당 없음","in+a+row","row","raw와 혼동","consecutively","sporadically","three wins in a row","He called me twice in a row.","row=줄→’연속’ 의미 이해.","일상","상","2","X","O, X: in a row=줄에서 → X, Q1 동의 표현? consecutively"
"surgery","noun","수술","질병 치료를 위한 외과적 절차.","Greek kheir(손)+ergon(일)","영국: 의사의 진료실 의미","격식/의학","명사","불가산","surgery on","해당 없음","해당 없음","surg+ery","surgeon","sergeant과 혼동","operation","therapy","have surgery, brain surgery","She needs surgery on her knee.","surgeon, surgical과 세트.","의학","상","4","X","O, X: surgery=가산명사 → X, Q1 직업형? surgeon"
