"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"shipment","noun","선적; 배송","물품을 운송하거나 배송하는 행위.","ship + -ment","무역 용어","격식/일상","명사","가산, 불가산","shipment of","of","해당 없음","ship+ment","ship","shipping과 혼동","delivery","receipt","the shipment arrived late","large shipment of goods","-ment 명사형 익히기.","물류, 무역","중","2","X","O, X: shipment=수령 → X, Q1 동의어? delivery"
"assemble","verb","조립하다; 모이다","부분을 모아 하나로 만들거나 모임을 구성.","Latin assemblare","기계·군대","격식/일상","동사","타동, 자동","assemble + N","해당 없음","해당 없음","as+semble","assembly","assess와 혼동","put together","disassemble","They assembled the machine.","The crowd assembled outside.","assembly와 세트.","기술, 일반","상","2","X","O, X: assemble=분해하다 → X, Q1 명사형? assembly"
"assembly","noun","조립; 모임","모여 구성되거나 조립된 상태.","assemble에서 파생","학교 집회","일상/격식","명사","가산, 불가산","assembly of","of","해당 없음","as+sembly","assemble","assembly line과 혼동","gathering","disassembly","a school assembly, car assembly","The assembly took hours.","assembly line 의미도 기억.","일반, 기술","상","2","X","O, X: assembly=해체 → X, Q1 동사형? assemble"
"have it in common","expression","공통점을 갖다","두 대상이 공유하는 특징을 의미.","common(공유된)","일상 표현","일상","구","해당 없음","have A in common with B","with","A with B","common","commonly","in common 위치 주의","share","differ","We have a lot in common.","They have nothing in common.","with 필수.","일상, 사회","상","1","X","O, X: have in common=차이점 → X, Q1 전치사? with"
"posture","noun","자세; 태도","몸의 위치 또는 정신적 태도.","Latin positura","비유적 태도","일상/격식","명사","가산, 불가산","posture toward","toward","해당 없음","pos+ture","postural","pasture와 혼동","stance","slouch","good posture, political posture","His posture changed.","정신적 posture도 중요.","심리, 신체","중","2","X","O, X: posture=육체만 의미 → X, Q1 동의어? stance"
"track","verb, noun","추적하다; 길","흔적을 따라가거나 길·경로.","Old French trac","기록하다 의미 확장","일상/기술","동, 명","타동","track + N","해당 없음","해당 없음","track","tracking","truck과 혼동","follow","lose","track the package, race track","I lost track of time.","trace와 비교.","기술, 일상","상","1","X","O, X: track=잊다 → X, Q1 명사 의미? 길"
"row","noun","줄; 열","여러 개가 일렬로 배열된 상태.","Old Norse raugr","보트 노질 row와 동형이의어","일상","명사","가산","a row of","of","해당 없음","row","rows","raw와 혼동","line","scatter","a row of trees","They sat in the front row.","발음 row(우) vs row(로우, 말다툼).","일상","상","1","X","O, X: row=무질서 배열 → X, Q1 전치사? of"
"in a row","expression","연속으로","중단 없이 이어짐.","row=줄 → 줄이 이어짐","일상 표현","일상","구","해당 없음","three times in a row","해당 없음","해당 없음","in+a+row","row","role과 혼동","consecutively","sporadically","He won three times in a row.","It rained for days in a row.","연속=in a row.","일상","상","1","X","O, X: in a row=가끔 → X, Q1 동의어? consecutively"
"surgery","noun","수술","의학적 절차로 신체를 치료.","Greek kheirourgia","영국영어: 진료소 의미","격식/일상","명사","불가산","surgery on","on","해당 없음","surge+ry","surgical","surge와 혼동","operation","nonoperation","major surgery, undergo surgery","She had surgery on her knee.","on 전치사 암기.","의학","상","2","X","O, X: surgery=가산 명사 → X, Q1 형용사형? surgical"
"surgical","adjective","외과의; 수술의","수술에 관련된 특성.","surgery에서 파생","비유적 surgical precision","격식","형용사","해당 없음","surgical procedure","해당 없음","해당 없음","surg+ical","surgery","surge와 혼동","operative","nonsurgical","surgical instruments","He made a surgical strike.","수술 도구 표현 자주.","의학, 군사","중","2","X","O, X: surgical=비수술적 → X, Q1 명사형? surgery"
