"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"excess","noun, adjective","초과, 과잉; 과도한","정상 범위를 넘는 양 또는 수준.","라틴어 excessus(넘어감)","비용·음식·행동 등 폭넓게 사용","격식","명사, 형용사","해당 없음","가산, 불가산","excess of","해당 없음","ex(밖)+cess(가다)","exceed, excessive","access와 혼동주의","surplus","lack","in excess of","He drank to excess.","exceed, excess, excessive 구분 필수.","경제, 일반","고","4","X","O, X: excess는 명사·형용사 둘 다 있다 → O, Q1 전치사? in excess of"
"excessive","adjective","지나친, 과도한","필요한 수준을 넘어서 부정적 의미.","excess에서 파생","규제·법률에서 자주 사용","격식","형용사","해당 없음","excessive in","해당 없음","해당 없음","excess + ive","excessively","excess와 혼동주의","too much","moderate","excessive noise","The fee is excessive.","'excessive'=부정적 과함 강조.","법, 일상","고","4","X","O, X: excessive는 긍정적 표현이다 → X, Q1 부사형? excessively"
"proceed","verb","진행하다, 계속되다","중단 없이 앞으로 나아감.","라틴어 procedere","법률·격식에서 자주 사용","격식","자동사","자동사","proceed with, to","해당 없음","해당 없음","pro(앞)+ceed(가다)","procedure","precede와 혼동주의","continue","stop","proceed with the plan","We may proceed to the next step.","proceed vs precede 구분.","법, 격식","중","4","X","O, X: proceed는 타동사이다 → X, Q1 proceed with, to?"
"attendant","noun, adjective","직원, 종업원; 수반되는","행사·시설을 보조하는 사람 또는 함께 발생하는 것.","attend에서 파생","공항·행사·병원 등에서 사용","일상/격식","명사, 형용사","해당 없음","가산","attendant at","해당 없음","attend+ant","attendance","assistant와 혼동주의","helper","customer","flight attendant","Attendant risks exist.","attend, attendant, attendance 세트.","서비스, 일반","고","3","X","O, X: attendant는 형용사도 가능하다 → O, Q1 명사형? attendant"
"attend","verb","참석하다; 돌보다","이벤트에 참여하거나 사람을 돌봄.","라틴어 attendere(주의하다)","의료·행사 등 두 의미","격식/일상","자동, 타동","둘 다","attend + N, attend to","해당 없음","해당 없음","at+tend(기울이다)","attendance","attend on, to 차이 주의","join","miss","attend a meeting","He attends to the patients.","attend to=돌보다, 처리하다.","행사, 의료","고","3","X","O, X: attend는 전치사 with와 쓴다 → X, Q1 attend to 의미?"
"inducement","noun","유인, 장려책","행동을 유도하기 위한 보상·자극.","induce에서 파생","경제·정책에서 자주 사용","격식","명사","가산, 불가산","inducement to","해당 없음","해당 없음","in+duce(이끌다)","induce","induction과 혼동주의","incentive","discouragement","financial inducement","They offered an inducement.","incentive와 유사.","경제, 정책","중","4","X","O, X: inducement은 타동사이다 → X, Q1 유사어? incentive"
"sheltter","(unknown, typo)","오타로 보임","표준 단어 ‘shelter(피난처)’로 추정됨.","해당 없음","정확한 단어가 아님","비표준","해당 없음","해당 없음","해당 없음","해당 없음","해당 없음","shelter(표준형)","shell, shelter 혼동","해당 없음","해당 없음","해당 없음","Likely misspelling of 'shelter'.","정확한 철자 필요.","일반","저","10","O/X: sheltter는 표준 영어이다 → X","X","Q1 올바른 철자? shelter"
"withdraw","verb","철수하다; 인출하다","뒤로 물러나거나 돈을 가져오는 행위.","with(뒤로)+draw(당기다)","심리적 후퇴 의미도 있음","격식/일상","타, 자동사","둘 다","withdraw from","해당 없음","해당 없음","with+draw","withdrawal","draw와 혼동주의","pull back","advance","withdraw money","Troops withdrew.","withdraw ↔ withdrawal 구분.","금융, 군사","고","4","X","O, X: withdraw는 자동사 가능 → O, Q1 명사형? withdrawal"
"withdrawel","(typo)","오타: withdrawal이 맞음","withdrawal의 잘못된 철자.","해당 없음","비표준","해당 없음","해당 없음","해당 없음","해당 없음","해당 없음","해당 없음","withdrawal","withdrawel은 잘못된 표기","해당 없음","해당 없음","해당 없음","This spelling is incorrect.","정확한 표기 기억.","일반","저","10","O/X: withdrawel은 올바른 철자이다 → X","X","Q1 표준형? withdrawal"
"deposit","verb, noun","입금하다; 보증금","돈을 맡기거나 물건을 두는 행위.","라틴어 deponere(내려놓다)","지질학에서 ‘퇴적물’ 의미도 있음","격식/일상","타동, 명사","타동","가산","deposit on","해당 없음","de+posit(두다)","deposition","dispose와 혼동주의","put in","withdraw","make a deposit","He deposited money.","퇴적 의미도 시험 출제.","금융, 지질","고","4","X","O, X: deposit는 자동사이다 → X, Q1 명사 뜻? 보증금"
