단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
bump,"verb, noun",부딪치다; 충돌,가볍게 부딪히거나 튀어나온 부분.,unknown origin,일상 표현,일상,"동, 명","자동, 타동",bump into,into,해당 없음,bump,bumpy,pump과 혼동,hit lightly,avoid,He bumped into a wall.,There is a bump on the road.,into 필수.,일상,상,1,X,"O, X: bump into=피하다 → X, Q1 전치사? into"
rough,adjective,거친; 대략적인,표면이 고르지 않거나 정확하지 않음.,Old English ruh,성격이 거침,일상,형용사,해당 없음,rough estimate,해당 없음,해당 없음,rough,roughly,tough와 혼동,coarse,smooth,"rough surface, rough idea",The sea is rough today.,rough=대략도 의미.,일반,상,1,X,"O, X: rough=매끄러운 → X, Q1 부사형? roughly"
approximate,"adjective, verb",대략적인; 근사하다,정확하진 않지만 거의 비슷한 것.,Latin approximare,수학 근사값,격식,"형, 동","자동, 타동",approximate to,to,해당 없음,ap+proxim+ate,approximation,appropriate과 혼동,estimate,exact,an approximate value,The result approximates to 3.,-ate 형용사·동사형 주의.,수학,중,3,X,"O, X: approximate=정확한 → X, Q1 명사형? approximation"
roughly,adverb,대략,정확하지 않고 대충.,rough에서 파생,일상,일상,부사,해당 없음,roughly + number,해당 없음,해당 없음,rough+ly,rough,toughly와 혼동,approximately,exactly,There were roughly 50 people.,It costs roughly $20.,"rough=거칠다, 대략 두 의미.",일반,상,1,X,"O, X: roughly=정확히 → X, Q1 형용사형? rough"
commute,verb,통근하다,일상적으로 왕복 이동함.,Latin commutare,신용카드 commute 의미,일상,자동사,자동,commute to,to,해당 없음,com+mute,commuter,compute와 혼동,travel,stay,She commutes to Seoul daily.,Many people commute long distances.,to 필수.,"일상, 사회",상,1,X,"O, X: commute=머물다 → X, Q1 명사형? commuter"
commuter,noun,통근자,정기적으로 이동하는 사람.,commute에서 파생,도시 교통,일상,명사,가산,commuter train,해당 없음,해당 없음,commute+er,commute,computer와 혼동,traveler,resident,The train is full of commuters.,Commuters face long delays.,-er 사람형 접미사.,"일상, 사회",중,1,X,"O, X: commuter=집에 머무는 사람 → X, Q1 동사형? commute"
investigate,verb,조사하다,사실을 밝히기 위해 살피는 행위.,Latin investigare,과학·범죄,격식,타동사,타동사,investigate + N,해당 없음,해당 없음,in+vestig+ate,investigation,interrogate와 혼동,examine,ignore,police investigate the case,We must investigate the cause.,-tion 명사형 주의.,"법, 과학",상,2,X,"O, X: investigate=무시하다 → X, Q1 명사형? investigation"
accelerate,verb,가속하다; 빨라지다,속도가 증가함.,Latin accelerare,물리·경제,격식,"자동, 타동","auto, tado","accelerate + N, accelerate to",to,해당 없음,ac+celer+ate,acceleration,exaggerate와 혼동,speed up,slow down,The car accelerated quickly.,Economic growth is accelerating.,celer=빠른.,"과학, 경제",상,2,X,"O, X: accelerate=느리게 하다 → X, Q1 명사형? acceleration"
decelerate,verb,감속하다,속도를 줄임.,accelerate 반대,과학,격식,"자동, 타동","auto, tado",decelerate to,to,해당 없음,de+celer+ate,deceleration,accelerate와 반의,slow down,accelerate,The vehicle decelerated.,Traffic decelerates near schools.,de- = 감소.,과학,중,2,X,"O, X: decelerate=가속하다 → X, Q1 명사형? deceleration"
acceleration,noun,가속; 가속도,속도가 증가하는 변화율.,accelerate에서 파생,물리 핵심 개념,격식,명사,불가산,acceleration of,of,해당 없음,ac+celer+ation,accelerate,accentuation과 혼동,speeding,deceleration,acceleration due to gravity,The acceleration increased.,-tion 명사형 규칙.,과학,상,3,X,"O, X: acceleration=감속 → X, Q1 동사형? accelerate"
