단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
ascribe,verb,~의 덕(탓)으로 돌리다,원인을 특정 요인에 귀속시킴.,Latin ascribere,attribute와 거의 동일,격식,타동사,타동사,ascribe A to B,to,A to B,a+scribe,ascription,describe와 혼동,attribute,separate,ascribe success to luck,The poem is ascribed to him.,A to B 구조 필수.,"학문, 일반",중,3,X,"O, X: ascribe=기여하다 → X, Q1 명사형? ascription"
attribution,noun,원인 귀속; 속성 부여,어떤 결과를 특정 요인 때문이라고 보는 것.,attribute에서 파생,심리학: 귀인 이론,격식,명사,불가산,attribution to,to,해당 없음,attribute+ion,attributive,retribution과 혼동,assignment,separation,attribution of behavior,Attribution is complex.,귀인 이론에서 중요.,"심리, 학문",중,3,X,"O, X: attribution=보복 → X, Q1 동사형? attribute"
skeptical,adjective,의심 많은,주장·정보를 쉽게 믿지 않고 비판적으로 보는 태도.,Greek skeptikos,과학·언론에 자주 등장,일상/격식,형용사,해당 없음,"skeptical of, about","of, about",해당 없음,skeptic+al,skeptic,spectacle과 혼동,doubtful,trusting,skeptical about the result,She remained skeptical.,skeptic vs skeptical 구별.,일반,상,3,X,"O, X: skeptical=믿는 → X, Q1 명사형? skeptic"
skeptic,noun,회의론자; 의심하는 사람,증거가 없으면 쉽게 믿지 않는 사람.,Greek skeptikos,종교·철학 회의주의,격식/일상,명사,가산,skeptic of,of,해당 없음,skeptic,skepticism,septum과 혼동,doubter,believer,a climate-change skeptic,Skeptics questioned the claim.,skepticism과 세트.,"철학, 일반",상,3,X,"O, X: skeptic=믿는 사람 → X, Q1 명사형? skepticism"
optimist,noun,낙관주의자,긍정적으로 사물을 바라보는 사람.,Latin optimus(최선의),경제 전망 낙관론에도 사용,일상,명사,가산,optimist about,about,해당 없음,optim+ist,optimistic,optimal과 혼동,positive thinker,pessimist,He is an optimist.,Optimists see opportunity.,optimist↔pessimist 대비.,"감정, 일반",상,2,X,"O, X: optimist=비관론자 → X, Q1 반의어? pessimist"
out of place,expression,어울리지 않는; 부적절한,환경·상황에 맞지 않거나 어색함.,Old English plac(자리),감정적 어색함 포함,일상,구,해당 없음,feel out of place,해당 없음,해당 없음,out+of+place,placement,replace와 혼동,inappropriate,appropriate,feel out of place,His remark was out of place.,자리=place에서 연상.,일상,상,2,X,"O, X: out of place=잘 맞는 → X, Q1 동의어? inappropriate"
column,noun,기둥; 칼럼; 세로 열,건축 구조물 또는 신문 칼럼·표 세로줄.,Latin columna,신문 칼럼 의미 중요,일상/격식,명사,가산,column of,of,해당 없음,col+umn,columnist,colon과 혼동,pillar,row,"a newspaper column, a column of numbers",The building has marble columns.,세로줄 의미 주의.,"건축, 신문",상,2,X,"O, X: column=가로줄 → X, Q1 칼럼 작성자? columnist"
announcement,noun,공지; 발표,공식적 메시지나 공지사항.,announce에서 파생,방송 안내 포함,일상/격식,명사,"가산, 불가산",announcement of,of,해당 없음,announce+ment,announcer,pronouncement과 혼동,declaration,silence,"official announcement, announcement of results",They made an announcement.,명사 vs 동사 announce 구별.,"행정, 공공",상,2,X,"O, X: announcement=비공식 잡담 → X, Q1 직업형? announcer"
alliance,noun,동맹; 연합,국가·집단 간 협력 관계.,Latin alligare(묶다),기업 전략 제휴,격식,명사,가산,alliance with,with,해당 없음,alli+ance,ally,alley(골목)와 혼동,union,division,form an alliance with another country,The alliance grew stronger.,ally와 세트.,"정치, 국제",상,3,X,"O, X: alliance=분열 → X, Q1 동사형? ally"
convey,verb,전달하다; 운반하다,생각·감정·물체를 한 곳에서 다른 곳으로 옮김.,Latin conviare(함께 가다),감정·의미 전달 포함,격식,타동사,타동사,convey + N,해당 없음,해당 없음,con+vey,conveyance,convince와 혼동,communicate,hide,"convey a message, convey feelings",The pipe conveys water.,convey=뜻을 전달하다 핵심.,의사소통,상,3,X,"O, X: convey=숨기다 → X, Q1 명사형? conveyance"
