단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
acute,adjective,급성의; 예리한,짧고 강하게 나타나는 증상 또는 날카로운 감각.,Latin acutus,acute angle(수학),격식,형용사,해당 없음,해당 없음,acute pain,해당 없음,해당 없음,acu+te,acutely,chronic과 대비,severe,chronic,"acute illness, acute senses",He felt acute pain.,chronic vs acute 구분.,의학,상,1,"O, X: acute=만성 → X, Q1 반의어? chronic"
obese,adjective,비만의,비정상적으로 살이 많이 찐 상태.,Latin obesus,의학적 표현,격식,형용사,해당 없음,해당 없음,obese patients,해당 없음,해당 없음,obes+e,obesity,obscure와 혼동,overweight,slim,Many children are obese.,Obese individuals need treatment.,obesity와 세트.,의학,중,2,"O, X: obese=마른 → X, Q1 명사형? obesity"
pregnant,adjective,임신한,태아를 품고 있는 상태.,Latin praegnans,비유: pregnant pause,일상,형용사,해당 없음,해당 없음,pregnant with,with,해당 없음,preg+nant,pregnancy,fragment와 혼동,expecting,nonpregnant,She is pregnant.,a pregnant woman,with 전치사 기억.,의학,상,1,"O, X: pregnant=비어있는 → X, Q1 명사형? pregnancy"
pregnancy,noun,임신,임신 상태 또는 기간.,pregnant에서 파생,의학 용어,격식/일상,명사,해당 없음,가산,pregnancy test,해당 없음,해당 없음,preg+nancy,pregnant,pregnancy vs expectancy 혼동,gestation,infertility,Her pregnancy lasted nine months.,She announced her pregnancy.,-ancy 명사형.,의학,상,2,"O, X: pregnancy=출산 후 상태 → X, Q1 형용사형? pregnant"
digestive,adjective,소화의,소화 기관 또는 과정과 관련됨.,Latin digestus,digestive system,격식,형용사,해당 없음,해당 없음,digestive organs,해당 없음,해당 없음,di+gest+ive,digest,digestif(술)과 혼동,gastrointestinal,nondigestive,digestive problems,The digestive tract is long.,digestion 연상.,의학,중,2,"O, X: digestive=호흡의 → X, Q1 관련 동사? digest"
fiber,noun,섬유; 식이섬유,가늘고 긴 구조 또는 식이섬유.,Latin fibra,과학·영양,일상/과학,명사,해당 없음,"가산, 불가산",fiber of,of,해당 없음,fib+er,fibrous,fiber vs fabric 혼동,thread,chunk,high fiber diet,Plant fiber is healthy.,영양학 식이섬유 중요.,"영양, 과학",상,1,"O, X: fiber=덩어리 → X, Q1 형용사형? fibrous"
spill,"verb, noun",엎지르다; 유출,용기에서 액체가 흘러나옴.,Old English spillan,비유 spill secrets,일상,"동, 명","동, 명","자동, 타동",spill + N,해당 없음,해당 없음,spill,spillage,spell과 혼동,pour accidentally,contain,He spilled water.,Oil spilled into the sea.,spill the beans=비밀 누설.,일반,상,1,"O, X: spill=막다 → X, Q1 숙어? spill the beans"
portion,noun,부분; 한 끼 분량,전체 중 일부 또는 요리의 양.,Latin portio,식단 관리,일상,명사,해당 없음,가산,portion of,of,해당 없음,port+ion,proportion,position과 혼동,section,whole,a portion of food,large portions are unhealthy.,portion=음식량 자주.,"영양, 일반",상,1,"O, X: portion=전체 → X, Q1 전치사? of"
dietary,adjective,식이의; 음식과 관련된,섭취하는 음식과 관련된 특성.,diet에서 파생,영양학,격식,형용사,해당 없음,해당 없음,dietary habits,해당 없음,해당 없음,diet+ary,diet,diary와 혼동,nutritional,non-dietary,dietary restrictions,He follows dietary rules.,-ary 형용사 기억.,영양,중,2,"O, X: dietary=운동의 → X, Q1 명사형? diet"
starve,verb,굶주리다; 굶기다,음식을 먹지 못해 고통받음.,Old English steorfan,비유 starved for attention,일상,"자동, 타동","자동, 타동","auto, tado","starve to death, starve for","to, for",해당 없음,starv+e,starvation,serve와 혼동,go hungry,feed,They starved during the war.,He is starved for love.,for=~에 굶주리다.,"일상, 사회",상,2,"O, X: starve=배부르게 하다 → X, Q1 명사형? starvation"
