단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),OX 체크용 문항(기본값 X),미니 퀴즈(3문항 선택형)
humiliation,noun,"굴욕, 창피",상대에게 수치심을 느끼게 하는 행위 또는 상태.,humiliate에서 파생,감정적 상처 강조,격식,명사,가산/불가산,humiliation of,-,-,humili + ation,humiliate,humidity와 혼동 금지,embarrassment,respect,a deep humiliation,He suffered great humiliation.,humiliate-humiliation 세트 암기.,감정,중,4,O/X: humiliation은 항상 가산명사이다 → X,Q1 동사형? humiliate
impulse,noun,"충동, 자극",깊이 생각하지 않고 갑자기 하고 싶은 마음.,라틴어 impulsus(밀다),물리적 자극 의미도 있음,일상/심리/물리,명사,가산,impulse to,-,-,im + pulse(밀다),impulsive,impact와 혼동주의,urge,restraint,on impulse,He bought it on impulse.,impulsive와 구분.,심리/일상,고,4,O/X: impulse는 ‘충동적 행동’ 의미도 있음 → O,Q1 형용사형? impulsive
reluctant,adjective,마지못해 하는,하기 싫어서 주저하는 상태.,라틴어 reluctari,강한 거부감 표현,격식/일상,형용사,-,reluctant to,-,-,re + luct(싸우다),reluctance,eager와 반대,unwilling,eager,reluctant to speak,She was reluctant to join.,eager ↔ reluctant 대비.,감정/심리,고,3,O/X: reluctant to V는 틀린 표현이다 → X,Q1 명사형? reluctance
miserable,adjective,"비참한, 우울한",감정적·상황적으로 매우 힘든 상태.,라틴어 miser(불행한),날씨·표정에도 사용,일상,형용사,-,-,-,-,miser + able,misery,mislead와 혼동주의,unhappy,joyful,feel miserable,He had a miserable day.,misery-miserable 세트.,감정,중,3,O/X: miserable은 '날씨 나쁨'에도 쓰인다 → O,Q1 명사형? misery
arouse,verb,불러일으키다,감정·관심·행동을 일으킴.,고대 영어 arose,감정적 반응 중심,격식,타동사,타동사,arouse + O,-,-,a + rouse(깨우다),arousal,arise와 혼동주의,provoke,calm,arouse interest,Her speech aroused anger.,arise(arose)와 혼동 주의.,감정/심리,중,4,O/X: arouse는 자동사이다 → X,Q1 명사형? arousal
empathy,noun,공감,타인의 감정을 자신의 것처럼 느끼는 능력.,em(안에)+pathos(감정),심리학 용어로 확장,격식/심리,명사,불가산,empathy for,-,-,em + pathy,empathetic,sympathy와 차이 주의,understanding,indifference,feel empathy,Empathy is important in counseling.,sympathy ↔ empathy 구분.,심리,중,3,O/X: empathy = sympathy → X,Q1 형용사형? empathetic
empathize,verb,공감하다,타인의 감정을 함께 느끼다.,pathos(감정)에서 파생,심리 상담에서 자주 쓰임,격식,자동사,자동사,empathize with,-,-,empath + ize,empathy,sympathize와 혼동,identify with,ignore,empathize with others,She empathized with his pain.,empathy/empathize 세트.,심리,중,4,O/X: empathize with가 기본 구조이다 → O,Q1 전치사? with
offend,verb,"모욕하다, 기분 상하게 하다",상대의 감정을 상하게 만듦.,라틴어 offendere(충돌하다),종교적 '죄를 범하다' 의미도 있음,일상/격식,타동사/자동사,둘 다,offend + 사람,-,-,of + fend(치다),"offense, offensive",defend와 혼동,insult,please,offend someone,I didn’t mean to offend you.,offensive/offense와 함께 학습.,감정,고,4,O/X: offend는 자동사 가능 → O,Q1 명사형? offense
offensive,adjective,모욕적인; 공격적인,상대를 불쾌하게 하거나 공격적인 태도.,offend에서 파생,스포츠에서 ‘공격’ 의미도 있음,격식/일상,형용사,-,offensive to,-,-,offend + sive,offense,aggressive와 혼동,insulting,inoffensive,offensive remark,His behavior was offensive.,offense/offensive/offend 세트.,감정/스포츠,고,4,O/X: offensive는 ‘공격적인' 의미도 있다 → O,Q1 반의어? inoffensive
offense,noun,모욕; 범죄; 공격,상대에게 불쾌감을 주거나 법을 어기는 행위.,라틴어 offensa,스포츠 ‘공격’ 의미 확장,격식/법/스포츠,명사,가산/불가산,offense to,-,-,offend + ense,offender,defense와 대비,violation,defense,commit an offense,He took offense at the comment.,뜻 3개 모두 중요.,법/감정/스포츠,고,5,O/X: offense = defense → X,Q1 뜻 3개? 모욕/범죄/공격
