단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
suspicious,adjective,의심스러운,사람·상황을 믿기 어려운 느낌.,라틴어 suspicere,‘수상한 냄새가 나는’ 뉘앙스,일상/법,형용사,해당 없음,해당 없음,suspicious of,해당 없음,해당 없음,suspect+ous,suspicion,superstitious와 혼동,doubtful,trusting,suspicious behavior,He looked suspicious.,superstitious와 혼동 금지.,"법, 일상",고,3,"O, X: suspicious는 명사이다 → X, Q1 명사형? suspicion"
sue,verb,고소하다,법적 절차를 통해 누군가를 상대로 소송을 제기함.,라틴어 sequi(따르다),민사 소송 중심,법,타동사,타동사,타동사,sue + 사람,for,해당 없음,sequi(따르다),suit,sew와 혼동주의,file a lawsuit,settle,sue someone for damages,They sued the company.,sue vs sew 철자 구별.,법,중,4,"O, X: sue는 전치사 to를 쓴다 → X, Q1 전치사? for"
invade,verb,침입하다,강제로 들어가 점령하거나 피해를 줌.,라틴어 invadere,개인 공간 침해 의미 확대,일상/군사,타동사,타동사,타동사,invade + 장소,해당 없음,해당 없음,in(안)+vade(가다),invasion,evade와 혼동,attack,withdraw,invade a country,Noise invaded my room.,evade와 비교.,"군사, 일상",고,4,"O, X: invade는 자동사이다 → X, Q1 명사형? invasion"
patent,"noun, verb, adjective",특허; 특허를 내다; 명백한,발명에 대한 독점권 또는 ‘명백한’ 의미.,라틴어 patere(열다),명백한(evident) 의미 중요,법/기술,"명사, 타동, 형용사","명사, 타동, 형용사",타동,가산,patent on,해당 없음,pat(열다)+ent,patented,patient과 혼동주의,license,secret,apply for a patent,It’s a patent lie.,patent=명백한 의미 주의.,"법, 기술",중,5,"O, X: patent는 형용사도 있다 → O, Q1 명사 의미? 특허"
equivalent,"adjective, noun",동등한; 등가물,가치·양·의미가 서로 같음.,라틴어 aequivalere,수학·과학 용어,격식,"형용사, 명사",해당 없음,해당 없음,be equivalent to,해당 없음,해당 없음,equ(같다)+val(가치)+ent,equivalence,equal과 차이,equal,different,be equivalent to,There is no equivalent.,equal보다 더 ‘기능적 동등’ 강조.,"수학, 과학",고,4,"O, X: equivalent는 명사 가능 → O, Q1 전치사? to"
equivalently,adverb,"동등하게, 동치로",한 표현이 다른 표현과 논리적으로 같음을 나타냄.,equivalent에서 파생,수학·논리 용어 핵심,학술,부사,부사,해당 없음,해당 없음,해당 없음,해당 없음,equivalent+ly,equivalent,eventually와 혼동주의,in the same way,differently,"equivalently, A implies B.",This can be stated equivalently.,수학·논리 공식에서 자주 사용.,학술,중,4,"O, X: equivalently는 형용사 → X, Q1 형용사형? equivalent"
witness,"noun, verb",목격자; 목격하다,사건을 직접 본 사람 또는 행위.,고대 영어 wit(알다),종교적 ‘증언하다’ 의미도 있음,법/일상,"명사, 타동","명사, 타동",둘 다,가산,witness to,해당 없음,wit(보다)+ness,witnessing,watch와 혼동주의,observe,ignore,a witness to the crime,I witnessed the accident.,법적 맥락 중요.,"법, 일상",최상위,3,"O, X: witness는 자동사이다 → X, Q1 명사 뜻?"
imprison,verb,투옥하다,사람을 감옥에 가두다.,im(안)+prison(감옥),억압 의미 확대,격식,타동사,타동사,타동사,imprison + 사람,해당 없음,해당 없음,im+prison,imprisonment,prison과 혼동,jail,release,imprison criminals,He was imprisoned for theft.,imprison=타동사만.,법,중,4,"O, X: imprison는 자동사 가능 → X, Q1 명사형? imprisonment"
justify,verb,정당화하다,행동·생각을 올바른 이유로 설명함.,라틴어 justus(올바른),문학에서 ‘줄 맞추다’ 의미도 있음,격식,타동사,타동사,타동사,justify + O,해당 없음,해당 없음,just(옳다)+ify,justification,testify와 혼동주의,explain,condemn,justify your actions,Nothing justifies violence.,타동사 구조 암기.,"논리, 법",고,4,"O, X: justify는 자동사이다 → X, Q1 명사형? justification"
justification,noun,"정당화, 이유",어떤 행동을 합리적이라고 설명하는 근거.,justify에서 파생,문서 편집에서 ‘줄 맞춤’ 의미도 있음,격식,명사,해당 없음,"가산, 불가산",justification for,해당 없음,해당 없음,justify+cation,justify,reason과 혼동주의,reason,condemnation,a justification for the policy,He offered weak justification.,"justify, justification 세트.","논리, 법",중,4,"O, X: justification은 불가산만 있다 → X, Q1 동사형? justify"
