단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),OX 체크용 문항(기본값 X),미니 퀴즈(3문항 선택형)
take into account,expression,고려하다,상황·조건을 판단에 포함함.,Old English acounten,일상·격식 모두,일상,구,타동,take A into account,into,A,take+into+account,account,take over와 혼동,consider,ignore,take the weather into account,We must take all factors into account.,account = 고려로 암기.,일반,상,1,O/X: take into account=무시하다 → X,Q1 유사 표현? consider
take into consideration,expression,고려하다,판단 시 요소를 숙고함.,Latin considerare,account와 유사,격식,구,타동,take A into consideration,into,A,take+into+consideration,consider,concentrate와 혼동,consider,ignore,take age into consideration,All options were taken into consideration.,account보다 격식.,법/일반,상,2,O/X: take into consideration=제외하다 → X,Q1 동의어? consider
philosophy,noun,철학; 신념 체계,지식·가치·존재에 대한 탐구.,Greek philosophia,인생 철학,격식,명사,가산/불가산,philosophy of,of,-,philo+sophy,philosopher,psychology와 혼동,worldview,ignorance,the philosophy of mind,His philosophy is simple.,"philo=사랑, sophy=지혜.",학문,상,3,O/X: philosophy=단순 규칙 → X,Q1 학문 종사자? philosopher
philosophical,adjective,철학적인; 이성적인,깊이 사색하거나 철학 관련된.,philosophy에서 파생,태연함 의미도,격식,형용사,-,philosophical about,about,-,philosophic+al,philosophically,physiological과 혼동,thoughtful,shallow,He remained philosophical.,philosophical questions arise.,about 태연함: be philosophical about.,학문/일반,중,2,O/X: philosophical=감정적 → X,Q1 부사형? philosophically
philosopher,noun,철학자,세상·가치·존재를 탐구하는 사람.,Greek philosophos,비유적: 현명한 사람,격식,명사,가산,philosopher of,of,-,philo+sopher,philosophical,psychologist와 혼동,thinker,ignorant person,Plato was a great philosopher.,He spoke like a philosopher.,philo=wisdom lover.,학문,중,2,O/X: philosopher=심리학자 → X,Q1 형용사형? philosophical
profound,adjective,심오한; 깊은,생각·영향·감정이 매우 깊은.,Latin profundus,지식의 깊이,격식,형용사,-,profound effect on,on,-,pro+found,profoundly,profane과 혼동,deep,superficial,profound impact / profound insight,His speech was profound.,found=바닥 → 깊음 연상.,학문/일반,상,2,O/X: profound=얕은 → X,Q1 반의어? superficial
profoundly,adverb,깊이; 강하게,영향·감정·변화가 큰 방식.,profound에서 파생,격식,격식,부사,-,profoundly + adj/pp,-,-,profound+ly,profound,profanely와 혼동,deeply,slightly,He was profoundly moved.,The structure changed profoundly.,profound-profoundly 세트.,학문/일반,상,2,O/X: profoundly=약하게 → X,Q1 형용사형? profound
superficial,adjective,피상적인; 얕은,깊이가 없고 겉만 보는.,Latin superficies,부정적 뉘앙스,격식/일상,형용사,-,superficial about,about,-,super+ficial,superficially,superior와 혼동,shallow,profound,a superficial view,Her understanding is superficial.,"super=위, surface 연상.",일반,상,2,O/X: superficial=심오한 → X,Q1 반의어? profound
oppose,verb,반대하다,의견·행동·정책에 맞서다.,Latin opponere,격식,격식,타동사,타동사,oppose + N,-,-,op+pose,opposition,appose와 혼동,resist,support,oppose the plan,They strongly oppose violence.,oppose vs object to 구별.,정치/일반,상,2,O/X: oppose=지지하다 → X,Q1 명사형? opposition
ritual,noun/adjective,의식; 의식적인,정해진 절차로 행하는 의례.,Latin ritus,일상 습관 의미도,격식,명/형,-,ritual of,of,-,rit+ual,ritually,routine과 혼동,ceremony,chaos,religious rituals,His morning ritual is coffee.,일상 ritual=습관.,문화/종교,중,2,O/X: ritual=무질서 → X,Q1 동의어? ceremony
