단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
strain,"noun, verb","압박, 긴장; 혹사시키다",육체·정신·사물에 부담을 주는 힘 또는 상태.,라틴어 stringere(팽팽히 당기다),바이러스 ‘변종’ 뜻도 있음,일상/의학/과학,"명사, 타동",둘 다,"가산, 불가산",strain on,해당 없음,strain(당기다),"strained, straining",stress와 구별,stress,relaxation,put a strain on,He strained his back.,strain=변종 뜻 중요.,"일반, 의학",고,4,X,"O, X: strain은 ‘변종’ 의미로도 쓰인다 → O, Q1 명사 뜻 두 가지?"
accompany,verb,동행하다; 동반하다,사람 또는 사물이 함께 존재함.,프랑스어 accompagner,음악에서 ‘반주하다’ 의미도 있음,일상/격식,타동사,타동사,"accompany + 사람, 사물",해당 없음,해당 없음,ac + company(동반자),accompaniment,company와 혼동주의,go with,leave,accompany him home,This wine accompanies meat well.,음악 반주 뜻도 함께 암기.,"일반, 음악",고,3,X,"O, X: accompany는 자동사이다 → X, Q1 명사형? accompaniment"
certain,adjective,확실한; 특정한,틀림없음 또는 구체적으로 지정됨.,라틴어 certus(확실한),‘약간의’ 의미도 있음,일상/격식,형용사,해당 없음,"certain about, of",해당 없음,해당 없음,cert(확실),certainty,certify와 혼동주의,sure,uncertain,"for certain, certain people",I'm certain about my choice.,certain=특정한 뜻 주의.,일반,최상위,3,X,"O, X: certain은 ‘특정한’ 의미도 있다 → O, Q1 명사형? certainty"
dominant,adjective,"지배적인, 우세한",다른 것보다 힘·영향력이 더 큼.,라틴어 dominari(지배하다),유전학 용어로도 사용,격식,형용사,해당 없음,dominant over,해당 없음,해당 없음,domin(지배)+ant,"dominate, dominance",domestic과 혼동주의,prevailing,minor,dominant culture,He has a dominant role.,"dominate, dominant, dominance 세트.","사회, 학문",고,4,X,"O, X: dominant = weak → X, Q1 동사형? dominate"
domestic,adjective,가정의; 국내의; 길들여진,가정·국내·동물 관련의 넓은 의미.,라틴어 domesticus(집의),경제·동물 등 폭넓게 사용,일상/격식,형용사,해당 없음,domestic to,해당 없음,해당 없음,domus(집),domesticate,dominant와 혼동주의,household,foreign,"domestic market, domestic animals",Domestic issues are rising.,domestic은 뜻 3개.,"경제, 가정, 동물",고,4,X,"O, X: domestic=외국의 → X, Q1 명사형? domestication"
wield,verb,휘두르다; 행사하다,무기·권력·영향력을 사용함.,고대 영어 wealdan(지배하다),문학적·강한 힘 강조,격식,타동사,타동사,wield + O,해당 없음,해당 없음,weald(지배),wielder,yield와 혼동주의,exercise,surrender,"wield power, wield a sword",He wields considerable influence.,"power, weapon collocation 중요.","정치, 문학",중,5,X,"O, X: wield는 자동사이다 → X, Q1 wield power 의미?"
emigration,noun,이민 (타국으로 떠남),자국에서 다른 나라로 떠나는 행위.,라틴어 emigrare(떠나다),migration보다 특정,격식,명사,불가산,emigration to,해당 없음,해당 없음,e(밖)+migrate(이동),"emigrate, emigrant",immigration과 반대,out-migration,immigration,emigration from Europe,Emigration increased rapidly.,emigrate ↔ immigrate 구별.,"사회, 지리",중,4,X,"O, X: emigration = immigration → X, Q1 동사형? emigrate"
diplomat,noun,외교관,국가 간 협상을 담당하는 공무원.,프랑스어 diplomate,비유적으로 ‘원만한 사람’,격식,명사,가산,diplomat in,해당 없음,해당 없음,diploma(문서),diplomacy,diploma와 혼동주의,envoy,civilian,an experienced diplomat,He is a skilled diplomat.,외교 관련 단어 세트.,"정치, 국제",중,3,X,"O, X: diplomat은 가산명사이다 → O, Q1 명사형? diplomat"
diplomacy,noun,외교; 외교술,국가 간 협상을 처리하는 기술.,프랑스어 diplomatie,능숙한 처신 의미 확대,격식,명사,불가산,diplomacy with,해당 없음,해당 없음,diplomat+cy,diplomatic,democracy와 혼동주의,tact,conflict,international diplomacy,He handled it with diplomacy.,불가산 주의.,"정치, 국제",중,4,X,"O, X: diplomacy는 가산명사이다 → X, Q1 형용사형? diplomatic"
compromise,"noun, verb",타협; 타협하다,서로 양보하여 합의점을 찾음.,라틴어 compromissum,품질 저하 의미도 있음,일상/격식,"명사, 자동, 타동",둘 다,가산,"compromise with, on",on,com(함께)+promise(약속),compromising,promise와 혼동주의,settlement,dispute,"reach a compromise, compromise safety",They compromised with rivals.,"on, with 패턴 주의.","사회, 일반",고,4,X,"O, X: compromise는 자동사 가능 → O, Q1 compromise on 의미?"
