단어,품사,주요 의미,핵심 의미 요약,어원,의미 확장,뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어,형태론 분석,파생어,혼동 주의,동의어,반의어,콜로케이션,예문,학습 팁,분야 태그,빈도,난이도,OX 문항,미니 퀴즈
cultivated,adjective,교양 있는; 경작된,경작되었거나 교양 있게 다듬어진.,cultivate 파생,격식,격식,형용사,-,cultivated land,-,-,cultivat+ed,cultivate,culture와 혼동,refined,wild,cultivated manners / cultivated fields,He is a cultivated person.,cultivate와 연결.,교육/농업,중,2,O/X: cultivated=거칠다 → X,Q1 동사형? cultivate
reap,verb,거두다; 수확하다,농작물을 수확하거나 결과를 얻음.,Old English rīpan,비유적 reap reward,일상/격식,타동/자동,auto/tado,reap + N,-,-,reap,reaper,rape와 철자 유사,harvest,lose,They reaped the crops.,You reap what you sow.,속담 중요.,농업/일반,상,1,O/X: reap=잃다 → X,Q1 속담? You reap what you sow.
resistant,adjective,저항력이 있는,압력·질병·변화에 버티는 성질.,Latin resistere,water-resistant,격식,형용사,-,resistant to,to,-,re+sist+ant,resistance,resistant vs reluctant,immune,vulnerable,heat-resistant materials,He is resistant to change.,to 전치사 필수.,과학/심리,상,2,O/X: resistant=취약한 → X,Q1 명사형? resistance
resist,verb,저항하다; 참다,압력·유혹 등을 견디며 거부.,Latin resistere,심리 resist temptation,격식/일상,자동/타동,auto/tado,resist + N,-,-,re+sist,resistant,exist와 혼동,withstand,yield,He resisted the attack.,I couldn’t resist chocolate.,유혹 resist highly common.,심리/일반,상,1,O/X: resist=순응하다 → X,Q1 명사형? resistance
durable,adjective,내구성이 있는,오래 견디어 쓰는 성질.,Latin durare,durable goods,격식/일상,형용사,-,durable material,-,-,dur+able,duration,dual과 혼동,long-lasting,fragile,durable furniture,These shoes are durable.,경제 durable goods.,경제/기술,상,1,O/X: durable=잘 깨짐 → X,Q1 명사형? durability
delicate,adjective,섬세한; 약한,부서지기 쉬운 혹은 정교한.,Latin delicatus,delicate issue,일상/격식,형용사,-,delicate balance,-,-,deli+cate,delicacy,delegate와 혼동,fragile,strong,a delicate flower / delicate situation,The design is delicate.,정서적 의미도 중요.,예술/감정,상,2,O/X: delicate=튼튼한 → X,Q1 명사형? delicacy
transplant,verb/noun,옮겨 심다; 이식,식물·장기를 다른 곳으로 옮김.,Latin transplantare,organ transplant,격식,동/명,auto/tado,transplant + N,-,-,trans+plant,transplantation,transport와 혼동,移plant,remove,They transplanted the tree.,He received a heart transplant.,의학적 의미 매우 중요.,의학/농업,중,2,O/X: transplant=제거만 함 → X,Q1 명사형? transplantation
enriched,adjective,강화된; 영양 강화된,더 좋게 개선되거나 영양이 추가됨.,enrich 파생,식품 enriched flour,격식,형용사,-,enriched with,with,-,en+rich+ed,enrich,rich와 단순 비교,fortified,weakened,enriched soil / enriched foods,The program enriched their skills.,with 전치사 주의.,식품/교육,중,1,O/X: enriched=약화된 → X,Q1 동사형? enrich
enrichment,noun,강화; 풍부화,질·가치를 높여 풍부하게 만듦.,enrich 파생,교육 enrichment program,격식,명사,불가산,enrichment of,of,-,en+rich+ment,enrich,shipment과 혼동,enhancement,depletion,soil enrichment / enrichment programs,Language enrichment is important.,교육 프로그램에서 자주 등장.,교육/과학,중,2,O/X: enrichment=고갈 → X,Q1 동사형? enrich
fertility,noun,비옥함; 생식력,토양이 비옥하거나 생식 능력이 좋음.,Latin fertilis,fertility rate,격식,명사,불가산,fertility of,of,-,fertil+ity,fertile,facility와 혼동,productiveness,infertility,soil fertility / fertility treatment,The fertility of the land is high.,-ity 명사형.,과학/의학,상,2,O/X: fertility=불임 → X,Q1 형용사형? fertile
