단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
be out of,expression,"~이 떨어지다, 부족하다",어떤 물건·자원이 더 이상 남아 있지 않은 상태.,out(밖)+of(이탈).,자원·식재료·기회 등 폭넓게 사용.,일상,구문,해당 없음,be동사,해당 없음,be out of + N,보어 없음,out+of,해당 없음,run out of(유사),"lack, run out of",be full of,"be out of stock, be out of time",1) We are out of milk. 2) The book is out of stock.,run out of와 세트로 학습.,"일상, 상점",고,2,Q1 의미? Q2 구조? be out of+N Q3 유사어? run out of
be apt to -v,expression,~하는 경향이 있다,특정 행동이 자연스럽게 일어날 가능성이 있음.,라틴어 aptus(적합한).,부정적·일반적 습관 묘사.,격식,구문,해당 없음,be동사,해당 없음,be apt to + 동사원형,해당 없음,apt(적합)+to,aptitude,be likely to(유사),tend to,be unlikely to,be apt to forget,1) He is apt to make mistakes. 2) People are apt to judge quickly.,"likely, tend 구문과 비교.","심리, 일상",중,4,Q1 의미? Q2 구조? apt to+V Q3 유사어? be likely to
be eager to -v,expression,~하기를 간절히 바라다,어떤 행동을 강하게 원함.,라틴어 acer(열렬한)에서 유래.,긍정적 의지 표현.,일상/격식,구문,해당 없음,be동사,해당 없음,be eager to + V,해당 없음,eager(열정)+to,eagerness,keen to(유사),"keen to, willing to",reluctant to,eager to learn,1) She is eager to start. 2) They were eager to help.,eager ↔ reluctant 대비.,"심리, 동기",고,3,Q1 eager 반의어? reluctant Q2 구조? eager to V Q3 의미?
be reluctant to -v,expression,~하기를 꺼리다,하기 싫거나 주저하는 상태.,라틴어 reluctari(저항하다).,부정적·조심스러운 뉘앙스.,격식,구문,해당 없음,be동사,해당 없음,be reluctant to + V,해당 없음,re-반대 + luct(싸우다),reluctance,eager(반의어),unwilling to,eager to,reluctant to speak,1) She was reluctant to join. 2) He is reluctant to apologize.,eager-reluctant 자주 출제.,"심리, 사회",고,4,Q1 reluctant 뜻? Q2 반의어? eager Q3 구조?
catch O v-ing,grammar pattern,O가 ~하는 중을 발견하다,행동이 진행 중일 때 포착하는 구조.,고대 영어 cacchen(잡다).,현행범 느낌 강함.,일상,타동사,타동사,타동사,해당 없음,catch + 목적어 + -ing,보어: -ing,catch(잡다),caught,find O ing(유사),find O -ing,ignore,catch him stealing,1) I caught him lying. 2) She caught the kids playing.,-ing 보어 필수 암기.,일상,고,4,Q1 구조? catch O ing Q2 의미? Q3 유사 패턴? find O ing
pretend to -v,verb phrase,~인 척하다,사실이 아닌 것을 실제처럼 행동함.,라틴어 pretendere(주장하다).,아이들 놀이부터 일상까지.,일상,타동사,타동사,타동사,해당 없음,pretend to + V,해당 없음,pre(앞) + tendere(뻗다),pretension,intend(의도하다)와 혼동주의,feign,be sincere,pretend to sleep,1) He pretended to be sick. 2) She pretended not to hear.,"feign과 유사, intend와 혼동 금지.",일상,고,3,Q1 pretend 의미? Q2 구조? pretend to V Q3 혼동주의? intend
examine,verb,"조사하다, 검토하다",대상을 자세히 살펴 분석함.,라틴어 examinare(평가하다).,의학·학문·사법 분야에서도 많이 쓰임.,격식,타동사,타동사,타동사,해당 없음,examine + O,해당 없음,ex(밖)+amin(무게 재다),examination,inspect(유사),"inspect, analyze",ignore,"examine evidence, examine a patient",1) The doctor examined him. 2) They examined the data carefully.,examine ↔ inspect 미세한 차이 익히기.,"학술, 의학",고,5,Q1 examine 의미? Q2 명사형?→examination Q3 유사어?
properly,adverb,"올바르게, 적절하게",상황·규칙에 맞게 바르게 행동함.,proper(적절한)+-ly.,일상·격식 모두.,일상/업무,부사,부사,해당 없음,해당 없음,properly + V,해당 없음,proper + -ly,proper,appropriately(유사),appropriately,improperly,"work properly, behave properly",1) The machine works properly. 2) Please behave properly.,proper ↔ improper 대비.,"일상, 업무",고,3,Q1 properly 반의어?→improperly Q2 의미? Q3 관련형? proper
certain,adjective,확실한; 특정한,의심 없이 확신하거나 특정 대상을 지칭.,라틴어 certus(정확한).,확신/제한/특정 강조.,격식/일상,형용사,해당 없음,해당 없음,해당 없음,"certain about, of",해당 없음,cert(확실)+-ain,"certainty, certainly",sure(유사),"sure, specific",uncertain,"be certain about, certain people",1) I’m certain about the result. 2) Certain changes are needed.,"certain=두 의미(확실, 특정) 구분.","일상, 학술",고,4,Q1 두 의미? Q2 전치사? certain about Q3 반의어?
froertly,unknown,(오타로 보임: 의미 불명),표준 영어 단어가 아니며 ‘formerly’로 추정 가능.,문맥 없음.,해당 없음,비표준,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,1) (정확한 표기 제공 필요),오타 가능성 매우 높음.,해당 없음,저,10,X,Q1 올바른 철자? Q2 의미? Q3 재입력 필요
