"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"surface","noun, verb","표면; 드러나다","물체의 겉면 또는 드러나는 행위.","Latin superficies","비유적 진실 surface","일상/격식","명, 동","자동, 타동","surface on","on","해당 없음","sur+face","surfacing","surfer와 혼동","exterior","interior","a smooth surface, Problems surfaced.","The truth finally surfaced.","명사, 동사 모두 사용.","과학, 일반","상","1","X","O, X: surface=내부 → X, Q1 동사 의미? 드러나다"
"emerge","verb","나오다; 나타나다","숨겨진 것이 드러남.","Latin emergere","추상적 정보 emerge","격식/일상","자동사","자동","emerge from","from","해당 없음","e+merge","emergence","immerse와 혼동","appear","disappear","New facts emerged.","He emerged from the water.","emerge from 구조.","일반","상","1","X","O, X: emerge=사라지다 → X, Q1 명사형? emergence"
"peak","noun, verb","정점; 최고조","가장 높은 수준 또는 산의 정상.","unknown","경제 peak","일상","명, 동","자동","peak at","at","해당 없음","peak","peaking","pick과 혼동","top","bottom","Sales peaked at 100.","the peak of a mountain","at 전치사 주의.","경제, 일반","상","1","X","O, X: peak=최저점 → X, Q1 반의어? bottom"
"summit","noun","산꼭대기; 정상회담","산의 최고점 또는 지도자 회담.","French sommitte","정치 summit","격식/일상","명사","가산","summit of","of","해당 없음","sum+mit","summitry","submit과 혼동","top","base","the summit of the mountain","a peace summit","두 의미 모두 중요.","정치, 지리","중","2","X","O, X: summit=하단 → X, Q1 정치 의미? 정상회담"
"steep","adjective","가파른; 급격한","기울기가 큰 혹은 변화가 큰.","Old English steap","가격 steep","일상","형용사","해당 없음","steep slope","해당 없음","해당 없음","steep","steeply","step과 혼동","sharp","gentle","a steep hill, steep prices","The rise was steep.","비유적 가격 steep.","지리, 경제","상","1","X","O, X: steep=완만한 → X, Q1 부사형? steeply"
"gentle","adjective","완만한; 온화한","부드럽고 강하지 않은 성질.","Latin gentilis","gentle breeze","일상","형용사","해당 없음","gentle slope","해당 없음","해당 없음","gent+le","gently","genital과 혼동","mild","harsh","a gentle curve","He is gentle and kind.","steep과 대비.","일상","상","1","X","O, X: gentle=거친 → X, Q1 부사형? gently"
"be inclined to do","expression","~하는 경향이 있다","특정 행동을 하려는 성향.","incline=기울다","격식","격식/일상","구","해당 없음","be inclined to-v","to-v","해당 없음","incline+ed","inclination","include와 혼동","tend","resist","He is inclined to help.","I am inclined to believe it.","incline=기울다 연상.","일반","상","2","X","O, X: be inclined to=전혀 안하려 함 → X, Q1 동의어? tend to"
"cliff","noun","절벽","급격히 떨어지는 암벽 구조.","Old English clif","지형","일상","명사","가산","cliff of","of","해당 없음","clif","cliffs","cleft와 혼동","bluff","plain","a high cliff","They stood near the cliff.","지리 단어.","지리","상","1","X","O, X: cliff=평지 → X, Q1 유의어? bluff"
"endangered","adjective","멸종 위기의","생존이 위험한 종 혹은 상태.","danger 파생","환경 보호","격식","형용사","해당 없음","endangered species","해당 없음","해당 없음","en+danger+ed","endanger","dangerous와 혼동","threatened","safe","endangered animals","The species is endangered.","환경 관련 빈출.","환경","상","1","X","O, X: endangered=안전한 → X, Q1 동사형? endanger"
"contamination","noun","오염; 혼입","해로운 물질이 섞여 더럽혀짐.","Latin contaminare","화학·환경","격식","명사","불가산","contamination of","of","해당 없음","con+tam+ination","contaminate","container와 혼동","pollution","purification","water contamination","Industrial contamination increased.","환경 단어.","환경, 과학","상","2","X","O, X: contamination=정화 → X, Q1 동사형? contaminate"
