"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"overwhelming","adjective","압도적인","너무 강력하거나 많아서 대처하기 어려운 상태.","overwhelm에서 파생","감정·수량","일상/격식","형용사","해당 없음","overwhelming evidence","해당 없음","해당 없음","over+whelm+ing","overwhelm","overcoming과 혼동","powerful","weak","an overwhelming majority","The pressure was overwhelming.","형용사형: -ing 강조.","감정, 정치","상","2","X","O, X: overwhelming=약한 → X, Q1 동사형? overwhelm"
"burden","noun, verb","부담; 짐","정신적·물질적 무거운 책임 또는 짐.","Old English byrþen","비유적 의미 넓음","일상","명, 동","타동","burden O with N","with","O+with","burd+en","burdensome","border와 혼동","load","relief","He is a burden to them.","They burdened him with work.","with 전치사 중요.","사회, 일상","상","1","X","O, X: burden=가볍게 하다 → X, Q1 형용사형? burdensome"
"complex","adjective, noun","복잡한; 콤플렉스","여러 요소가 얽혀 단순하지 않은 상태.","Latin complexus","심리 콤플렉스","일상/격식","형, 명","해당 없음","complex structure","해당 없음","해당 없음","com+plex","complexity","complicate와 혼동","complicated","simple","a complex problem","He has an inferiority complex.","complex vs complicated 차이.","학문, 심리","상","2","X","O, X: complex=단순 → X, Q1 명사형? complexity"
"intend","verb","의도하다","특정 행동·결과를 계획함.","Latin intendere","격식","일상/격식","타동사","타동","intend to-v, intend O to-v","to-v","O","in+tend","intention","attend와 혼동","plan","hesitate","I intend to study.","He intended her to succeed.","to-v 필수.","일반","상","1","X","O, X: intend=우연히 하다 → X, Q1 명사형? intention"
"intentional","adjective","의도적인","우연이 아니라 계획된 행동.","intend에서 파생","법적 맥락 포함","격식","형용사","해당 없음","intentional damage","해당 없음","해당 없음","in+tent+ional","intentionally","intensive와 혼동","deliberate","accidental","It was intentional.","intentional harm","intent(의도) 연상.","법, 일반","상","2","X","O, X: intentional=우연한 → X, Q1 부사형? intentionally"
"abrupt","adjective","갑작스러운; 퉁명스러운","예고 없이 빠르게 일어남.","Latin abruptus","태도에도 사용","격식/일상","형용사","해당 없음","abrupt change","해당 없음","해당 없음","ab+rupt","abruptly","absolute와 혼동","sudden","gradual","an abrupt stop","His tone was abrupt.","rupt=break 어근.","일반","중","2","X","O, X: abrupt=점진적 → X, Q1 부사형? abruptly"
"hostile","adjective","적대적인","상대에게 적의·반감을 보이는.","Latin hostilis","전쟁/정치 분야도","격식","형용사","해당 없음","hostile to","to","해당 없음","host+ile","hostility","hotel과 혼동","unfriendly","friendly","He was hostile to the idea.","a hostile environment","to 중요.","감정, 정치","상","2","X","O, X: hostile=우호적 → X, Q1 명사형? hostility"
"curiously","adverb","이상하게도; 호기심 있게","이상하거나 호기심을 갖는 방식.","curious 파생","두 의미 모두 중요","일상","부사","해당 없음","curiously enough","해당 없음","해당 없음","curi+ous+ly","curious","furiously와 혼동","strangely","normally","Curiously, he agreed.","She looked at it curiously.","두 의미 구별.","일반","중","1","X","O, X: curiously=평범하게 → X, Q1 형용사형? curious"
"curious","adjective","궁금해하는; 기이한","알고 싶어 하거나 이상한 성질.","Latin curiosus","두 의미 존재","일상","형용사","해당 없음","curious about","about","해당 없음","curi+ous","curiosity","furious와 혼동","inquisitive","indifferent","She is curious about science.","a curious case","두 의미: 궁금, 기이.","일반","상","1","X","O, X: curious=무관심한 → X, Q1 명사형? curiosity"
"innate","adjective","타고난; 선천적","태어날 때부터 가진 성질.","Latin innatus","격식적","격식","형용사","해당 없음","innate ability","해당 없음","해당 없음","in+nate","innately","inane과 혼동","inborn","acquired","innate talent","Fear is not always innate.","in- = inborn 기억.","심리, 생물","중","3","X","O, X: innate=후천적 → X, Q1 부사형? innately"
