단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),OX 체크용 문항(기본값 X),미니 퀴즈(3문항 선택형)
destructive,adjective,파괴적인,무언가를 심각하게 손상시키거나 파괴하는 성질.,라틴어 destruere(파괴하다)에서 유래.,물리적·심리적·사회적 파괴 모두 표현.,격식/일상,형용사,-,-,destructive to,-,de- (반대) + struct(쌓다),"destruction, destroy",constructive와 대비,"damaging, harmful",constructive,"destructive behavior, destructive force",1) The storm caused destructive damage. 2) His comments were highly destructive.,constructive와 한 쌍으로 학습.,사회/심리/자연재해,중,5,X,Q1: destructive 반의어? → constructive; Q2: 뜻? → 파괴적인; Q3: 명사형? → destruction
constructive,adjective,"건설적인, 유익한",발전을 돕거나 긍정적 결과를 가져오는 성질.,construct(건설하다)에서 파생.,비판·조언·토론 등에서 자주 사용.,격식/일상,형용사,-,-,constructive + N,-,con- + struct(쌓다) + -ive,construction,destructive와 대비,"helpful, productive",destructive,"constructive criticism, constructive dialogue",1) She offered constructive feedback. 2) They had a constructive discussion.,비판의 'constructive criticism' 중요 표현.,심리/교육/토론,고,4,X,Q1: constructive 의미? → 건설적; Q2: 반의어? → destructive; Q3: collocation? → constructive criticism
reproduce,verb,"번식하다, 재현하다",생물을 생산하거나 이미 존재하는 것을 다시 만들어냄.,re- (다시) + produce(생산)에서 파생.,생물학적 번식·기술적 복제 모두 사용.,격식/학술,자동사/타동사,둘 다 가능,-,reproduce + O,-,re- + produce,"reproduction, reproductive",copy(일상),"duplicate, replicate",destroy,"reproduce data, animals reproduce",1) The species reproduces quickly. 2) The printer reproduced the image perfectly.,생물학/공학 두 의미 구분.,생물/기술,고,5,X,Q1: reproduce 뜻? → 번식/재현; Q2: 명사형? → reproduction; Q3: 반의어? → destroy
reproduction,noun,"번식, 재현",생물이 새 개체를 만들거나 무언가를 복제하는 행위.,reproduce의 명사형.,예술·기술·생물학 영역 모두 사용.,격식,명사,불가산/가산,reproduction of,-,-,re- + production,reproductive,production(생산)과 혼동 주의,"replication, duplication",destruction,"animal reproduction, reproduction of artwork",1) Reproduction is essential for survival. 2) The reproduction of the painting was accurate.,reproduce/reproduction 함께 학습.,생물/과학/예술,중,5,X,Q1: reproduction 뜻? → 번식; Q2: 관련 형용사? → reproductive; Q3: collocation? → reproduction of artwork
identical,adjective,"똑같은, 동일한",두 대상이 구별 불가능할 정도로 똑같음.,라틴어 identitas(동일성)에서 파생.,사물·사람·수치 비교에 자주 사용.,격식/일상,형용사,-,-,identical to/with,-,ident(동일) + -ical,"identity, identically",similar(부분 유사),"same, indistinguishable",different,"identical twins, identical results",1) They bought identical shirts. 2) The twins look identical.,'similar'과 구분: identical=완전 동일.,일상/과학,고,4,X,Q1: identical 뜻? → 동일한; Q2: 전치사? identical ___ → to/with; Q3: 반의어? → different
reinforce,verb,강화하다,더 강하게 만들거나 지지·보강하다.,프랑스어 renforcer(강하게 하다)에서 유래.,심리·건축·군사 등 폭넓게 사용.,격식/일상,타동사,타동사,-,reinforce + O,-,re- (다시) + enforce(강하게 하다),reinforcement,fortify(유사),"strengthen, support",weaken,"reinforce an argument, reinforce structure",1) The evidence reinforced his claim. 2) Steel bars reinforce the wall.,심리학의 'positive reinforcement'도 자주 등장.,심리/건축/교육,고,5,X,Q1: reinforce 뜻? → 강화하다; Q2: 명사형? → reinforcement; Q3: 반의어? → weaken
industrious,adjective,"근면한, 부지런한",일을 성실하고 열심히 수행하는 성향.,"industry(근면, 산업)에서 파생.",긍정적 인성 묘사.,격식/일상,형용사,-,-,-,-,industry + -ous,industriousness,industrial(산업의)과 혼동 주의,"diligent, hard-working",lazy,"an industrious student, industrious worker",1) She is an industrious person. 2) The team worked industriously.,industrial과 의미·품사 구분.,성격/인성/교육,중,4,X,Q1: industrious 뜻? → 근면한; Q2: 반의어? → lazy; Q3: 혼동주의 단어? → industrial
classify,verb,분류하다,대상을 유형·범주에 따라 구분함.,class(종류) + -fy에서 파생.,과학·도서·정보 체계 등에서 자주 사용.,격식,타동사,타동사,-,classify + O,-,class + -ify,"classification, classifier",categorize(유사),"categorize, sort",mix,"classify information, classify species",1) The books are classified by topic. 2) Scientists classify animals.,classification과 함께 학습.,과학/정보/교육,고,5,X,Q1: classify 뜻? → 분류하다; Q2: 명사형? → classification; Q3: 전치사? classify ___ → by
classification,noun,"분류, 범주화",대상을 기준에 따라 체계적으로 나누는 과정.,classify의 명사형.,생물학·데이터·학술에서 사용.,격식적,명사,가산/불가산,classification of,-,-,class + -ification,classify,"category(결과물), grouping","categorization, grouping",disorganization,"classification system, classification of species",1) The classification of animals is complex. 2) New data requires re-classification.,classify와 세트 학습.,생물/IT/교육,중,6,X,Q1: classification 뜻? → 분류; Q2: 동사형? → classify; Q3: collocation? → classification of species
mutual,adjective,"상호의, 서로의",두 사람·집단이 서로 영향을 주고받는 관계.,라틴어 mutuus(교환되는)에서 유래.,감정·이해·이익 등에서 자주 사용.,격식/일상,형용사,-,-,mutual + N,-,mutu(교환) + -al,mutually,common(공통된)과 구분,"reciprocal, shared",one-sided,"mutual respect, mutual understanding",1) They have mutual trust. 2) Mutual respect is important.,mutual ↔ one-sided 대비.,사회/심리/인간관계,고,4,X,Q1: mutual 뜻? → 상호의; Q2: 유사어? → reciprocal; Q3: collocation? → mutual respect
