단어,품사,주요 의미,핵심 개념 요약,어원,의미 확장,뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어,형태론 분석,파생어,혼동 주의,동의어,반의어,콜로케이션,예문,학습 팁,분야 태그,빈도,난이도,OX 문항,미니 퀴즈
be derived from,expression,~에서 유래하다,어원·기원이 특정 출처에서 비롯됨.,derive에서 파생,학술·과학 글쓰기 핵심,격식,구문,수동,-,from,-,de(아래)+rivare(흐르다),derive,deprive와 혼동,originate from,begin in,The word is derived from Latin.,This idea is derived from theory.,from 필수.,학술/언어,상,3,O/X: be derived of → X,Q1 전치사? from
take - into account,expression,~을 고려하다,상황·요소를 판단에 포함함.,account(계산/고려),consideration과 유사,일상/격식,구문,-,-,into,-,take+account,accountable,count와 혼동,consider,ignore,take age into account,We must take all factors into account.,into account 구조 암기.,학습/업무,상,2,O/X: take into account 뒤 to → X,Q1 동의 표현? consider
take - into consideration,expression,~을 고려하다,상황 판단 시 요소를 포함함.,consider(생각하다),account와 거의 동일,일상/격식,구문,-,-,into,-,take+consider,consideration,conservation과 혼동,factor in,ignore,take health into consideration,We took his opinion into consideration.,into consideration=into account.,업무/학문,상,2,O/X: consideration은 conservation과 같다 → X,Q1 전치사? into
philosophy,noun,철학,지식·존재·가치에 대한 근본적 탐구.,philo(사랑)+sophia(지혜),생활 철학 의미도,격식,명사,가산/불가산,philosophy of,-,-,philo+sophy,philosopher,psychology와 혼동,worldview,ignorance,study philosophy,His philosophy of life is simple.,philo- 어근 기억.,학문/인문,상,4,O/X: philosophy는 불가산만 있다 → X,Q1 사람형? philosopher
philosophical,adjective,철학적인; 담담한,이론적·사색적 태도.,philosophy에서 파생,침착한 태도 의미 확장,격식,형용사,-,philosophical about,-,-,philosophy+ical,philosopher,psychological과 혼동,thoughtful,emotional,a philosophical question,He remained philosophical about the loss.,두 의미 모두 시험 출제.,학문/일상,중,4,O/X: philosophical은 명사형 → X,Q1 명사형? philosophy
philosopher,noun,철학자,세계·지식·가치를 탐구하는 사람.,philosophy에서 파생,일상에서 ‘사색적인 사람’,격식,명사,가산,philosopher on,-,-,philosophy+er,philosophical,philologist와 혼동,thinker,ignorant,the great philosophers,He is something of a philosopher.,"philo=사랑, soph=지혜.",인문/학문,중,4,O/X: philosopher는 불가산명사이다 → X,Q1 형용사형? philosophical
profound,adjective,심오한; 깊은,지식·영향·감정이 매우 깊음.,라틴어 profundus(깊은),감정적 깊이도 포함,격식,형용사,-,profound in,-,-,pro(앞)+fundus(바닥),profoundly,profane와 혼동,deep,superficial,profound impact,a profound thinker,profundus=깊은 기억.,학문/감정,상,4,O/X: profound는 얕다는 의미 → X,Q1 부사형? profoundly
profoundly,adverb,심오하게; 깊이,매우 강하게 또는 근본적으로.,profound에서 파생,감정·영향 모두,격식,부사,-,-,-,-,profound+ly,profound,profusely와 혼동,deeply,slightly,profoundly moved,profoundly affected society,profound와 세트.,학문/문학,중,3,O/X: profoundly는 형용사 → X,Q1 형용사형? profound
superficial,adjective,피상적인; 얕은,겉만 보고 판단함.,super(위)+facies(표면),성격·관계·이해 모두,격식,형용사,-,superficial to,-,-,super+ficial,superficially,artificial과 혼동,shallow,profound,a superficial understanding,He is superficial.,profound ↔ superficial 반의어 세트.,학문/일상,상,4,O/X: superficial = profound → X,Q1 부사형? superficially
oppose,verb,반대하다,의견·행동·정책에 맞서다.,라틴어 opponere(대항하다),정치·사회문제에서 자주 사용,격식,타동사,타동사,oppose + N,-,-,op(대항)+pose(놓다),opposition,appose와 혼동,resist,support,oppose the plan,They strongly oppose violence.,타동사 only 암기.,정치/사회,상,3,O/X: oppose는 자동사이다 → X,Q1 명사형? opposition
