단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
innocent,adjective,"죄가 없는, 순수한",잘못이나 책임이 없는 상태를 나타냄.,라틴어 innocens(해를 끼치지 않는)에서 유래,아이·동물·상황에 대한 순수함·무죄 표현,격식/일상 모두,형용사,해당 없음,해당 없음,해당 없음,innocent of + 명사,해당 없음,in- (not) + noc(해치다),"innocence, innocently",naive(부분 혼동),"guiltless, pure",guilty,"innocent victim, completely innocent",1) He was found innocent of the charges. 2) Children are often innocent and curious.,guilty와 대조하여 학습,"법, 심리, 일상",고,4,"Q1: 'innocent' 반의어? (A) guilty (B) pure → A, Q2: 전치사? innocent ___ charges → of, Q3: 명사형? → innocence"
innocence,noun,"무죄, 순수함",죄가 없거나 마음이 순수한 상태.,innocent의 명사형,법/심리 두 영역에서 사용,격식적,명사,해당 없음,불가산,해당 없음,해당 없음,해당 없음,in- + noc(해치다) + -ence,innocent,ignorance(혼동 주의),"purity, guiltlessness",guilt,"claim innocence, presumption of innocence",1) She maintained her innocence. 2) The child's innocence was touching.,철자 주의: innocence,"법, 심리",중,4,"Q1: innocence 품사? → 명사, Q2: 의미는? (A) 죄 (B) 무죄 → B, Q3: 반의어? → guilt"
commit,verb,"저지르다, 약속하다, 맡기다",행위를 수행하거나 약속을 확정함.,"라틴어 committere(함께 보내다, 맡기다)에서 유래",범죄 저지르다/약속하다/전념하다 세 가지 의미,격식/일상 모두,타동사,타동사,해당 없음,해당 없음,"commit + crime, commit to -ing",보어: commit oneself to,com- + mittere(보내다),"commitment, committed",engage(유사),"perform, promise",abandon,"commit a crime, commit to goals",1) He committed a serious crime. 2) She committed to improving her skills.,"commit + crime, commit to -ing 구문 반드시 암기","법, 일상",고,6,"Q1: commit의 주요 뜻? (A) 파괴 (B) 저지르다, 약속하다 → B, Q2: commit to 뒤 형태? → -ing, Q3: 명사형? → commitment"
commitment,noun,"헌신, 약속",어떤 일·사람·목표에 헌신하거나 약속하는 상태.,commit의 파생 명사,일·관계·직업에 대한 책임감 강조,격식/일상,명사,해당 없음,"가산, 불가산 모두",해당 없음,해당 없음,해당 없음,commit + -ment,committed,obligation(유사),"devotion, dedication",indifference,"strong commitment, commitment to education",1) His commitment to the project impressed everyone. 2) They made a long-term commitment.,commit와 set로 묶어 암기,"경영, 사회, 일상",고,5,"Q1: commitment 의미? → 헌신, Q2: collocation? → commitment to, Q3: 반의어? → indifference"
adequate,adjective,"충분한, 적절한",필요 조건을 충족하는 충분·적절한 상태.,라틴어 adaequare(같게 하다)에서 유래,수량·질적 기준 충족 의미,격식적,형용사,해당 없음,해당 없음,해당 없음,"adequate for, to",해당 없음,ad- + aequ(같다),"adequately, adequacy",sufficient(유사),"sufficient, enough",insufficient,"adequate resources, adequate explanation",1) The food supply is adequate. 2) He gave an adequate answer.,adequate vs. appropriate 구분,"경제, 일상",고,4,"Q1: adequate 뜻? → 충분한, Q2: 반의어? → insufficient, Q3: 전치사? adequate ___ → for, to"
aggressive,adjective,"공격적인, 적극적인",적대적이거나 매우 적극적으로 행동함.,"라틴어 aggredi(접근하다, 공격하다)에서 유래",부정적(공격)·긍정적(적극) 의미 모두 가능,일상/심리/비즈니스,형용사,해당 없음,해당 없음,해당 없음,해당 없음,ag- + gress(걸어가다),"aggression, aggressively",assertive(혼동),"hostile, assertive",passive,"aggressive behavior, aggressive marketing",1) The dog became aggressive. 2) They adopted an aggressive marketing strategy.,긍정/부정 둘 다 가능함 기억,"심리, 마케팅, 일상",고,5,X,"Q1: aggressive의 두 의미? → 공격적, 적극적, Q2: 명사형? → aggression, Q3: 반의어? → passive"
submissive,adjective,"순종적인, 복종하는",다른 사람에게 쉽게 복종하거나 따르는 성향.,라틴어 submittere(아래로 보내다)에서 유래,심리·사회적 특성을 나타냄,격식적,형용사,해당 없음,해당 없음,해당 없음,submissive to,해당 없음,sub- + miss(보내다) + -ive,submission,obedient(유사),"obedient, compliant",dominant,"submissive personality, submissive behavior",1) He has a submissive nature. 2) The dog became submissive after training.,dominant와 대비하여 이해,"심리, 사회",중,5,"Q1: submissive 반의어? → dominant, Q2: 전치사? submissive ___ → to, Q3: 명사형? → submission"
aggression,noun,"공격성, 침략",적대적 행동·폭력적 태도를 의미.,라틴어 aggredi에서 유래,심리·전쟁·스포츠 문맥에서 사용,격식/일상,명사,해당 없음,불가산,해당 없음,해당 없음,해당 없음,ag- + gress(걷다) + -ion,aggressive,assault(혼동 가능),"hostility, violence",peace,"acts of aggression, display aggression",1) The country condemned the act of aggression. 2) The animal showed aggression.,aggressive와 함께 세트 학습,"심리, 정치, 군사",중,6,"Q1: aggression 의미? → 공격성, Q2: 형용사형? → aggressive, Q3: 반의어? → peace"
thrust,"verb, noun","밀다, 밀어 넣다; 추진력",강하게 밀거나 찌르듯 밀어 넣다.,고대 영어 thrusten에서 유래,물리적 동작·추진력 비유,일상/문학,"타동사, 자동사","타동사, 자동사","가산, 불가산",thrust into,해당 없음,"어근 불명확, 게르만계",thrusting,push(유사),"push, drive",pull,"thrust into darkness, thrust forward",1) He thrust the door open. 2) The rocket's thrust increased. 3) She thrust the letter into my hand.,문학적 표현이 많음,"물리, 문학",중,6,X,"Q1: thrust의 의미? → 밀다, Q2: 반의어? → pull, Q3: 구동사? thrust ___ darkness → into"
apparent,adjective,"명백한, 외견상의",겉으로 보기에는 명확해 보임.,라틴어 apparere(나타나다)에서 유래,‘겉보기에는’ 의미 포함,격식적/일상,형용사,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,ap- + parere(나타나다),"apparently, appearance",obvious(유사),"obvious, evident",hidden,"apparent cause, apparent reason",1) His anger was apparent. 2) There is no apparent reason for the delay.,apparently는 ‘겉보기에는’ 의미,"일상, 학술",고,4,"Q1: apparent 의미? → 명백한, Q2: 부사형? → apparently, Q3: 반의어? → hidden"
