단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),OX 체크용 문항(기본값 X),미니 퀴즈(3문항 선택형)
coordinate,verb/adjective,조정하다; 동등한,여러 요소를 조화롭게 맞추어 정렬·조정함.,co(함께)+ordinare(정렬하다),형용사: 동등한,격식,동사/형용사,타동사,-,with,-,co+ordinate,coordination,corroborate와 혼동,organize,disrupt,coordinate efforts / coordinate a team,We coordinated the schedule.,coordination과 세트.,업무/조직,상,4,O/X: coordinate는 형용사도 있다 → O,Q1 명사형? coordination
coordination,noun,조정; 협력,여러 요소가 체계적으로 맞물리는 상태.,coordinate에서 파생,신체 운동 조정 의미도,격식,명사,불가산,coordination of,-,-,co+ordination,coordinator,corporation과 혼동,integration,disarray,team coordination,Poor coordination caused delays.,업무·운동 두 의미.,업무/생물,상,3,O/X: coordination=혼란 → X,Q1 동사형? coordinate
collapse,verb/noun,붕괴하다; 붕괴,구조·조직 등이 무너짐.,col(함께)+labi(미끄러지다),정신적 붕괴 비유도,일상/격식,자동/타동/명사,둘 다,collapse into,-,-,col+lapse,collapsible,collision과 혼동,fall apart,stand firm,The building collapsed.,The economy is on the verge of collapse.,자동·타동 둘 다 가능.,일반/경제,상,3,O/X: collapse는 자동사만 → X,Q1 명사형? collapse
composition,noun,구성; 작문; 작곡,부분들이 모여 전체를 이루는 구조.,com(함께)+ponere(두다),음악·미술에도 사용,격식,명사,가산/불가산,composition of,-,-,com+position,compose,composure와 혼동,structure,disorder,the composition of the committee,She studied musical composition.,compose와 세트.,학문/예술,상,4,O/X: composition=작문 의미도 있다 → O,Q1 동사형? compose
rehearse,verb,연습하다; 예행연습하다,실전 전에 반복적으로 연습함.,re(다시)+hear(듣다),일상 연습에도 사용,격식/일상,타동/자동,둘 다,rehearse for,for,-,re+hear+se,rehearsal,reverse와 혼동,practice,improvise,rehearse a play,The actors rehearsed for hours.,rehearsal과 세트.,예술/연극,중,3,O/X: rehearse는 자동사 불가 → X,Q1 명사형? rehearsal
perform,verb,수행하다; 공연하다,과업을 실행하거나 무대에서 연기함.,프랑스어 parformer,기능 검사 ‘성능을 내다’,일상/격식,타동/자동,둘 다,perform on,on,-,per+form,performance,transform과 혼동,carry out,fail,perform a task / perform on stage,The machine performs well.,performance 반드시 암기.,학문/예술,상,3,O/X: perform=자동사만 → X,Q1 명사형? performance
performer,noun,공연자; 수행자,무대에서 공연하는 사람 또는 역할 수행자.,perform에서 파생,넓게는 ‘성과 좋은 사람’,일상/격식,명사,가산,performer of,-,-,perform+er,performance,preformer 오타 주의,artist,audience,a talented performer,The performer impressed the crowd.,er=행위자 접미사.,예술,중,3,O/X: performer=관객 → X,Q1 동사형? perform
impressive,adjective,인상적인,강렬하거나 감탄을 불러일으키는.,impress에서 파생,긍정적 뉘앙스,일상/격식,형용사,-,impressive to,-,-,impress+ive,impressively,impression과 혼동,remarkable,ordinary,an impressive result,The view was impressive.,impress/impressive/impression 세트.,일반,상,3,O/X: impressive=평범한 → X,Q1 명사형? impression
striking,adjective,눈에 띄는; 현저한,강렬하게 주목되는 특징.,strike에서 파생,외모·색 대비에 자주 사용,일상/격식,형용사,-,striking for,-,-,strike+ing,strikingly,stricken과 혼동,remarkable,unremarkable,a striking contrast,She has striking features.,impressive와 유사하지만 시각적 강조.,일반,상,3,O/X: striking=미미한 → X,Q1 부사형? strikingly
socialize,verb,사교 활동을 하다,사람들과 교류하고 어울림.,social에서 파생,동물을 ‘사회화하다’,일상/격식,자동/타동,둘 다,socialize with,with,-,social+ize,socialization,society와 혼동,interact,isolate,socialize with friends,Children need to be socialized.,with 필수 주의.,심리/사회,상,3,O/X: socialize는 타동사만 → X,Q1 명사형? socialization
