단어,품사,주요 의미,핵심 의미 요약,어원,의미 확장,뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어,형태론 분석,파생어,혼동 주의,동의어,반의어,콜로케이션,예문,학습 팁,분야 태그,빈도,난이도,OX 문항,미니 퀴즈
starvation,noun,굶주림; 기아,음식 부족으로 극심한 고통.,starve에서 파생,비유적 의미도,격식,명사,불가산,starvation of,of,-,starv+ation,starve,salvation과 혼동,hunger,abundance,They died of starvation.,Starvation was widespread.,starve-starvation 세트.,사회/역사,상,2,O/X: starvation=풍요 → X,Q1 동사형? starve
instruct,verb,지시하다; 가르치다,무엇을 하도록 명령하거나 방법을 알려줌.,Latin instruere,격식,격식,타동사,타동사,instruct + O to-v,to-v,O,in+struct,instruction,construct와 혼동,direct,ignore,He instructed them to wait.,She instructed me in English.,to-v 구조 필수.,교육/법,상,2,O/X: instruct=무시하다 → X,Q1 명사형? instruction
instructive,adjective,유익한; 교육적인,배우는 데 도움을 주는.,instruct에서 파생,격식,격식,형용사,-,instructive example,-,-,in+struct+ive,instruct,destructive와 혼동,educational,uninformative,an instructive lesson,Her comments were highly instructive.,instruct와 연결.,교육,중,2,O/X: instructive=무익한 → X,Q1 명사형? instruction
appreciation,noun,감사; 이해; 감상,가치·의미를 알고 인정하는 것.,Latin appretiare,예술 감상,격식/일상,명사,불가산/가산,appreciation for/of,for/of,-,appreci+ation,appreciate,depreciation과 혼동,gratitude,disregard,show appreciation for help,art appreciation,"for=감사, of=이해.",예술/일반,상,2,O/X: appreciation=무시 → X,Q1 동사형? appreciate
score,verb/noun,점수; 득점하다,경기·시험에서 얻은 점수 또는 구성 음악.,Old Norse skor,음악 score,일상,동/명,타동/자동,score + N,-,-,score,scoring,scar와 혼동,gain points,lose,He scored 90 points.,The team scored twice.,music score 의미도 암기.,스포츠/음악,상,1,O/X: score=점수 잃다 → X,Q1 명사 의미 하나? 음악 악보
pupil,noun,학생; 눈동자,초·중등 학생 또는 눈의 동공.,Latin pupillus,두 의미가 모두 중요,일상,명사,가산,pupil of,of,-,pup+il,pupillary,people과 혼동,student,teacher,a pupil in class,His pupils dilated.,동공 의미도 중요.,교육/의학,상,2,O/X: pupil=성인 대학생만 → X,Q1 신체 의미? 동공
discipline,noun/verb,규율; 학문 분야; 훈육하다,규칙 준수 또는 지식 분야.,Latin disciplina,훈육하다 동사,격식/일상,명/동,타동,discipline + N,-,-,disci+pline,disciplinary,disciple과 혼동,control,indiscipline,strict discipline / academic disciplines,Parents discipline children.,discipline=학문 분야 의미 중요.,교육/일반,상,3,O/X: discipline=학문 아님 → X,Q1 동사형 뜻? 훈육하다
guidance,noun,지도; 안내,올바른 방향으로 돕는 것.,guide에서 파생,심리 상담,격식/일상,명사,불가산,guidance on,on,-,guide+ance,guide,guard와 혼동,advice,misguidance,career guidance / under the guidance of,We need expert guidance.,-ance 명사형.,교육/심리,상,1,O/X: guidance=혼란 → X,Q1 동사형? guide
collective,adjective/noun,집단의; 공동체,개인 아닌 집단 전체에 속한 것.,Latin collectivus,정치·사회,격식,형/명,-,collective effort,-,-,collect+ive,collectively,collection과 혼동,group,individual,collective action,They acted as a collective.,collect와 연결.,사회/정치,중,2,O/X: collective=개인적 → X,Q1 부사형? collectively
collectivity,noun,집단성; 공동체,개별보다 집단 중심 성질.,collective에서 파생,사회학,격식,명사,불가산,collectivity of,of,-,collect+ivity,collective,creativity와 혼동,community,individualism,the collectivity of a tribe,Collectivity shapes culture.,-ivity 명사형.,사회학,중,3,O/X: collectivity=개인주의 → X,Q1 형용사형? collective
