"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"signature","noun","서명; 특징적인 표시","개인을 식별하는 고유한 서명 또는 특징.","Latin signare","signature sound 등 확장","일상/격식","명사","가산","signature of","of","해당 없음","sign+ature","sign","signal과 혼동","autograph","anonymity","Please put your signature here.","The chef’s signature dish.","signature=대표 특징도 됨.","일반","상","1","X","O, X: signature=익명 → X, Q1 의미 하나? 대표 요리"
"transmit","verb","전송하다; 전달하다","정보·신호·질병 등을 옮겨 보내다.","Latin transmittere","기술·의학","격식","타동, 자동","타동","transmit + N","해당 없음","해당 없음","trans+mit","transmission","submit과 혼동","send","receive","They transmitted data.","The disease is transmitted by insects.","tech, medical 둘 다 중요.","기술, 의학","상","2","X","O, X: transmit=차단하다 → X, Q1 명사형? transmission"
"commercial","adjective, noun","상업의; 광고","이익을 위한 활동 또는 광고.","Latin commercium","TV 광고","일상/격식","형, 명","해당 없음","commercial use","해당 없음","해당 없음","com+merce+ial","commercially","communal과 혼동","business","noncommercial","commercial products, a TV commercial","Commercial success matters.","commercial=광고 의미 주의.","경제, 마케팅","상","1","X","O, X: commercial=비영리 → X, Q1 명사 의미? 광고"
"commerce","noun","상업; 무역","상품·서비스의 교환 활동.","Latin commercium","전자상거래 e-commerce","격식/일상","명사","불가산","commerce between","between","해당 없음","com+merce","commercial","commence와 혼동","trade","idleness","international commerce","Commerce drives growth.","commercial과 세트.","경제","상","2","X","O, X: commerce=게으름 → X, Q1 형용사형? commercial"
"appealing","adjective","매력적인; 흥미로운","사람을 끌어당기는 성질.","appeal에서 파생","감정적 호소","일상","형용사","해당 없음","appealing to","to","해당 없음","appeal+ing","appeal","appalling과 혼동","attractive","unappealing","an appealing idea","The design is appealing to users.","appeal=호소하다 연상.","감정, 디자인","상","1","X","O, X: appealing=역겨운 → X, Q1 반의어? unappealing"
"appeal","verb, noun","호소하다; 매력; 항소","감정·도움·법원에 요청하거나 매력.","Latin appellare","법적 appeal","일상/격식","동, 명","자동, 가산","appeal to","to","해당 없음","ap+peal","appealing","appall과 혼동","request","ignore","He appealed to them for help.","The idea has strong appeal.","to 전치사 필수.","법, 일반","상","2","X","O, X: appeal=무시하다 → X, Q1 명사 의미? 매력"
"evident","adjective","분명한; 명백한","명확히 드러나 쉽게 보임.","Latin evidens","격식","격식","형용사","해당 없음","evident that","that","절","e+vid+ent","evidence","event와 혼동","clear","uncertain","It is evident that he lied.","The change is evident.","evidence와 연결.","학문, 일반","상","2","X","O, X: evident=불분명 → X, Q1 명사형? evidence"
"obscure","adjective, verb","모호한; 가리다","분명하지 않거나 알아보기 어렵게 함.","Latin obscurus","격식적 느낌","격식","형, 동","타동","obscure + N","해당 없음","해당 없음","ob+scure","obscurity","secure와 혼동","unclear","clear","an obscure rule, Clouds obscured the view.","His origin is obscure.","obscure=모호한.","학문, 일반","중","2","X","O, X: obscure=명확 → X, Q1 명사형? obscurity"
"obscurity","noun","무명; 모호함","잘 알려지지 않거나 불명료한 상태.","obscure 파생","문학적","격식","명사","불가산","in obscurity","in","해당 없음","ob+scure+ity","obscure","security와 혼동","uncertainty","clarity","He lived in obscurity.","The poem faded into obscurity.","문학 텍스트 자주 사용.","문학, 일반","중","3","X","O, X: obscurity=명확성 → X, Q1 형용사형? obscure"
"compelling","adjective","설득력 있는; 강렬한","강하게 주의를 끌거나 믿게 만듦.","com+pellere","문학·논증","격식","형용사","해당 없음","compelling evidence","해당 없음","해당 없음","com+pell+ing","compel","expelling과 혼동","convincing","unconvincing","compelling reasons, a compelling story","The argument is compelling.","compel=강요하다 연상.","학문, 문학","상","2","X","O, X: compelling=설득력 없는 → X, Q1 동사형? compel"
