"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"ritual","noun, adjective","의식; 의례적인","전통적으로 반복되는 행동·의례.","라틴어 ritus(의식)","일상 반복 습관 의미도","격식/일상","명사, 형용사","해당 없음","가산, 불가산","ritual of","해당 없음","rit(us)+ual","ritualistic","routine과 차이","ceremony","chaos","religious ritual","His morning ritual is coffee.","ceremony와 비교.","문화, 종교","중","3","X","O, X: ritual은 형용사 가능 → O, Q1 명사 뜻? 의식"
"ceremony","noun","식, 의식","공식적으로 행해지는 행사.","라틴어 caerimonia","정중함 강조","격식","명사","가산","ceremony of","해당 없음","해당 없음","ceremoni(a)+y","ceremonial","ritual과 비교","rite","informality","wedding ceremony","The ceremony was simple.","ritual보다 공식적.","문화, 사회","상","3","X","O, X: ceremony는 불가산명사 → X, Q1 형용사형? ceremonial"
"substance","noun","물질; 본질","어떤 것을 구성하는 물질 또는 핵심 내용.","라틴어 substantia","본질·중요 근거 강조","격식","명사","가산, 불가산","substance of","해당 없음","해당 없음","sub(아래)+stance(서다)","substantial","subject와 혼동","material","appearance","toxic substance, the substance of the argument","There is no substance in the rumor.","substance=물질, 본질 둘 다 중요.","과학, 논리","상","4","X","O, X: substance는 본질 의미도 있다 → O, Q1 형용사형? substantial"
"substantial","adjective","상당한; 실질적인","양·규모·영향이 큰 상태.","substance에서 파생","‘튼튼한’ 의미도","격식","형용사","해당 없음","substantial to","해당 없음","해당 없음","substance+tial","substantially","sustainable과 혼동","considerable","minor","substantial amount","There is substantial evidence.","substantial ↔ substantial(ly) 구별.","학술, 일상","상","4","X","O, X: substantial=작다 → X, Q1 부사형? substantially"
"substantially","adverb","상당히; 실질적으로","큰 범위·정도로.","substantial에서 파생","법률·학술 글쓰기","격식","부사","해당 없음","해당 없음","해당 없음","해당 없음","substantial+ly","substantial","subtly와 혼동","considerably","slightly","substantially different","Costs increased substantially.","법률문서 빈출.","학술, 법","상","4","X","O, X: substantially는 형용사 → X, Q1 형용사형? substantial"
"prejudice","noun, verb","편견; 편견을 갖게 하다","사실보다 선입견에 기반한 판단.","pre(미리)+judge(판단)","법적 ‘불리하게 하다’ 뜻도","격식/일상","명사, 타동사","타동","가산, 불가산","prejudice against","해당 없음","pre+judge","prejudiced","justice와 혼동","bias","fairness","racial prejudice, prejudice someone","He was prejudiced by false info.","prejudice vs bias 구별.","사회, 법","상","4","X","O, X: prejudice는 동사 가능 → O, Q1 명사형? prejudice"
"prejudiced","adjective","편견을 가진","특정 대상에 대해 부당한 선입견을 가진 상태.","prejudice에서 파생","부정적 의미 강함","격식/일상","형용사","해당 없음","prejudiced against","해당 없음","해당 없음","prejudice+d","prejudice","prejudicial과 혼동","biased","fair","He is prejudiced against foreigners.","A prejudiced view.","prejudice와 연결.","사회","상","3","X","O, X: prejudiced는 명사 → X, Q1 동사형? prejudice"
"ultimate","adjective","궁극적인; 최종의","과정의 끝 또는 최고 수준.","라틴어 ultimare(끝내다)","비격식 ‘최고의’","격식/일상","형용사","해당 없음","ultimate in","해당 없음","해당 없음","ulti(끝)+mate","ultimately","intimate와 혼동","final","initial","ultimate goal","This is the ultimate challenge.","ultimate vs ultimatum 구별.","학문, 일반","중","3","X","O, X: ultimate는 명사 → X, Q1 부사형? ultimately"
"ultimately","adverb","결국; 궁극적으로","모든 과정을 거친 최종적인 결론.","ultimate에서 파생","글쓰기·논문 핵심","격식","부사","해당 없음","해당 없음","해당 없음","해당 없음","ultimate+ly","ultimate","intimately와 혼동","finally","initially","Ultimately, we succeeded.","He ultimately agreed.","논문·요약문에서 자주 사용.","학술, 일반","중","3","X","O, X: ultimately는 형용사 → X, Q1 형용사형? ultimate"
"absolute","adjective","절대적인; 완전한","조건·제한 없이 전체적으로 완전함.","라틴어 absolutus(풀린)","철학·물리에서도 사용","격식","형용사","해당 없음","absolute in","해당 없음","해당 없음","ab(멀리)+solvere(풀다)","absolutely","obsolete와 혼동","complete","partial","absolute truth","absolute silence","absolute=완전한 기억.","철학, 일반","중","4","X","O, X: absolute = partial → X, Q1 부사형? absolutely"
