단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
merchandise,"noun, verb",상품; 판매하다,상업적으로 거래되는 제품.,프랑스어 marchand(상인),대량 판매 맥락,격식,"명사, 타동사","명사, 타동사",타동사,불가산,merchandise with,해당 없음,merchant+ise,merchant,mercy와 혼동주의,goods,services,sell merchandise,The store merchandises sports gear.,불가산 주의.,"경제, 유통",중,4,"O, X: merchandise는 가산명사이다 → X, Q1 동사 의미? 판매하다"
go off,phrasal verb,폭발하다; (알람이) 울리다; 상하다,갑자기 작동/변질/폭발함.,go + off(떨어져),음식 상하다 의미 중요,일상,구동사,구동사,자동사,go off + N,해당 없음,해당 없음,go+off,해당 없음,go out과 혼동,explode,stay quiet,"the bomb went off, The milk went off.",The alarm went off at 6.,뜻 3개 구분.,일상,상,3,"O, X: go off = turn off → X, Q1 뜻 3개?"
burst into,phrasal verb,갑자기 ~하기 시작하다,감정·행동이 갑자기 터짐.,burst(터지다)+into,감정·행동 모두,일상,구동사,구동사,자동사,burst into + N,해당 없음,해당 없음,burst+into,burst,burst out과 비교,suddenly start,stop,"burst into tears, laughter",She burst into song.,"into 뒤 감정, 행동 명사.",감정,중,3,"O, X: burst into 뒤 동사원형 → X, Q1 예: burst into tears"
observation,noun,관찰; 관찰 결과,주의 깊게 살펴보고 얻은 정보.,observe에서 파생,과학적 조사 의미,격식,명사,해당 없음,"가산, 불가산",observation of,해당 없음,해당 없음,observe+tion,observatory,obligation과 혼동,watching,ignorance,scientific observation,He made an interesting observation.,"observe, observation 세트.","과학, 일반",상,3,"O, X: observation은 가산·불가산 모두 가능 → O, Q1 동사형? observe"
observe,verb,관찰하다; 준수하다,주의 깊게 보다 또는 규칙을 지키다.,라틴어 observare,법·과학에서 중요,격식,타동사,타동사,타동사,observe + N,해당 없음,해당 없음,ob+serve(지키다),observation,deserve와 혼동,watch,ignore,"observe the stars, observe the rules",They observed silence.,관찰+준수 두 가지 뜻.,"과학, 법",상,4,"O, X: observe는 자동사이다 → X, Q1 명사형? observation"
observatory,noun,천문대,우주·자연 현상을 관찰하는 시설.,observe에서 파생,천문학 맥락,격식,명사,해당 없음,가산,observatory for,해당 없음,해당 없음,observe+tory,observation,laboratory와 혼동,astronomical facility,해당 없음,visit an observatory,The observatory studies stars.,observe와 어근 동일.,천문학,중,4,"O, X: observatory는 불가산명사이다 → X, Q1 분야? astronomy"
vapor,noun,증기,기체 상태의 물질.,라틴어 vapor,"미국식 vapor, 영국식 vapour",과학/일상,명사,해당 없음,"가산, 불가산",vapor of,해당 없음,해당 없음,vapor,vaporize,paper와 혼동,steam,liquid,water vapor,The air is full of vapor.,"vapor, vapour 철자 차이.",과학,중,3,"O, X: vapor = liquid → X, Q1 영국식 철자? vapour"
evaporate,verb,증발하다,액체가 기체로 바뀌어 사라짐.,ex(밖)+vapor,비유적으로 ‘사라지다’도 가능,과학,"자동, 타동","자동, 타동",둘 다,evaporate from,해당 없음,해당 없음,e+vapor+ate,evaporation,corroborate와 혼동,vaporize,condense,Water evaporates quickly.,His anger evaporated.,비유적 의미 주의.,과학,중,3,"O, X: evaporate는 자동사만 → X, Q1 명사형? evaporation"
grave,"adjective, noun",심각한; 무덤,큰 위험 또는 사망자를 묻는 장소.,라틴어 gravis(무거운),표정·목소리도 ‘진지한’,격식,"형용사, 명사",해당 없음,해당 없음,grave for,해당 없음,해당 없음,gravis(무거운),gravity,brave와 혼동,serious,light,"a grave mistake, grave site",His tone was grave.,grave=serious 중요.,일반,중,4,"O, X: grave는 형용사도 있다 → O, Q1 명사 뜻? 무덤"
molecule,noun,분자,물질을 구성하는 최소 입자 단위.,라틴어 molecula(작은 덩어리),화학 기초 개념,격식,명사,해당 없음,가산,molecule of,해당 없음,해당 없음,mole(덩어리)+cule(작은),molecular,molten과 혼동,particle,compound,a water molecule,Molecules form matter.,molecular과 세트.,화학,상,4,"O, X: molecule은 불가산명사이다 → X, Q1 형용사형? molecular"
