단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
surgical,adjective,외과의; 수술의,수술과 관련된 성질.,Greek kheir(손)+ergon(일),정밀한 행동 의미 확장,격식/의학,형용사,해당 없음,surgical on,해당 없음,해당 없음,surgery+ical,surgeon,sergeant과 혼동,operative,non-surgical,surgical instruments,He needs surgical treatment.,"surgery, surgeon과 세트.",의학,상,4,X,"O, X: surgical=내과적 → X, Q1 명사형? surgery"
surgeon,noun,외과 의사,수술을 전문적으로 수행하는 의사.,surger(작업)+on,영국 의사 칭호 의미,격식,명사,가산,surgeon for,해당 없음,해당 없음,surgery+on,surgical,sergeant과 혼동,doctor,patient,a heart surgeon,Surgeons performed the operation.,발음 주의(sur-jun).,의학,상,4,X,"O, X: surgeon=수술 → X, Q1 형용사형? surgical"
immune,adjective,면역의; 영향을 받지 않는,병원체에 저항하거나 영향에서 벗어남.,Latin immunis(면세된),비유: 감정·비판에 둔감,격식,형용사,해당 없음,"immune to, from","to, from",해당 없음,im+munis,immunity,immense와 혼동,resistant,vulnerable,"immune system, immune to criticism",He is immune from arrest.,"to, from 차이 암기.","의학, 일반",상,3,X,"O, X: immune=영향 받기 쉬운 → X, Q1 명사형? immunity"
immunity,noun,면역; 면책,병에 걸리지 않는 능력 또는 법적 보호.,immune에서 파생,법적 면책 의미 중요,격식,명사,"불가산, 가산","immunity to, from",해당 없음,해당 없음,immune+ity,immunize,imminent과 혼동,resistance,susceptibility,"herd immunity, diplomatic immunity",He has immunity from prosecution.,의학·법학 모두 중요.,"의학, 법",상,4,X,"O, X: immunity=감염성 → X, Q1 동사형? immunize"
faint,"adjective, verb",희미한; 기절하다,빛·소리·냄새가 약하거나 의식을 잃는 상태.,Old French feindre,명사: faint(기절),일상,"형, 동, 명",자동사,faint from,from,해당 없음,faint,faintly,feint(속임수)와 혼동,weak,strong,"a faint sound, She fainted.",He felt faint.,feint와 철자 구별.,일상,상,2,X,"O, X: faint=강렬한 → X, Q1 부사형? faintly"
faintly,adverb,희미하게,아주 약하게 감지되는 정도.,faint에서 파생,감정 표현에도 사용,일상,부사,해당 없음,해당 없음,해당 없음,해당 없음,faint+ly,faint,feintly와 혼동,slightly,strongly,faintly visible,He smiled faintly.,"faint, faintly 세트.",일상,상,2,X,"O, X: faintly=강하게 → X, Q1 형용사형? faint"
stroke,"noun, verb",뇌졸중; 쓰다듬다,혈류 차단 질병 또는 부드럽게 쓰다듬음.,Old English stracian,운동 stroke(영법) 의미,일상/의학,"명, 동",타동사,stroke + N,해당 없음,해당 없음,stroke,stroked,strike와 혼동,pat,hit,"a stroke patient, stroke a cat",He had a stroke.,stroke=수영 팔젓 의미도.,"의학, 일상",상,3,X,"O, X: stroke=타격만 → X, Q1 질병 의미? 뇌졸중"
breath taking,adjective,숨막히게 아름다운,경치·상황이 매우 아름다워 숨이 막힐 듯함.,breath+take,breathtaking(표준 철자),일상,형용사,해당 없음,breathtaking to,해당 없음,해당 없음,breath+taking,breathtaking,breath-taking 띄어쓰기 주의,stunning,ordinary,a breathtaking view,The performance was breathtaking.,철자: breathtaking.,일반,상,2,X,"O, X: breath taking이 표준 철자 → X, Q1 표준 철자? breathtaking"
diagnose,verb,진단하다,의학적으로 상태를 판단함.,dia(통해)+gnosis(알다),컴퓨터 오류 진단도,격식,타동사,타동사,diagnose + N,해당 없음,해당 없음,dia+gnose,diagnosis,dialogue와 혼동,identify,misjudge,diagnose a disease,He was diagnosed with cancer.,with 암기: be diagnosed with.,의학,상,4,X,"O, X: diagnose=자동사 → X, Q1 명사형? diagnosis"
diagnosis,noun,진단,원인·상태를 판단하는 행위.,Greek diagnoskein,복수 diagnoses,격식,명사,"가산, 불가산",diagnosis of,해당 없음,해당 없음,dia+gnosis,diagnostic,prognosis와 혼동,identification,misdiagnosis,a diagnosis of diabetes,Early diagnosis saves lives.,"diagnose, diagnosis, prognosis 구별.",의학,상,4,X,"O, X: diagnosis의 복수는 diagnosises → X, Q1 복수형? diagnoses"
