단어,품사,주요 의미,핵심 의미 요약,어원,의미 확장,뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어,형태론 분석,파생어,혼동 주의,동의어,반의어,콜로케이션,예문,학습 팁,분야 태그,빈도,난이도,OX 문항,미니 퀴즈
surgeon,noun,외과 의사,수술을 집도하는 전문 의사.,Latin chirurgia,전문의 느낌,격식,명사,가산,surgeon for,for,-,surg+eon,surgery,sergeant와 혼동,doctor,patient,a heart surgeon,The surgeon performed the operation.,수술(surgery)와 연결.,의학,상,2,O/X: surgeon=간호사 → X,Q1 동사형? surgery 없음(명사)
immune,adjective,면역의; 영향받지 않는,병원체에 저항하거나 영향에서 자유로운.,Latin immunis,비유적 사용 많음,격식,형용사,-,immune to,to,-,im+munis,immunity,imminent와 혼동,resistant,vulnerable,immune to disease / immune to criticism,He seems immune to stress.,to 필수.,의학/일반,상,2,O/X: immune=취약한 → X,Q1 명사형? immunity
immunity,noun,면역; 면제,질병 저항력 또는 의무·처벌의 면제.,immune에서 파생,법적 immunity,격식,명사,불가산,immunity from/to,from/to,-,immun+ity,immune,immunity vs impunity 혼동,resistance,susceptibility,immunity to infection / immunity from taxes,The vaccine boosts immunity.,from/to 모두 쓰임.,의학/법,상,3,O/X: immunity=감수성 → X,Q1 동사형? 없음(형용사 immune)
faint,verb/adjective,기절하다; 희미한,의식을 잃는 행위 또는 흐릿한 상태.,Latin feint,감정 faint hope,일상,동/형,자동사,faint from,from,-,faint,faintly,feint(속임수)와 혼동,pass out,clear,He fainted from heat.,a faint sound,feint(속임수)와 구별.,일상,상,1,O/X: faint=뚜렷한 → X,Q1 부사형? faintly
faintly,adverb,희미하게,약하게 들리거나 보이는 상태.,faint에서 파생,일상,일상,부사,-,faintly + adj,-,-,faint+ly,faint,feint와 혼동,slightly,clearly,I faintly remember her voice.,The room smelled faintly of smoke.,faint-faintly 세트.,일상,중,1,O/X: faintly=뚜렷하게 → X,Q1 형용사형? faint
stroke,noun,뇌졸중; 타격,혈류 차단으로 뇌 손상 또는 한 번의 치기.,Old English strac,수영 stroke,일상/의학,명사,가산,stroke of,of,-,stroke,strokes,strike와 혼동,blow,caress,He suffered a stroke.,a stroke of luck,stroke of luck 숙어 중요.,의학/일상,상,2,O/X: stroke=행운 없음 → X,Q1 의미 하나? 뇌졸중
breathtaking,adjective,숨막히게 아름다운,아름다움·규모 등이 숨을 멎게 할 정도임.,breath+take,감탄 표현,일상,형용사,-,breathtaking view,-,-,breath+taking,breathtakingly,breathless와 혼동,stunning,ordinary,a breathtaking sunset,The view was breathtaking.,take one's breath away 연상.,여행/일반,상,1,O/X: breathtaking=평범한 → X,Q1 부사형? breathtakingly
diagnose,verb,진단하다,증상 근거로 문제를 규명함.,Greek diagnōsis,비유적 문제 진단,격식,타동사,타동사,diagnose + N,-,-,dia+gnose,diagnosis,digest와 혼동,identify,misdiagnose,diagnose a disease,The mechanic diagnosed the problem.,medical diagnosis 기억.,의학,상,2,O/X: diagnose=오진하다 → X,Q1 명사형? diagnosis
diagnosis,noun,진단,문제의 원인을 규명한 결과.,Greek diagnōsis,비유적 사용,격식,명사,가산/불가산,diagnosis of,of,-,dia+gnosis,diagnose,diagnostic과 혼동,identification,misdiagnosis,early diagnosis of cancer,The diagnosis was correct.,gno=know 어근.,의학,상,3,O/X: diagnosis=오진 → X,Q1 동사형? diagnose
chronic,adjective,만성의,오랫동안 지속되거나 반복되는.,Greek chronos(시간),비유적 만성 문제,격식,형용사,-,chronic disease,-,-,chron+ic,chronically,critical과 혼동,persistent,acute,chronic pain / chronic unemployment,He suffers from a chronic condition.,chron=시간 연상.,의학/일반,상,2,O/X: chronic=급성 → X,Q1 반의어? acute
