단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
rodial,(typo),오타: radial(반경의)로 추정,정확한 표준 단어가 아니며 radial 가능성이 높음.,해당 없음,표준 영어 아님,비표준,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,radial,"road, royal과 혼동주의",해당 없음,해당 없음,해당 없음,Likely intended word: radial.,철자 확인 필요.,일반,저,10,O/X: rodial은 표준 영어이다 → X,X,Q1 올바른 철자? radial
radically,adverb,"근본적으로, 급진적으로",완전히 다른 방식으로 변화함.,radical에서 파생,정치·사회 개혁 맥락 자주 사용,격식,부사,해당 없음,해당 없음,해당 없음,해당 없음,radical+ly,radical,radially와 혼동주의,fundamentally,slightly,radically different,The plan changed radically.,"radical, radially 구분.","정치, 사회",중,4,X,"O, X: radically는 형용사이다 → X, Q1 형용사형? radical"
administration,noun,"행정, 정부, 관리",조직·국가 운영 또는 대통령 임기.,라틴어 administrare,약물 투여 의미도 있음,격식,명사,"가산, 불가산",administration of,해당 없음,해당 없음,administer+ation,administrator,administrative와 혼동,management,disorder,the Biden administration,Drug administration requires care.,정치·의료 둘 다 중요.,"정치, 행정, 의학",고,4,X,"O, X: administration은 ‘투약’ 의미도 있다 → O, Q1 형용사? administrative"
administer,verb,관리하다; 집행하다; 투여하다,정책·조직을 운영하거나 약물을 투여함.,administrare(관리),법률·의학 분야에서 중요,격식,타동사,타동사,administer + O,administer A to B,해당 없음,ad+minister(서비스하다),administration,minister와 혼동주의,manage,neglect,administer medicine,The test was administered fairly.,administer A to B 구조 기억.,"행정, 의학",고,4,X,"O, X: administer는 자동사이다 → X, Q1 명사형? administration"
executive,"noun, adjective",임원; 실행의,기업 고위직 또는 ‘집행의’ 의미.,"라틴어 exequi(따르다, 실행하다)",행정부(Executive branch) 의미,격식,"명사, 형용사",해당 없음,executive of,해당 없음,해당 없음,ex(밖)+sequ(따르다),"execute, execution",exercise와 혼동주의,managerial,ordinary,executive officer,Executive decisions are final.,"기업, 정부 둘 다 등장.","경영, 정치",고,4,X,"O, X: executive는 형용사도 된다 → O, Q1 명사형? executive"
refuge,noun,"피난처, 보호",위험에서 벗어나 숨는 장소.,라틴어 refugium(도망),감정적 ‘위안’ 의미로도 사용,격식,명사,"가산, 불가산",refuge from,해당 없음,해당 없음,re(flee)+fugere(달아나다),refugee,refuse와 혼동주의,shelter,danger,take refuge,The hut offered refuge.,refugee와 어원 연결.,"인권, 사회",중,3,X,"O, X: refuge는 동사이다 → X, Q1 관련어? refugee"
refugee,noun,난민,위험·박해를 피해 피난한 사람.,refuge에서 파생,전쟁·재난 맥락,격식,명사,가산,refugee from,해당 없음,해당 없음,refuge+ee(행위 대상자),refuge,immigrant와 차이,displaced person,citizen,war refugees,Many refugees fled the area.,refuge vs refugee 구별.,"사회, 국제",고,3,X,"O, X: refugee는 피난처이다 → X, Q1 접미사 ee 뜻?"
in charge of,expression,~을 담당하는,책임을 맡고 관리하는 상태.,프랑스어 charge(부담),업무·조직 등,일상,구문,해당 없음,해당 없음,of,해당 없음,charge(부담),"charge, charger",take charge와 혼동,responsible for,free from,in charge of the team,She is in charge of marketing.,of 필수 구조.,업무,최상위,2,X,"O, X: in charge for → X, Q1 반의어? free from"
suspect,"verb, noun, adjective",의심하다; 용의자; 의심스러운,확신은 없지만 의심하는 상태.,sub(아래)+specere(보다),명사·형용사도 중요,일상/법,"동사, 명사, 형용사",동사 타동,a suspect in,해당 없음,해당 없음,sub+spect(보다),"suspicion, suspicious",respect와 혼동주의,doubt,trust,"suspect someone, a murder suspect",I suspect he knows.,"동, 명, 형 모두 시험 단골.","법, 일상",최상위,4,X,"O, X: suspect는 형용사도 있다 → O, Q1 명사형? suspicion"
suspicion,noun,"의심, 혐의",확실하지 않지만 의심하는 마음.,라틴어 suspicio,경계·불신 뉘앙스,격식/일상,명사,"가산, 불가산",suspicion of,해당 없음,해당 없음,suspect+ion,suspicious,superstition과 혼동주의,doubt,trust,under suspicion,There is suspicion of fraud.,"suspect, suspicion, suspicious 세트.","법, 심리",고,4,X,"O, X: suspicion은 항상 가산명사이다 → X, Q1 형용사형? suspicious"
