단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
draft,"noun, verb",초안; 초안을 작성하다,문서·계획의 초기 버전.,Old English dræft,병역 징집 draft,일상/격식,"명, 동",타동사,draft + N,해당 없음,해당 없음,draf+t,drafting,craft와 혼동,outline,final version,We wrote the first draft.,He drafted a proposal.,draft=초기 버전 강조.,"문서, 법",상,2,X,"O, X: draft=최종본 → X, Q1 징집 의미가 있는 단어? draft"
spell,verb,철자를 말하다; 야기하다,단어 철자를 말하거나 특정 상태를 의미.,Old French espelier,spell trouble,일상,동사,타동사,spell + N,해당 없음,해당 없음,spell,spelling,spill과 혼동,signify,hide,Spell your name.,This may spell trouble.,spell trouble 숙어 중요.,일반,상,1,X,"O, X: spell=감추다 → X, Q1 명사형? spelling"
modify,verb,수정하다,어떤 것을 바꾸거나 개선함.,Latin modificare,법·기술 용어,격식,타동사,타동사,modify + N,해당 없음,해당 없음,mod+ify,modification,mortify와 혼동,alter,preserve,modify the design,The rules were modified.,mod- = change 기억.,"기술, 일반",상,2,X,"O, X: modify=보존하다 → X, Q1 명사형? modification"
modification,noun,수정; 변경,무언가를 바꾸어 개선하는 행위.,modify에서 파생,기술 용어,격식,명사,"가산, 불가산",modification to,to,해당 없음,mod+ification,modify,mollification과 혼동,adjustment,preservation,minor modifications,They made modifications to the plan.,modify-modification 세트.,"기술, 일반",상,2,X,"O, X: modification=보존 → X, Q1 동사형? modify"
tragic,adjective,비극적인,슬프고 파괴적인 사건을 포함.,Greek tragikos,문학적 뉘앙스,격식,형용사,해당 없음,tragic event,해당 없음,해당 없음,trag+ic,tragedy,tragical과 혼동,disastrous,comic,a tragic accident,The ending was tragic.,tragedy와 연결.,"문학, 일반",상,2,X,"O, X: tragic=웃긴 → X, Q1 명사형? tragedy"
tragedy,noun,비극; 참사,큰 슬픔과 파괴를 가져오는 사건.,Greek tragedia,문학·사회 사건,격식/일상,명사,가산,tragedy of,of,해당 없음,trage+dy,tragic,strategy와 혼동,disaster,comedy,It was a national tragedy.,The tragedy shocked everyone.,"comic, comedy 대비.","문학, 사회",상,2,X,"O, X: tragedy=희극 → X, Q1 형용사형? tragic"
complicate,verb,복잡하게 만들다,상황·문제가 더 어려워짐.,Latin complicare,의학 complication,격식,타동사,타동사,complicate + N,해당 없음,해당 없음,com+plicate,complication,complement와 혼동,make complex,simplify,Don't complicate the issue.,The disease may complicate recovery.,complication 병발증 기억.,"의학, 일반",상,2,X,"O, X: complicate=단순화하다 → X, Q1 명사형? complication"
mythical,adjective,신화적인; 실재하지 않는,신화 속 존재 또는 허구적.,Greek mythos,fantasy 느낌,격식/문학,형용사,해당 없음,mythical creature,해당 없음,해당 없음,myth+ical,mythology,mystical과 혼동,legendary,real,mythical stories,A mythical dragon appears.,myth=신화 기억.,"문학, 판타지",중,2,X,"O, X: mythical=실재하는 → X, Q1 명사형? myth"
imply,verb,암시하다,직접 말하지 않고 뜻을 전함.,Latin implicare,논리·읽기 능력,격식/일상,타동사,타동사,imply that,that,절,im+ply,implication,apply와 혼동,suggest,state clearly,He implied that he was unhappy.,What are you implying?,imply ≠ infer 구별.,"논리, 언어",상,2,X,"O, X: imply=명확히 말하다 → X, Q1 명사형? implication"
implication,noun,암시; 영향,말이나 행동이 내포하는 의미 또는 결과.,imply에서 파생,정책 분석,격식,명사,"가산, 불가산",implication for,for,해당 없음,im+plic+ation,implicate,application과 혼동,consequence,clarification,the implications of the policy,This has serious implications.,for 전치사 자주 사용.,"정책, 학문",상,3,X,"O, X: implication=명확한 표현 → X, Q1 동사형? imply"
