단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),OX 체크용 문항(기본값 X),미니 퀴즈(3문항 선택형)
implication,noun,암시; 영향,말 속에 숨겨진 뜻이나 결과.,imply에서 파생,정책·행동의 파급효과 맥락,격식,명사,가산/불가산,implication for/of,-,-,imply+cation,implicit,application과 혼동,suggestion,explicitness,policy implications,The implication is clear.,imply ↔ implication 세트.,논리/학문,상,4,O/X: implication은 ‘명확한 진술’ 의미 → X,Q1 동사형? imply
context,noun,맥락; 전후 사정,단어·사건을 둘러싼 상황 전체.,con(함께)+text(짜다),문학/언어학 핵심,격식/일상,명사,가산/불가산,context of/in,-,-,con+text,contextual,content와 혼동,circumstance,isolation,in this context,Context determines meaning.,문맥=context 암기.,언어/학문,상,3,O/X: context는 가산명사만 → X,Q1 형용사형? contextual
inherent,adjective,내재된; 타고난,대상 속성에 본래 포함되어 있는.,in(안)+haerere(붙다),부정 의미 없이 중립적,격식,형용사,-,inherent in,-,-,in+here,inhere,inherit과 혼동,intrinsic,extrinsic,inherent risks,The problem is inherent in the system.,inherent/intrinsic 비교.,학문/일반,중,4,O/X: inherent=외부적 → X,Q1 동사형? inhere
intrinsic,adjective,본질적인; 고유한,대상 자체의 본질적 성질.,라틴어 intrinsecus,가치·특성에 자주 사용,격식,형용사,-,intrinsic to,-,-,intra(안)+sic(따르다),intrinsically,inherent와 비교,essential,extrinsic,intrinsic value,intrinsic motivation,inherent와 유사하나 ‘본질’ 강조.,학문/철학,중,4,O/X: intrinsic=외부적 → X,Q1 부사형? intrinsically
inhere,verb,내재하다,성질·특성이 본래 포함되어 있음.,라틴어 inhaerere(붙다),주로 학술적 문체,격식,자동사,자동사,inhere in,-,-,in(안)+here(붙다),inherent,inherit과 혼동,exist in,be absent,Values inhere in culture.,Rights inhere in people.,문어체에서만 사용.,학문,중,5,O/X: inhere는 타동사 → X,Q1 명사형? inherence
inherence,noun,내재; 본질적 속성,어떤 성질이 대상에 본래 포함된 상태.,inhere에서 파생,철학 용어 느낌 강함,격식,명사,불가산,inherence of/in,-,-,inhere+ence,inherent,inheritance와 혼동,intrinsicality,extrinsic nature,the inherence of value,Inherence is debated in philosophy.,철학·학술 맥락 필수.,철학/학문,중,5,O/X: inherence=상속 → X,Q1 형용사형? inherent
outline,noun/verb,개요; 개요를 작성하다,핵심 내용만 간단히 정리한 구조.,out+line,미술: 윤곽선,일상/격식,명사/타동사,타동사,outline + N,-,-,out+line,outlined,online과 혼동,summarize,detail,an outline of a plan / outline your idea,She outlined the proposal.,요약·구조 잡기 핵심.,학습/업무,상,3,O/X: outline은 동사도 있다 → O,Q1 예문 만들기
plot,noun/verb,줄거리; 계획하다,이야기의 사건 전개 또는 비밀 계획.,구어 plot(땅 조각),동사: 음모 꾸미다,일상/격식,명사/동사,타동사,plot + N,plot against,-,plot,plotting,plate와 혼동,storyline,ramble,the plot of a novel / plot a crime,They plotted against him.,줄거리 vs 음모 두 의미.,문학/일상,상,3,O/X: plot=줄거리만 → X,Q1 동사 의미? 음모 꾸미다
plotless,adjective,줄거리 없는,명확한 사건 전개가 없는 작품.,plot+less,실험적 문학 표현,문학,형용사,-,plotless story,-,-,plot+less,plot,plateless와 혼동,non-narrative,structured,a plotless film,The novel is almost plotless.,문학 비평 용어.,문학,중,3,O/X: plotless=줄거리 풍부 → X,Q1 명사형? plot
ironically,adverb,아이러니하게도,기대한 것과 반대되는 상황 강조.,irony에서 파생,비판적 뉘앙스,일상/격식,부사,-,-,-,-,irony+ally,ironic,iconically와 혼동,paradoxically,straightforwardly,"Ironically, he succeeded.","Ironically, the safest method failed.",ironic/ironically 세트 암기.,문학/일반,상,3,O/X: ironically=직설적으로 → X,Q1 형용사형? ironic
