단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
coordination,noun,조정; 협력,여러 요소를 질서 있게 맞추는 것.,Latin coordinare,신체 조정력 의미도,격식/일상,명사,해당 없음,불가산,coordination with,with,해당 없음,co+ordination,coordinate,correlation과 혼동,organization,disorder,good hand-eye coordination,Coordination between teams improved.,coordinate와 세트 암기.,"일반, 작업",상,2,"O, X: coordination=혼란 → X, Q1 동사형? coordinate"
collapse,"verb, noun",붕괴하다; 붕괴,구조가 무너지거나 실패함.,Latin collapsus,경제 붕괴,일상/격식,"동, 명","동, 명","자동, 타동",collapse under,under,해당 없음,col+lapse,collapsible,collect과 혼동,fall apart,stand firm,The building collapsed.,The economy is on the verge of collapse.,자동사로 많이 쓰임.,"재난, 경제",상,2,"O, X: collapse=강화하다 → X, Q1 자동사 의미? 붕괴하다"
composition,noun,구성; 작문,부분들이 모여 전체가 된 것.,Latin compositio,음악 composition,격식,명사,해당 없음,"가산, 불가산",composition of,of,해당 없음,com+position,compose,competition과 혼동,structure,disassembly,the composition of the team,She wrote a piano composition.,compose와 연결.,"학문, 예술",상,2,"O, X: composition=분해 → X, Q1 동사형? compose"
rehearse,verb,연습하다,공연·발표 등을 미리 반복 연습함.,Old French rehercier,연극 등에서 자주,일상/예술,동사,동사,타동,rehearse for,for,해당 없음,re+hearse,rehearsal,hear와 혼동,practice,improvise,They rehearsed for hours.,We need to rehearse the play.,rehearsal 연계 암기.,예술,중,2,"O, X: rehearse=즉흥적으로 하다 → X, Q1 명사형? rehearsal"
perform,verb,수행하다; 공연하다,과업을 실행하거나 공연함.,Latin performare,음악·연극 분야,일상/격식,동사,동사,"타동, 자동",perform + N,해당 없음,해당 없음,per+form,performance,perfect와 혼동,carry out,fail,"perform a task, perform on stage",He performed well.,performance와 세트.,"일반, 예술",상,1,"O, X: perform=실패하다 → X, Q1 명사형? performance"
performer,noun,연기자; 수행자,무대에서 공연하거나 역할을 수행하는 사람.,perform에서 파생,음악·연극,일상,명사,해당 없음,가산,performer in,in,해당 없음,perform+er,performance,former와 혼동,artist,audience,a talented performer,The performer greeted the crowd.,perform와 묶어 암기.,예술,중,1,"O, X: performer=관객 → X, Q1 명사형? performance"
impressive,adjective,인상적인,강한 인상을 주는 특성.,Latin impressus,긍정적 의미,일상,형용사,해당 없음,해당 없음,impressive performance,해당 없음,해당 없음,im+press+ive,impressively,impression과 혼동,remarkable,ordinary,The view was impressive.,She gave an impressive speech.,impress=감동 주다 연상.,일반,상,1,"O, X: impressive=평범한 → X, Q1 부사형? impressively"
striking,adjective,눈에 띄는; 놀라운,강한 시각적·정서적 충격을 주는.,strike에서 파생,강렬한 대비,일상/격식,형용사,해당 없음,해당 없음,striking difference,해당 없음,해당 없음,strike+ing,strike,strikingly와 혼동,remarkable,subtle,a striking contrast,Her beauty is striking.,impressive보다 더 강함.,"예술, 일반",상,2,"O, X: striking=미미한 → X, Q1 명사 동사형? strike"
socialize,verb,사교 활동을 하다,사람들과 어울려 관계를 형성함.,Latin socialis,동물의 사회화,일상,자동사,자동사,자동,socialize with,with,해당 없음,social+ize,socialization,society와 혼동,interact,isolate,He likes to socialize with friends.,Children need to socialize early.,with 필수.,"심리, 사회",중,2,"O, X: socialize=고립시키다 → X, Q1 명사형? socialization"
entry,noun,입장; 참가; 항목,어딘가에 들어가거나 목록의 항목.,Latin intrare,사전의 entry,일상,명사,해당 없음,가산,entry to,to,해당 없음,en+try,enter,entree와 혼동,access,exit,"free entry to the museum, a dictionary entry",She won an entry ticket.,enter와 관계 기억.,일반,상,1,"O, X: entry=출구 → X, Q1 동사형? enter"
