단어,품사,주요 의미,핵심 개념 요약,어원,의미 확장,뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어,형태론 분석,파생어,혼동 주의,동의어,반의어,콜로케이션,예문,학습 팁,분야 태그,빈도,난이도,OX 문항,미니 퀴즈
molecular,adjective,분자의,물질의 기본 단위인 분자와 관련된.,molecule에서 파생,비유적으로 ‘세밀한’ 의미도 있음,과학,형용사,-,-,-,-,molecule+ar,molecule,molten과 혼동주의,atomic,macroscopic,molecular structure,Molecular biology studies DNA.,분자 단위 과학용어.,화학/생물학,상,4,O/X: molecular은 명사이다 → X,Q1 명사형? molecule
keep A from -ing,expression,A가 ~하지 못하게 하다,행동을 방지하거나 억제함.,keep + from,감정·행동 모두에 사용,일상,구문,-,-,from,-,keep + O + from + V-ing,prevent,stop A from과 혼동주의,prevent,allow,keep me from sleeping,The noise kept her from focusing.,from 뒤 동명사 구조.,일상,상,3,O/X: keep A from to V → X,Q1 구조? A from -ing
predator,noun,포식자,다른 생물을 잡아먹는 생물.,라틴어 praedari(약탈하다),비유적으로 ‘착취자’도 사용,과학/비유,명사,가산,predator of,-,-,praed(약탈)+ator,predatory,prey와 혼동,hunter,prey,a natural predator,The shark is a top predator.,prey와 세트 암기.,생물학/비유,중,3,O/X: predator는 불가산명사이다 → X,Q1 형용사형? predatory
migrate,verb,"이동하다, 이주하다",계절이나 경제적 이유로 이동함.,라틴어 migrare,데이터 이동에도 사용,일상/학술,자동사,자동사,migrate to/from,-,-,migr(이동)+ate,migration,immigrate와 구별,move,stay,Birds migrate south.,People migrated to cities.,immigrate/emigrate와 구별.,지리/IT,상,3,O/X: migrate는 타동사이다 → X,Q1 명사형? migration
migration,noun,"이동, 이주",사람·동물·데이터의 집단적 이동.,migrate에서 파생,정보기술에서도 사용,격식,명사,가산/불가산,migration of,-,-,migrate+ion,migratory,immigration과 혼동주의,movement,settlement,bird migration / data migration,Migration increased recently.,과학·IT 모두 중요.,사회/IT,상,3,O/X: migration은 불가산만 된다 → X,Q1 동사형? migrate
migrant,noun/adjective,이주자; 이주하는,일시적 또는 영구적으로 이동하는 사람.,migrate에서 파생,노동이주자 의미 중요,격식,명사/형용사,가산,migrant worker,-,-,migr(이동)+ant,migration,immigrant와 차이,traveler,native,seasonal migrants,Migrant workers face hardships.,immigrant와 의미 차이 중요.,사회,중,4,O/X: migrant는 형용사로도 사용 → O,Q1 명사형? migration
organism,noun,"유기체, 생물",생명 기능을 가진 개체.,그리스어 organon(도구),복잡한 구조 강조,과학,명사,가산,organism of,-,-,organ(기관)+ism,organic,organization과 혼동주의,living thing,inanimate object,simple organisms,Humans are complex organisms.,organic/organism 혼동 주의.,생물학,상,3,O/X: organism은 불가산명사이다 → X,Q1 형용사형? organic
bough,noun,큰 가지,나무의 굵은 가지.,고대 영어 bog(팔),문학적 표현,문학,명사,가산,bough of,-,-,bough(가지),branch,bow(절하다)와 혼동,branch,trunk,a bough of the tree,The bird sat on a bough.,문학적 단어로 기억.,문학/자연,중,5,O/X: bough는 작은 가지 → X,Q1 동의어? branch
come up with,phrasal verb,생각해내다; 제안하다,아이디어나 해답을 떠올림.,come + up + with,일상/업무 모두,일상,구동사,자동사,come up with + N,-,-,come+up+with,-,come out with와 혼동,think of,forget,come up with an idea,She came up with a plan.,with 구조 주의.,일상/업무,상,2,O/X: come up with 뒤에는 동사원형 → X,Q1 전치사? with
consist of,phrasal verb,~로 이루어지다,전체가 여러 구성 요소로 이루어짐.,라틴어 consistere(함께 서다),항상 수동 불가,격식,구동사,자동사,consist of + N,-,-,con+together+sist(서다),consistent,compose와 혼동,be made up of,exclude,consist of three parts,The team consists of 5 members.,"항상 of와 함께, 수동 불가.",일반/학술,상,3,O/X: consist는 수동태 가능 → X,Q1 전치사? of
