단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
originate,verb,발생하다; 유래하다,어떤 기원에서 비롯됨.,Latin originare,격식체,격식,"자동, 타동","자동, 타동","auto, tado",originate from,from,해당 없음,origin+ate,origin,original과 혼동,arise,end,The idea originated from a study.,The river originates here.,from 전치사 중요.,"학문, 일반",상,2,"O, X: originate=끝내다 → X, Q1 명사형? origin"
derive,verb,유래하다; 끌어내다,어떤 근원에서 얻음.,Latin derivare,수학 derivative,격식,"자동, 타동","자동, 타동","auto, tado",derive from,from,해당 없음,de+riv+e,derivation,deprive와 혼동,come from,originate,Words derive from Latin.,He derived joy from work.,from 구조 필수.,학문,상,2,"O, X: derive=무관하다 → X, Q1 명사형? derivation"
originally,adverb,원래; 처음에,처음 상태나 기원을 가리킴.,original 파생,문장 앞 위치,일상/격식,부사,부사,해당 없음,"Originally, S V",해당 없음,해당 없음,origin+al+ly,original,origin과 혼동,initially,finally,"Originally, he lived in Seoul.",The project was originally small.,original과 구분.,일반,상,1,"O, X: originally=마지막에 → X, Q1 형용사형? original"
agriculture,noun,농업,농작물 재배와 가축 사육 활동.,Latin ager,전문 분야,격식,명사,해당 없음,불가산,agriculture of,of,해당 없음,agri+culture,agricultural,architecture와 혼동,farming,industry,the agriculture sector,Agriculture supports the economy.,agri=field 연상.,"환경, 경제",중,2,"O, X: agriculture=산업 전반 → X, Q1 형용사형? agricultural"
agricultural,adjective,농업의,농업에 관련한 특징.,agriculture 파생,정책 용어,격식,형용사,해당 없음,해당 없음,agricultural policy,해당 없음,해당 없음,agri+cultur+al,agriculture,architectural과 혼동,farming,industrial,agricultural products,agricultural development,policy 문맥 자주 등장.,"경제, 환경",중,2,"O, X: agricultural=산업 전체 → X, Q1 명사형? agriculture"
ripe,adjective,익은; 준비된,과일 등 익어서 먹기 좋은 상태.,Old English ripe,비유 ripe idea,일상,형용사,해당 없음,해당 없음,ripe for,for,해당 없음,ripe,ripen,rope와 혼동,mature,raw,The fruit is ripe.,Conditions are ripe for change.,for 전치사 주의.,일상,상,1,"O, X: ripe=덜 익은 → X, Q1 동사형? ripen"
ripen,verb,익다; 익히다,과일·계획 등이 성숙 단계에 도달.,ripe 파생,비유 가능,일상,"자동, 타동","자동, 타동","auto, tado",ripen + N,해당 없음,해당 없음,ripe+n,ripe,reopen과 혼동,mature,rot,The fruit ripened.,Sun ripens the crops.,"자동, 타동 모두.",일상,상,1,"O, X: ripen=미성숙하게 하다 → X, Q1 명사형? ripeness"
cultivate,verb,경작하다; 개발하다,토지를 갈아 작물을 기르거나 능력을 기름.,Latin cultivare,문화 cultivate,격식,타동,타동,타동,cultivate + N,해당 없음,해당 없음,cult+ivate,cultivation,culture와 혼동,grow,destroy,They cultivated rice.,Cultivate positive habits.,능력 개발 의미 중요.,"농업, 심리",상,2,"O, X: cultivate=파괴하다 → X, Q1 명사형? cultivation"
plow,"verb, noun",쟁기; 갈다,땅을 쟁기로 가는 행위.,Old English plog,미국식 plow=영국식 plough,일상,"명, 동","명, 동",타동,plow + N,해당 없음,해당 없음,plow,plowman,plow vs plough,till,leave,They plowed the field.,The plow is old.,plough=영국식.,농업,중,1,"O, X: plow=방치하다 → X, Q1 영국식 철자? plough"
cultivation,noun,경작; 배양; 개발,작물 재배 또는 능력·문화 개발.,Latin cultivare,culture와 혼동,격식,명사,해당 없음,불가산,cultivation of,of,해당 없음,cult+iv+ation,cultivate,culture와 혼동,farming,destruction,the cultivation of crops,the cultivation of talent,능력 개발에도 사용.,"농업, 교육",상,2,"O, X: cultivation=파괴 → X, Q1 동사형? cultivate"
