단어,품사,주요 의미,핵심 개념 요약,어원,의미 확장,뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어,형태론 분석,파생어,혼동 주의,동의어,반의어,콜로케이션,예문,학습 팁,분야 태그,빈도,난이도,OX 문항,미니 퀴즈
compassion,noun,"연민, 동정",타인의 고통을 함께 느끼고 도와주려는 마음.,라틴어 compassio(함께 느끼다),심리·복지 분야에서 많이 쓰임,격식,명사,불가산,compassion for,-,-,com(함께)+passion(감정),compassionate,sympathy와 혼동주의,"pity, empathy",indifference,feel compassion,She showed great compassion.,compassion은 도움 의지가 포함됨.,심리/사회,중,3,O/X: compassion은 가산명사이다 → X,Q1 형용사? compassionate
sympathy,noun,"동정, 공감",타인의 감정을 ‘이해하는 수준’의 공감.,그리스어 sympatheia,조문 표현으로도 사용,격식/일상,명사,불가산,sympathy for,-,-,sym(함께)+pathos(감정),sympathetic,empathy와 차이,pity,indifference,express sympathy,You have my sympathy.,sympathy는 감정이입 X(이해 중심).,감정,고,3,O/X: sympathy = empathy → X,Q1 전치사? for
compassionable,adjective,연민을 느끼기 쉬운(매우 드문 표현),‘compassionate’의 대체형이지만 거의 사용되지 않음.,compassion에서 파생,현대 영어에서는 비표준,희귀/비표준,형용사,-,-,-,-,compassion + able,compassionate,거의 쓰이지 않음,compassionate,-,-,This term is rarely used in modern English.,현대 영어에서는 사용 지양.,사전/희귀,저,9,O/X: 일반 회화에서 compassionable을 자주 쓴다 → X,Q1 표준형? compassionate
confident,adjective,자신감 있는,자신의 능력이나 판단을 확신하는 상태.,라틴어 confidere(신뢰하다),긍정적 자기 확신,일상/격식,형용사,-,confident about/in,-,-,con(함께)+fidere(신뢰),confidence,confidential과 혼동주의,self-assured,insecure,feel confident,She is confident in her skills.,confident vs confidential 구별.,심리/사회,고,3,O/X: confident = confidential → X,Q1 명사형? confidence
envious,adjective,질투하는,다른 사람의 것을 갖고 싶어 함.,라틴어 invidere,부정적 감정 중심,일상,형용사,-,envious of,-,-,envi + ous,envy,jealous와 혼동주의,jealous,content,envious of success,She felt envious of her friend.,jealous와 미묘한 차이 정리.,감정,중,4,O/X: envious 뒤 전치사 at → X (of),Q1 명사형? envy
jealously,adverb,질투하여,질투의 감정으로 행동함.,jealous + ly,감정 표현,부사,-,-,-,-,jealous + ly,jealousy,enviously와 구분,resentfully,lovingly,guard jealously,He watched her jealously.,jealous/jealously 구분.,감정,중,3,O/X: jealously는 jealousy의 형용사형이다 → X,Q1 품사? 부사,
ridiculous,adjective,"우스꽝스러운, 터무니없는",상식적으로 말이 되지 않음.,라틴어 ridere(웃다),강한 부정 표현,일상,형용사,-,ridiculous to,-,-,ridicul + ous,ridicule,absurd와 비교,absurd,reasonable,ridiculous idea,That price is ridiculous.,absurd와 의미 유사.,일상,고,4,O/X: ridiculous은 긍정적 표현이다 → X,Q1 명사형? ridicule
ridicule,verb/noun,조롱하다; 조롱,상대를 비웃음으로 깎아내림.,rider(웃다)에서 유래,사실·감정 비하,격식/일상,타동/명사,타동,불가산,ridicule for,-,ridicul + le,ridiculous,redicule(오타)와 혼동주의,mock,praise,subject to ridicule,He ridiculed the idea.,ridiculous와 세트.,감정,중,4,O/X: ridicule은 가산명사이다 → X,Q1 동사 뜻?
faithful,adjective,"충실한, 성실한",신념·사람·사실에 충성스럽고 변함없음.,라틴어 fides(신뢰),종교·관계·사실에 모두 사용,격식/일상,형용사,-,faithful to,-,-,faith + ful,faithfulness,truthful과 구분,loyal,unfaithful,faithful friend,He remained faithful to his promise.,faith ↔ faithful 구분.,관계/종교,고,3,O/X: faithful to가 기본 구조이다 → O,Q1 반의어? unfaithful
occupy,verb,차지하다; 점령하다,공간·시간·주의를 채우거나 지배함.,라틴어 occupare(붙잡다),군사·사회·업무 등 다용도,격식/일상,타동사,타동사,occupy + O,-,-,oc(앞)+cupare(붙잡다),occupation,own과 구분(소유X),take up,vacate,occupy a seat,The army occupied the city.,occupation(직업)과도 연결.,사회/군사,고,4,O/X: occupy는 자동사이다 → X,Q1 명사형? occupation
