단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),OX 체크용 문항(기본값 X),미니 퀴즈(3문항 선택형)
admire,verb,감탄하다; 존경하다,가치·능력을 높이 평가함.,Latin admirari,감탄·존경 모두,일상,타동사,타동사,admire + N,-,-,ad+mirare,admiration,admit과 혼동,respect,disrespect,I admire your courage.,They admired the view.,admire=감탄+존경 두 의미.,일반,상,1,O/X: admire=무시하다 → X,Q1 명사형? admiration
admiration,noun,감탄; 존경,뛰어남을 인정하는 마음.,admire에서 파생,격식,격식/일상,명사,불가산,admiration for,for,-,ad+mir+ation,admire,administration과 혼동,respect,contempt,She has deep admiration for him.,The artist won public admiration.,for 전치사 기억.,일반,상,2,O/X: admiration=경멸 → X,Q1 동사형? admire
assess,verb,평가하다,가치·양·수준을 판단함.,Latin assessor,교육·정책 분야,격식,타동사,타동사,assess + N,-,-,as+sess,assessment,access와 혼동,evaluate,ignore,We must assess the risks.,The teacher assessed students.,assessment 시험 용어.,교육/정책,상,2,O/X: assess=무시하다 → X,Q1 명사형? assessment
estimate,verb/noun,추정하다; 추정,대략적인 수치·양을 계산함.,Latin aestimare,견적,일상/격식,동/명,타동,estimate + N,-,-,esti+mate,estimation,esteem과 혼동,approximate,measure exactly,They estimated the cost.,The estimate was too low.,estimate vs assessment 구별.,일반,상,1,O/X: estimate=정확 계산 → X,Q1 명사형? estimate
assessment,noun,평가; 판단,가치·수준을 체계적으로 판단함.,assess에서 파생,교육·정책,격식,명사,가산/불가산,assessment of,of,-,as+sess+ment,assess,assignment과 혼동,evaluation,guess,risk assessment / student assessment,We made an assessment of damage.,assessment=정식 평가.,교육/정책,상,2,O/X: assessment=추측 → X,Q1 동사형? assess
present,verb/adjective/noun,제시하다; 현재의; 선물,무언가를 보여주거나 현재 시점.,Latin praesentare,프레젠테이션,일상/격식,동/형/명,타동,present + N,-,-,pre+sent,presentation,absent과 혼동,show,hide,He presented the idea.,the present situation,present=발표하다도 포함.,일반,상,1,O/X: present=사라지다 → X,Q1 명사 의미? 선물
range,noun/verb,범위; 변화 폭,특정 구간의 넓이 또는 다양성.,French rang,산맥 range,일상/격식,명/동,자동,range from A to B,from/to,-,rang+e,ranging,arrange와 혼동,spectrum,limit,prices range from 10 to 50,wide range of products,from A to B 고정.,일반,상,1,O/X: range=단일 값 → X,Q1 전치사 세트? from–to
formal,adjective,격식 있는; 공식적인,규칙·형식에 맞춘 상태.,Latin formalis,dress code formal,격식/일상,형용사,-,formal education,-,-,form+al,formality,former와 혼동,official,casual,a formal speech,formal clothes required.,formal vs informal.,사회/교육,상,1,O/X: formal=비공식 → X,Q1 반의어? informal
attempt,verb/noun,시도하다; 시도,어려운 것을 해보려는 노력.,Latin attemptare,범죄 attempt,일상/격식,동/명,타동,attempt to-v,to-v,-,at+tempt,attempted,tempt와 혼동,try,give up,They attempted to escape.,a failed attempt,to-v 필수.,일반,상,1,O/X: attempt=포기하다 → X,Q1 전치사? to-v
interpretation,noun,해석; 설명,의미를 분석하고 설명하는 행위.,Latin interpretari,문학·법,격식,명사,가산/불가산,interpretation of,of,-,inter+pret+ation,interpret,translation과 혼동,explanation,misinterpretation,various interpretations of the text,The interpretation seems valid.,interpret vs translate 구별.,학문/문학,상,2,O/X: interpretation=오역 → X,Q1 동사형? interpret
