단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
landscape,noun,풍경; 지형,땅의 전체적 모습이나 자연 풍경.,land + scape,사진·회화 분야에서 사용,일상/격식,명사,해당 없음,가산,landscape of,of,해당 없음,land+scape,landscaping,landmark와 혼동,scenery,cityscape,a beautiful landscape,The landscape changes every season.,scenery와의 차이 기억.,"지리, 예술",상,2,"O, X: landscape=도시 건물 내부 → X, Q1 동의어? scenery"
surface,"noun, verb",표면; 드러나다,사물의 바깥 부분 또는 드러나는 행위.,Latin superficies,문제 표면화 의미,일상,"명사, 동사","명사, 동사","자동, 타동",on the surface,on,해당 없음,sur+face,surfacing,surpass와 혼동,exterior,interior,"smooth surface, problems surfaced",The stain rose to the surface.,surface as a verb도 기억.,"과학, 일반",상,2,"O, X: surface=내부 → X, Q1 반의어? interior"
emerge,verb,나타나다; 드러나다,감춰진 것이 보이거나 존재가 확인됨.,Latin emergere,사회·현안 등장,격식,자동사,자동사,자동사,emerge from,from,해당 없음,e+merge,emergence,emerge vs emergency,appear,disappear,new problems emerged,He emerged from the crowd.,from 전치사 암기.,"사회, 과학",상,2,"O, X: emerge=사라지다 → X, Q1 명사형? emergence"
peak,"noun, verb",정점; 최고조; 절정에 달하다,가장 높은 지점 또는 최고 수준.,French pic(뾰족한 산),경기·매출 최고점,일상/격식,"명, 동","명, 동",자동사,peak at,at,해당 없음,peak,peaking,peek과 혼동,top,bottom,"peak sales, peak level","Sales peaked at 10,000 units.",peak vs peek vs pique 구별.,"경제, 일반",상,2,"O, X: peak=최저점 → X, Q1 전치사? peak at"
summit,noun,정상; 정상 회담,산의 꼭대기 또는 최고위급 회담.,Latin summus(최고의),G20 summit,격식,명사,해당 없음,가산,summit of,of,해당 없음,summ+it,summitry,submit과 혼동,top,base,"reach the summit, a global summit",Leaders gathered for the summit.,정상회담 의미 중요.,"정치, 지리",중,3,"O, X: summit=산 중턱 → X, Q1 동의어? top"
steep,adjective,가파른,기울기나 변화가 매우 큰 상태.,Old English steap,가격·변화 급증 의미,일상,형용사,해당 없음,해당 없음,steep in,in,해당 없음,steep,steeply,step과 혼동,sharp,gentle,"a steep hill, steep rise in prices",The road is very steep.,가격 상승 steep rise 표현 자주 사용.,"지리, 경제",상,2,"O, X: steep=완만한 → X, Q1 반의어? gentle"
gentle,adjective,부드러운; 완만한,거칠지 않고 온화하거나 경사가 완만한 상태.,Latin gentilis,gentleman 연상,일상,형용사,해당 없음,해당 없음,gentle with,with,해당 없음,gent+le,gently,gentleman과 혼동,soft,harsh,"a gentle slope, be gentle with him",She spoke in a gentle voice.,steep의 반대.,일상,상,1,"O, X: gentle=가파른 → X, Q1 부사형? gently"
be inclined to do,expression,~하는 경향이 있다,어떤 행동을 하고 싶은 기질 또는 의향.,incline(기울다),심리적 경향 표현,격식/일상,구,해당 없음,자동사,be inclined to-v,to-v,해당 없음,in+cline,inclination,decline과 혼동,tend to,be unwilling to,She is inclined to help.,People are inclined to believe it.,to-v 필수.,"심리, 일반",상,2,"O, X: be inclined doing → X, Q1 명사형? inclination"
cliff,noun,절벽,수직에 가까운 급경사 바위 지형.,Old English clif,풍경·자연 분야,일상,명사,해당 없음,가산,cliff edge,해당 없음,해당 없음,cliff,clifftop,cleft와 혼동,precipice,slope,stand on the edge of a cliff,The cliff was dangerous.,cliffhanger(서스펜스) 기억.,"지리, 자연",중,1,"O, X: cliff=완만한 비탈 → X, Q1 동의어? precipice"
endangered,adjective,멸종 위기에 처한,개체 수가 급감하여 생존에 위협받는 상태.,endanger에서 파생,환경 보호 용어,격식,형용사,해당 없음,해당 없음,endangered species,해당 없음,해당 없음,en+danger+ed,endanger,danger와 연관,threatened,safe,endangered animals,Several species are endangered.,환경 단어군과 함께 암기.,환경,상,2,"O, X: endangered=풍부한 → X, Q1 동사형? endanger"
