"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"interfere","verb","간섭하다; 방해하다","다른 사람의 일이나 과정에 끼어들어 방해함.","inter(사이)+ferire(때리다)","기계 오작동 방해도","격식/일상","자동사","자동사","interfere with, in","with, in","해당 없음","inter+fere","interference","interrupt와 혼동","meddle","assist","Don't interfere with my work.","He interfered in the process.","with, in 구분 암기.","사회, 일반","상","3","X","O, X: interfere는 타동사 → X, Q1 명사형? interference"
"interference","noun","간섭; 방해","외부 영향으로 과정이 방해됨.","interfere에서 파생","전파 간섭 의미","격식","명사","불가산","interference with","with","해당 없음","interfere+ence","interfering","difference와 혼동","disturbance","assistance","radio interference","interference with justice","전치사 with 고정.","과학, 법","상","3","X","O, X: interference=도움 → X, Q1 동사형? interfere"
"intervene","verb","개입하다; 중재하다","사태 진행에 끼어들어 조정하거나 막음.","inter(사이)+venire(오다)","군사 개입도","격식","자동사","자동사","intervene in","in","해당 없음","inter+vene","intervention","interfere와 혼동","mediate","ignore","The police intervened.","They intervened in the conflict.","interfere vs intervene 차이.","정치, 사회","상","3","X","O, X: intervene=간섭하다(부정) → X, Q1 명사형? intervention"
"intervention","noun","개입; 중재","문제 해결을 위해 끼어드는 행위.","intervene에서 파생","치료 intervention","격식","명사","가산, 불가산","intervention in","in","해당 없음","intervene+tion","intervenor","interaction과 혼동","mediation","neglect","medical intervention","international intervention in the war","intervene와 세트.","정치, 의학","상","3","X","O, X: intervention=방관 → X, Q1 동사형? intervene"
"exclusive","adjective","독점적인; 배타적인","특정 집단만 이용 가능하거나 포함되지 않는.","ex(밖)+claudere(닫다)","독점 기사 exclusive","격식/일상","형용사","해당 없음","exclusive to","to","해당 없음","ex+clusive","exclusively","inclusive와 혼동","select","inclusive","an exclusive club","exclusive rights","exclusive↔inclusive 대비.","사회, 경제","상","3","X","O, X: exclusive=포함하는 → X, Q1 반의어? inclusive"
"convince","verb","확신시키다","논리나 증거로 믿게 만듦.","con(완전히)+vincere(이기다)","감정 설득도 포함","일상/격식","타동사","타동사","convince O of, that","of, that","O+of/that","con+vince","convinced","confuse와 혼동","persuade","dissuade","He convinced me of his honesty.","I was convinced that he lied.","convince O of, that 패턴.","의사소통","상","3","X","O, X: convince=혼란시키다 → X, Q1 형용사형? convinced"
"convinced","adjective","확신한","무언가를 굳게 믿는 상태.","convince에서 파생","that절 자주 사용","격식/일상","형용사","해당 없음","convinced that","that절","해당 없음","convinced","convincing","confused와 혼동","certain","uncertain","I'm convinced that he's right.","She wasn't convinced.","convince(동사)와 구분.","감정, 일반","상","2","X","O, X: convinced=확신시키다 → X, Q1 명사형? conviction"
"ensure","verb","보장하다","어떤 일이 확실히 일어나도록 만들다.","en(만들다)+sure(확실한)","보험 보장 ensure","격식/일상","타동사","타동사","ensure that","that절","해당 없음","en+sure","insurance","assure와 혼동","guarantee","endanger","ensure safety, ensure that it works","We must ensure compliance.","assure, ensure, insure 구별.","법, 일반","상","3","X","O, X: ensure=안심시키다 → X, Q1 동의어? guarantee"
"boost","verb, noun","증가시키다; 증가","힘·양·효과를 끌어올림.","unknown origin","경제·기술 분야 다용","일상","타동사, 명사","둘 다","boost + N","해당 없음","해당 없음","boost","booster","boast와 혼동","increase","reduce","boost sales, morale boost","This will boost performance.","boast와 철자 구별.","경제, 과학","상","2","X","O, X: boost=줄이다 → X, Q1 명사형? booster"
"attribute","verb, noun","~의 결과로 보다; 속성","원인을 특정 요인에 돌리거나 성격·특징.","ad(향해)+tribuere(주다)","명사: 속성","격식","동, 명","타동사, 가산","attribute A to B","to","A to B","at+tribute","attribution","contribute와 혼동","ascribe","separate","attribute success to effort, personality attributes","He attributes his win to luck.","A to B 패턴 필수.","학문, 일반","상","3","X","O, X: attribute=공헌하다 → X, Q1 명사형? attribute(속성), attribution(행위)"
