단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
chronic,adjective,만성의; 고질적인,오랜 기간 지속되는 상태.,Greek chronos(시간),부정적 의미 강조,격식/의학,형용사,해당 없음,해당 없음,chronic in,해당 없음,해당 없음,chrono+ic,chronically,acute와 대비,persistent,acute,a chronic disease,He is a chronic liar.,chronic↔acute 대비.,"의학, 일반",상,3,"O, X: chronic=급성의 → X, Q1 반의어? acute"
acute,adjective,급성의; 예리한,갑작스럽고 강한 상태.,Latin acutus(뾰족한),감각·통찰력 '예리함',격식,형용사,해당 없음,해당 없음,acute in,해당 없음,해당 없음,acu+te,acutely,chronic과 혼동,sharp,chronic,"acute pain, acute angle",an acute sense of smell,급성↔만성 핵심.,"의학, 일반",상,3,"O, X: acute=만성 → X, Q1 반의어? chronic"
obese,adjective,비만한,과체중을 넘어 의학적 비만 상태.,Latin obesus,격식적 표현,격식/의학,형용사,해당 없음,해당 없음,obese in,해당 없음,해당 없음,obes+e,obesity,overweight와 차이,overweight,thin,an obese patient,He became obese over time.,obesity 명사형 중요.,의학,중,3,"O, X: obese=가벼운 체중 → X, Q1 명사형? obesity"
pregnant,adjective,임신한,태아를 품고 있음.,Latin pre(앞)+gnas(임신),비유: 의미가 가득한,일상/격식,형용사,해당 없음,해당 없음,pregnant with,with,해당 없음,pre+gnant,pregnancy,fertile과 혼동,expectant,barren,She is pregnant.,She is pregnant with twins.,with 기억.,"의학, 일상",상,2,"O, X: pregnant=불임 → X, Q1 명사형? pregnancy"
pregnancy,noun,임신,수정에서 출산까지의 기간.,pregnant에서 파생,임신 초기·중기 등 단계,일상/격식,명사,해당 없음,"가산, 불가산",pregnancy of,해당 없음,해당 없음,pregnant+cy,pregnant,fertility와 혼동,gestation,infertility,She announced her pregnancy.,Teen pregnancy is rising.,"pregnant, pregnancy 세트.","의학, 사회",상,2,"O, X: pregnancy는 형용사 → X, Q1 동사형? 임신시킬 동사 없음(become pregnant)"
digestive,adjective,소화의,음식물을 분해해 흡수하는 과정과 관련.,Latin digestus(분해하다),digestive system 빈출,격식,형용사,해당 없음,해당 없음,digestive of,해당 없음,해당 없음,digest+ive,digestion,"digestible, digital과 혼동",gastrointestinal,non-digestive,digestive organs,This tea aids digestive health.,digestion과 세트.,의학,상,3,"O, X: digestive=디지털 → X, Q1 명사형? digestion"
fiber,noun,섬유; 식이섬유,길고 가는 구조 또는 음식 속 섬유질.,Latin fibra,신경 섬유 등 과학에서 사용,일상/과학,명사,해당 없음,"가산, 불가산",fiber in,해당 없음,해당 없음,fiber,fibrous,fibre(영국식) 혼동,thread,particle,dietary fiber,Foods high in fiber help digestion.,fiber=fibre 표기 확인.,"의학, 영양",상,3,"O, X: fiber=지방 → X, Q1 영국식 철자? fibre"
spill,"verb, noun",흘리다; 유출,액체가 엎질러져 흐르는 행위.,Scandinavian spill,정보 유출 비유도,일상,"자동, 타동, 명사","자동, 타동, 명사",둘 다,spill over,over,해당 없음,spill,spillage,spell과 혼동,overflow,contain,"spill water, oil spill",The milk spilled on the floor.,spill over=확대되다.,일상,상,2,"O, X: spill=철자하다 → X, Q1 명사형? spillage"
portion,noun,부분; 1인분,전체 중 일부 또는 음식 분량.,Latin portio(몫),"몫, 할당량 의미 확장",일상,명사,해당 없음,가산,portion of,해당 없음,해당 없음,portion,apportion,proportion과 혼동,part,whole,a portion of rice,Large portions are served here.,proportion과 구별.,일반,상,2,"O, X: portion=비율 → X, Q1 유사어? part"
dietary,adjective,식이의; 음식 관련,음식 구성·섭취와 관련된 성질.,Latin diaita(생활 방식),dietary restrictions 등,격식,형용사,해당 없음,해당 없음,dietary in,해당 없음,해당 없음,diet+ary,dietician,diet과 혼동,nutritional,non-dietary,dietary supplements,He follows strict dietary rules.,diet와 dietary 차이.,영양,상,3,"O, X: dietary=명사 → X, Q1 명사형? diet"
