단어,품사,주요 의미,핵심 의미 요약,어원,의미 확장,뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어,형태론 분석,파생어,혼동 주의,동의어,반의어,콜로케이션,예문,학습 팁,분야 태그,빈도,난이도,OX 문항,미니 퀴즈
contamination,noun,오염; 혼입,해로운 물질이 섞여 오염된 상태.,Latin contaminare(더럽히다),방사능 오염 등,격식,명사,불가산,contamination of,of,-,con+taminate+ion,contaminate,container와 혼동,pollution,purification,water contamination,Contamination is a major issue.,contaminate와 세트.,환경,상,3,O/X: contamination=정화 → X,Q1 동사형? contaminate
pollutant,noun,오염 물질,환경을 더럽히는 물질.,pollute에서 파생,미세먼지 등,격식,명사,가산,pollutant in,in,-,pollut+ant,pollution,pollinate와 혼동,contaminant,purifier,air pollutants / toxic pollutants,The river contains pollutants.,pollution과 구별.,환경,상,2,O/X: pollutant=정수 필터 → X,Q1 명사형? pollution
fossil,noun,화석,오랜 시간 굳어 남은 생물 흔적.,Latin fossilis(파낸),비유적 표현: fossil(고루한 사람),일상/학문,명사,가산,fossil of,of,-,foss+il,fossilize,faucet과 혼동,remains,living organism,a dinosaur fossil,The fossil was perfectly preserved.,fossil fuel(화석 연료) 기억.,지질학,중,3,O/X: fossil=현생 생물 → X,Q1 동사형? fossilize
contaminate,verb,오염시키다,해로운 물질을 섞어 더럽히는 행위.,Latin contaminare,비유적 오염 포함,격식,타동사,타동사,contaminate with,with,-,con+taminate,contamination,contend와 혼동,pollute,purify,contaminate water with chemicals,The lab was contaminated.,with 패턴 반드시 외우기.,환경,상,3,O/X: contaminate=정화하다 → X,Q1 명사형? contamination
purifier,noun,정화 장치,공기·물 등을 깨끗하게 하는 기기.,purify에서 파생,air purifier,일상,명사,가산,purifier for,for,-,purify+er,purification,pollutant과 혼동,cleaner,pollutant,water purifier,They bought an air purifier.,정수기 관련 자주 등장.,환경/가정,중,2,O/X: purifier=오염원 → X,Q1 동사형? purify
litter,verb/noun,쓰레기; 어지르다,버려진 쓰레기 또는 흩뿌려 놓음.,Old French litiere,동물 새끼 → 한 배,일상,명/동,타동/자동,litter with,with,-,litt+er,littering,letter와 혼동,trash,clean,Don't litter.,The street was littered with bottles.,with 패턴 기억.,환경,상,1,O/X: litter=정리하다 → X,Q1 명사형? littering
threat,noun,위협,해를 끼칠 가능성이나 공포를 주는 요소.,Old English þreat,환경·정치에서 자주,격식/일상,명사,가산,threat to,to,-,threat,threaten,treat와 혼동,danger,protection,a threat to wildlife,They pose a serious threat.,to 패턴 필수.,사회/환경,상,2,O/X: threat=보호 → X,Q1 동사형? threaten
threaten,verb,위협하다,해를 끼칠 가능성을 언급하거나 암시함.,threat에서 파생,기후 변화 위협,일상/격식,타동사,타동사,threaten to-v,to-v,-,threat+en,threatening,treat와 혼동,menace,protect,He threatened to leave.,storms threaten the coast,threaten to-v 암기.,사회/환경,상,2,O/X: threaten=보호하다 → X,Q1 형용사형? threatening
threatening,adjective,위협적인,공포·해를 줄 듯한 모습.,threaten에서 파생,날씨 묘사,일상,형용사,-,threatening to,to,-,threat+en+ing,threat,treating과 혼동,menacing,harmless,a threatening tone / threatening clouds,He looked threatening.,날씨 표현 중요.,일반/환경,중,2,O/X: threatening=안전한 → X,Q1 명사형? threat
processed,adjective,가공된,원재료가 처리되어 변화된 상태.,process에서 파생,processed food,일상,형용사,-,processed into,into,-,process+ed,processing,procession과 혼동,refined,raw,processed food / processed materials,This is highly processed.,raw vs processed 대비.,식품/산업,중,2,O/X: processed=천연 그대로 → X,Q1 반의어? raw
