단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
proportion,noun,비율; 부분,전체 대비 특정 부분의 크기.,pro(앞)+portio(몫),신체 균형 ‘프로포션’,격식/일상,명사,"가산, 불가산","proportion of, to",해당 없음,해당 없음,pro+portion,proportional,portion과 혼동,ratio,imbalance,the proportion of A to B,The room has good proportions.,portion과 구별.,"수학, 일반",상,3,X,"O, X: proportion=포션(음식) → X, Q1 형용사형? proportional"
proportional,adjective,비례하는,두 값이 일정한 비율을 유지함.,proportion에서 파생,수학 핵심,격식,형용사,해당 없음,proportional to,해당 없음,해당 없음,proportion+al,proportion,professional과 혼동,relative,disproportionate,proportional growth,Salary is proportional to effort.,to 필수.,"수학, 경제",상,3,X,"O, X: proportional 뒤 전치사 for → X, Q1 명사형? proportion"
portrait,noun,초상화; 인물 묘사,사람의 얼굴·인물을 그린 그림 또는 사진.,프랑스어 portraire,비유: 성격 묘사,격식/일상,명사,가산,portrait of,해당 없음,해당 없음,portray+trait,portray,portal과 혼동,image,landscape,a portrait of the king,The novel offers a portrait of society.,portrait ↔ portray 구별.,"예술, 문학",상,3,X,"O, X: portrait=동사 → X, Q1 동사형? portray"
portray,verb,묘사하다; 초상화로 그리다,인물·상황을 그림·글로 표현함.,프랑스어 portraire,영화·문학 필수,격식,타동사,타동사,portray as,해당 없음,해당 없음,por+tray,portrayal,betray와 혼동,depict,distort,portray him as a hero,The film portrays reality.,portrayal 명사형 기억.,"문학, 예술",상,4,X,"O, X: portray는 자동사 → X, Q1 명사형? portrayal"
elaborate,"adjective, verb",정교한; 자세히 설명하다,세부사항이 많고 복잡함.,e(밖)+labor(일),동사: 자세히 서술,격식,"형, 동",타동사,elaborate on,on,해당 없음,e+labor+ate,elaboration,liberate와 혼동,detailed,simple,"an elaborate design, elaborate on your plan",He elaborated the idea.,"형용사, 동사 모두 중요.","학술, 일반",상,4,X,"O, X: elaborate는 명사 → X, Q1 전치사? on"
memorial,"noun, adjective",기념물; 기념의,사람·사건을 기리는 구조물 또는 행사.,memory에서 파생,묘비·추모식 포함,격식,"명사, 형용사",가산,"memorial to, for",해당 없음,해당 없음,memory+ial,memorize,memory와 혼동,monument,forgetting,a war memorial,They held a memorial service.,monument와 비교.,"역사, 문화",중,3,X,"O, X: memorial=기억 → X, Q1 유사어? monument"
monument,noun,기념물,중요한 인물·사건을 기념하는 구조물.,라틴어 monumentum,비유적: 위대한 업적,격식/일상,명사,가산,monument to,해당 없음,해당 없음,monere(기억하게)+ment,monumental,moment와 혼동,memorial,ruin,a historic monument,His work is a monument to courage.,memorial과 차이 인식.,"역사, 문화",상,3,X,"O, X: monument=순간 → X, Q1 형용사형? monumental"
distinct,adjective,뚜렷한; 분명히 구별되는,서로 다른 두 요소가 명확히 구분됨.,dis(떨어)+stinguere(구별),음성학 ‘분절음의’,격식,형용사,해당 없음,distinct from,해당 없음,해당 없음,dis+stinct,distinctive,instinct와 혼동,clear,vague,distinct differences,The sound is distinct from noise.,distinct vs distinctive 구별.,"학문, 일반",상,4,X,"O, X: distinct=본능적인 → X, Q1 관련 형용사? distinctive"
distinguished,adjective,뛰어난; 저명한,성과·업적이 뛰어나 널리 인정됨.,distinguish에서 파생,품위 있는 느낌,격식,형용사,해당 없음,distinguished for,해당 없음,해당 없음,distinguish+ed,distinction,distinct와 혼동,notable,unknown,a distinguished professor,She had a distinguished career.,distinguished=저명한 암기.,"학문, 사회",상,4,X,"O, X: distinguished=평범한 → X, Q1 동사형? distinguish"
institute,"noun, verb",기관; 설립하다,특정 목적을 가진 공식 조직 또는 제도 시행.,라틴어 instituere,verb: 제도화하다,격식,"명사, 동사",타동사,institute + N,해당 없음,해당 없음,in+stitute(세우다),institution,institute와 institution 혼동주의,establish,abolish,"research institute, institute reforms",The policy was instituted.,institution과 비교.,"학문, 사회",상,4,X,"O, X: institute는 동사 가능 → O, Q1 명사형? institution"
