"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"irony","noun","아이러니; 반어법","기대한 것과 실제가 반대되는 상황 또는 표현.","그리스 eironeia(가식)","문학·일상 모두 사용","격식/일상","명사","가산, 불가산","irony of","해당 없음","해당 없음","iron+y","ironic","iron과 혼동","sarcasm","literalness","The irony is obvious.","Irony is common in satire.","ironic, ironically와 세트 학습.","문학, 일반","상","3","X","O, X: irony는 반어법 의미도 있다 → O, Q1 형용사형? ironic"
"ironic(al)","adjective","아이러니한; 반어적인","기대와 다른 상황을 드러냄.","irony에서 파생","-al 탈락형 모두 사용","격식/일상","형용사","해당 없음","ironic about","해당 없음","해당 없음","irony+ic","ironically","iconic과 혼동","sarcastic","direct","an ironic twist","His comment was ironic.","irony와 형태 대비.","문학, 일상","상","3","X","O, X: ironic=직설적 → X, Q1 부사형? ironically"
"analogy","noun","유추; 비유","둘의 유사성을 기반으로 이해하는 방법.","ana(위)+logos(말)","학문·교육 핵심","격식","명사","가산","analogy between","해당 없음","해당 없음","ana+logy","analogous","analysis와 혼동","comparison","difference","an analogy between A and B","He explained it by analogy.","analogous와 세트.","언어, 학문","중","4","X","O, X: analogy=분석 → X, Q1 형용사형? analogous"
"abstract","adjective, noun, verb","추상적인; 초록; 추출하다","구체적이지 않고 개념적인 성질.","ab(떼어)+trahere(끌다)","명사: 논문 요약","격식","형, 명, 동","타동사","abstract + N","해당 없음","해당 없음","ab+stract","abstraction","contract와 혼동","conceptual","concrete","an abstract idea, write an abstract, abstract data","Abstract art is popular.","abstract vs concrete 반대 관계.","학문, 예술","상","4","X","O, X: abstract는 명사 가능 → O, Q1 반의어? concrete"
"concrete","adjective, noun","구체적인; 콘크리트","형태·사실이 분명한 것.","con(함께)+crescere(자라다)","명사: 건축 자재","일상/격식","형, 명","해당 없음","concrete in","해당 없음","해당 없음","con+crescere","concretion","concert와 혼동","tangible","abstract","concrete example","Give a concrete answer.","추상 vs 구체 꼭 대비.","학문, 일반","상","3","X","O, X: concrete=추상적 → X, Q1 형용사 의미? 구체적인"
"polish","verb, noun","윤내다; 다듬다","표면을 매끄럽게 하거나 내용을 세련되게 함.","Polish(폴란드)와 철자 동일","비유적: 글·기술을 다듬다","일상","동사, 명사","타동사","polish + N","해당 없음","해당 없음","pol(닦다)+ish","polished","Polish(국적)과 혼동","refine","roughen","polish shoes, polish your writing","She polished the design.","국적 Polish와 구별.","일상, 업무","상","3","X","O, X: polish는 명사 가능 → O, Q1 명사 의미? 광택제"
"craft","noun, verb","기술; 공예; 정교하게 만들다","숙련된 손기술 또는 제작 행위.","Old English cræft(기술)","항공기·선박 의미도","일상/격식","명사, 타동사","타동사","craft + N","해당 없음","해당 없음","craft","craftsman","graft와 혼동","skill","clumsiness","traditional craft, craft a story","He crafts fine furniture.","craftsmanship 핵심.","예술, 기술","상","4","X","O, X: craft는 동사 가능 → O, Q1 직업 형태? craftsman"
"crafty","adjective","교활한; 술책 많은","기술적으로 영리하지만 속임수 있는 성향.","craft에서 파생","부정적 뉘앙스","일상","형용사","해당 없음","crafty at","해당 없음","해당 없음","craft+y","craftiness","craft와 혼동","cunning","honest","a crafty plan","He gave a crafty smile.","craft ≠ crafty 의미 대비.","성격, 사회","중","3","X","O, X: crafty=정직한 → X, Q1 명사형? craftiness"
"craftsman","noun","장인; 기능공","손기술로 정교한 작업을 하는 사람.","craft에서 파생","여성: craftswoman","일상/격식","명사","가산","craftsman of","해당 없음","해당 없음","craft+sman","craftsmanship","crewman과 혼동","artisan","amateur","a skilled craftsman","Craftsmen built the temple.","artisan, craft 비교.","예술, 기술","중","3","X","O, X: craftsman=공예품 → X, Q1 여성형? craftswoman"
"authentic","adjective","진짜의; 진품의; 신뢰할 만한","위조되지 않은, 원본의 상태.","그리스 authentikos","음식·경험 ‘현지의’","격식/일상","형용사","해당 없음","authentic to","해당 없음","해당 없음","authent(진짜)+ic","authenticity","author와 혼동","genuine","fake","authentic food, authentic document","The painting is authentic.","authentic vs fake 대비.","문화, 일반","상","3","X","O, X: authentic=가짜 → X, Q1 명사형? authenticity"
