"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"collectivity","noun","집단성; 공동체성","개인보다 집단 단위로 작용하는 성질.","collective에서 파생","사회학 용어","격식","명사","불가산","collectivity of","해당 없음","해당 없음","collective+ity","collective","collection과 혼동","community","individuality","the collectivity of workers","Human behavior shifts in collectivity.","collective와 세트.","사회, 정치","중","3","X","O, X: collectivity=개인주의 → X, Q1 형용사형? collective"
"admire","verb","감탄하다; 존경하다","뛰어난 점을 높이 평가해 감탄함.","ad+mirari(놀라다)","풍경 감탄 의미도","일상","타동사","타동사","admire + N","해당 없음","해당 없음","ad+mir","admiration","admit과 혼동","respect","despise","I admire your courage.","They admired the view.","admiration과 세트.","일상, 감정","상","2","X","O, X: admire=싫어하다 → X, Q1 명사형? admiration"
"admiration","noun","감탄; 존경","뛰어난 점을 높게 평가하는 감정.","admire에서 파생","대상·행위 모두 사용","일상/격식","명사","불가산","admiration for","for","해당 없음","admire+ation","admiring","adoration과 혼동","respect","disrespect","show admiration for him","She felt deep admiration.","admire, admirable 구분.","감정, 일반","상","2","X","O, X: admiration=불만 → X, Q1 동사형? admire"
"assess","verb","평가하다; 산정하다","가치·수준·상황을 판단하거나 계산.","ad+sedere(앉아 고려하다)","세금 평가도","격식","타동사","타동사","assess + N","해당 없음","해당 없음","ass+ess","assessment","access와 혼동","evaluate","ignore","assess the damage","The test assesses ability.","assessment 반드시 암기.","학문, 행정","상","3","X","O, X: assess=접근하다 → X, Q1 명사형? assessment"
"estimate","verb, noun","추정하다; 추정치","정확하지 않지만 합리적으로 계산함.","Latin aestimare(평가하다)","명사/동사 모두 중요","일상/격식","동, 명","타동사, 가산","estimate of","of","해당 없음","esti+mate","estimation","esteem과 혼동","approximate","measure exactly","estimate the cost, a rough estimate","He estimated the distance.","estimate vs esteem 구별.","일반","상","3","X","O, X: estimate=존경하다 → X, Q1 명사형? estimate"
"assessment","noun","평가; 판단","상황·가치·능력을 공식적으로 평가한 것.","assess에서 파생","교육 성취도 평가","격식","명사","가산, 불가산","assessment of","of","해당 없음","assess+ment","assessor","assignment과 혼동","evaluation","guess","health assessment, risk assessment","The assessment was accurate.","assess와 세트.","학문, 행정","상","3","X","O, X: assessment=할당 → X, Q1 동사형? assess"
"present","verb, adjective, noun","제시하다; 현재; 선물","앞에 내놓음·현재 시점·증정물.","prae(앞)+sentare(보내다)","발표하다 의미","일상/격식","동, 형, 명","타동사","present A to B","to","A to B","pre+sent","presentation","absent과 혼동","show","hide","present your idea, the present situation","He gave her a present.","발음: 프레즌트(명사), 프리젠트(동사).","일반","상","3","X","O, X: present=부재하다 → X, Q1 명사형? present(선물)"
"range","noun, verb","범위; 이르다","특정 구간 또는 넓게 분포함.","Old French rangier","가격대, 산맥 등","일상","명, 동","자동사","range from A to B","from, to","해당 없음","rang(e)","ranger","rank과 혼동","scope","limit","price range, temperatures range from 0 to 30","The mountains range north.","A to B 구조 필수.","일반, 자연","상","2","X","O, X: range=한 점 → X, Q1 전치사 패턴? from A to B"
"formal","adjective","격식 있는; 정식의","규칙·형식에 따라 엄격한 상태.","form(형태)+al","의복·행사 formal","격식/일상","형용사","해당 없음","formal in","해당 없음","해당 없음","form+al","formality","former와 혼동","ceremonial","casual","formal education, formal dress","The tone is too formal.","formality와 세트.","사회, 교육","상","2","X","O, X: formal=편한 → X, Q1 명사형? formality"
"attempt","verb, noun","시도하다; 시도","목표를 이루기 위해 행동을 해봄.","ad+tenter(잡아당기다)","범죄 시도에도 쓰임","일상/격식","동, 명","타동사, 가산","attempt to-v","to-v","해당 없음","at+tempt","attempted","tempt와 혼동","try","give up","attempt to solve the problem, an attempt on his life","They attempted escape.","attempt to-v 구조.","일반","상","2","X","O, X: attempt는 자동사 → X, Q1 전치사? to-v"
