"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"fertility","noun","비옥함; 생식력","땅의 비옥함 또는 생명이 번식할 능력.","Latin fertilis","경제·생물학 확장","격식","명사","불가산","fertility of","of","해당 없음","fertile+ity","fertile","fragility와 혼동","richness","barrenness","soil fertility, fertility rate","Fertility is decreasing worldwide.","농업·인구학에서 자주 등장.","농업, 생물","상","2","X","O, X: fertility=불모 → X, Q1 형용사형? fertile"
"barren","adjective","불모의; 메마른","식물이 자라지 않거나 아이를 가질 수 없는 상태.","Old French baraigne","비유적 의미 가능","격식","형용사","해당 없음","barren land","해당 없음","해당 없음","barr+en","barrenness","barrel과 혼동","infertile","fertile","barren soil, a barren desert","The land remains barren.","fertile의 반의어.","농업, 비유","중","2","X","O, X: barren=비옥한 → X, Q1 명사형? barrenness"
"drain","verb, noun","배수하다; 고갈시키다","물이 빠지거나 자원이 소모됨.","Old English drēahnian","감정 drain","일상","동, 명","타동, 자동","drain from","from","해당 없음","drain","drainage","train과 혼동","empty","fill","drain water, energy drained","The sink is draining slowly.","drain energy 표현 중요.","일상, 기술","상","1","X","O, X: drain=채우다 → X, Q1 명사형? drainage"
"drainage","noun","배수; 배수 시스템","물이 빠져나가는 과정 또는 장치.","drain에서 파생","토목·농업","격식","명사","불가산","drainage system","해당 없음","해당 없음","drain+age","drain","damage와 혼동","sewerage","flooding","improve drainage","The field lacks proper drainage.","농업·건설 필수 용어.","토목, 농업","중","2","X","O, X: drainage=홍수 유발 → X, Q1 동사형? drain"
"take over","phrasal verb","인수하다; 장악하다","권리·업무·지위를 넘겨받아 통제함.","take + over","기업 인수","일상/비즈니스","동사구","타동사","take over + N","해당 없음","해당 없음","take+over","takeover","take off와 혼동","assume control","relinquish","take over a company","She took over his job.","비즈니스 필수 표현.","비즈니스","상","2","X","O, X: take over=포기하다 → X, Q1 명사형? takeover"
"take advantage of","expression","~을 이용하다; 악용하다","상황·사람을 유리하게 활용함.","advantage(이익)","부정·긍정 둘 다 가능","일상","구","타동","take advantage of + N","of","해당 없음","take+advantage+of","advantage","take after와 혼동","exploit","miss out","take advantage of opportunities","He took advantage of her kindness.","of 필수. 악용 의미도 있음.","일상","상","1","X","O, X: take advantage for → X, Q1 반의어? miss out"
"make use of","expression","활용하다","어떤 자원을 목적에 맞게 사용함.","Old English macian","use와 의미 동일","일상","구","타동","make use of + N","of","해당 없음","make+use+of","usage","make do with와 혼동","utilize","ignore","make use of data","We made use of every tool.","of 필수.","일상","상","1","X","O, X: make use for → X, Q1 동의어? utilize"
"utility","noun","유용성; 공공 요금","쓸모 있음 또는 전기·가스 서비스.","Latin utilitas","경제학 효용","격식/일상","명사","가산, 불가산","utility of","of","해당 없음","util+ity","utilities","utilize와 혼동","usefulness","uselessness","water utility, utility cost","Utility companies raised prices.","경제학 ‘효용’ 의미 중요.","경제, 공공","상","2","X","O, X: utility=무용성 → X, Q1 복수형? utilities"
"conserve","verb","보존하다; 절약하다","자원을 보호하거나 아끼는 행위.","Latin conservare","환경 분야 강조","격식","타동사","타동사","conserve + N","해당 없음","해당 없음","con+serve","conservation","preserve와 혼동","save","waste","conserve water","We must conserve energy.","preserve와 차이(절약 vs 유지).","환경","상","2","X","O, X: conserve=낭비하다 → X, Q1 명사형? conservation"
"preserve","verb","보존하다; 지키다","원래 상태를 유지해 보호함.","Latin praeservare","문화재·음식 저장","격식","타동사","타동","preserve from","from","해당 없음","pre+serve","preservation","reserve와 혼동","maintain","destroy","preserve nature","The site is well preserved.","conserve와 구분: 보존·지킴.","환경, 역사","상","2","X","O, X: preserve=파괴하다 → X, Q1 명사형? preservation"
