단어,품사,주요 의미,핵심 의미 요약,어원,의미 확장,뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어,형태론 분석,파생어,혼동 주의,동의어,반의어,콜로케이션,예문,학습 팁,분야 태그,빈도,난이도,OX 문항,미니 퀴즈
remain,verb,남다; 여전히 ~이다,어떤 상태로 계속 존재함.,Latin remanere,remain to be seen,일상/격식,자동사,자동,remain + 형용사/명사,-,보어,re+main,remainder,remind와 혼동,stay,disappear,He remained calm.,Only a few remained.,보어와 함께 쓰임.,일반,상,1,O/X: remain=즉시 사라지다 → X,Q1 표현? remain calm
utilize,verb,활용하다; 이용하다,보다 효율적으로 사용함.,French utiliser,격식체,격식,타동사,타동,utilize + N,-,-,util+ize,utilization,use와 혼동,use,waste,We utilized the data.,The tool can be utilized easily.,use보다 격식.,학문/기술,상,2,O/X: utilize=버리다 → X,Q1 명사형? utilization
make use of,expression,~을 활용하다,자원을 실용적으로 이용.,use와 동일,격식·일상,일상,구,-,make use of + N,of,-,make+use+of,use,take advantage of와 혼동,use,ignore,Make use of time wisely.,We made use of the space.,of 필수.,일반,상,1,O/X: make use of=무시하다 → X,Q1 유사 표현? utilize
utility,noun,유용성; 공익 서비스,쓸모/전기·가스와 같은 설비.,Latin utilitas,경제·공공,격식,명사,가산/불가산,utility of,of,-,util+ity,utilitarian,utilize와 혼동,usefulness,uselessness,the utility of a system / utility bills,Water utility services are expensive.,utilitarian 철학 연결.,경제/공익,중,2,O/X: utility=무용 → X,Q1 형용사형? utilitarian
conserve,verb,보존하다; 절약하다,자원·에너지를 보호하며 아껴씀.,Latin conservare,환경 관련,격식,타동사,타동,conserve + N,-,-,con+serve,conservation,preserve와 혼동,save,waste,We must conserve water.,Energy was conserved.,환경 단어 빈출.,환경,상,1,O/X: conserve=낭비하다 → X,Q1 명사형? conservation
preserve,verb,보존하다; 보호하다,원래 상태를 유지하도록 지킴.,Latin praeservare,문화유산 preserve,격식,타동사,타동,preserve + N,-,-,pre+serve,preservation,reserve와 혼동,protect,damage,They preserved the tradition.,The food was preserved.,conserve와 유사하지만 더 ‘원형 유지’.,문화/환경,상,2,O/X: preserve=파괴하다 → X,Q1 명사형? preservation
conservation,noun,보존; 보호,자연·에너지·문화의 보호 행위.,Latin conservare,자원 관리,격식,명사,불가산,conservation of,of,-,con+serv+ation,conserve,conversation과 혼동,preservation,destruction,wildlife conservation,The conservation of energy is vital.,conserve와 세트.,환경,상,1,O/X: conservation=파괴 → X,Q1 동사형? conserve
conservative,adjective/noun,보수적인; 보수주의자,변화를 적게 선호하는 성향.,Latin conservare,정치·태도,격식/일상,형/명,-,conservative view,-,-,con+serve+ative,conservation,conversational과 혼동,traditional,liberal,conservative policies,He is a conservative.,political liberal 대비.,정치/사회,중,2,O/X: conservative=혁신적 → X,Q1 반의어? liberal
generate,verb,생성하다; 발생시키다,에너지·아이디어 등을 만들어냄.,Latin generare,전기 generate,격식/일상,타동,타동,generate + N,-,-,gen+er+ate,generation,degenerate와 혼동,produce,destroy,generate power,The idea generated interest.,gen=탄생 어근.,기술/일반,상,2,O/X: generate=파괴하다 → X,Q1 명사형? generation
generation,noun,세대; 발생,동시대를 사는 집단 또는 생성.,Latin generatio,gen X/Y/Z,일상/격식,명사,가산/불가산,generation of,of,-,gen+er+ation,generate,degeneration과 혼동,age group,destruction,the young generation / generation of power,A new generation emerged.,세대론 중요.,사회/일반,상,1,O/X: generation=파괴 → X,Q1 동사형? generate
