단어,품사,주요 의미,핵심 개념 요약,어원,의미 확장,뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어,형태론 분석,파생어,혼동 주의,동의어,반의어,콜로케이션,예문,학습 팁,분야 태그,빈도,난이도,OX 문항,미니 퀴즈
arrogance,noun,"오만, 거만",자신을 과대평가하여 타인을 낮게 보는 태도.,라틴어 arrogare,부정적 성격 묘사로 확장,부정적/격식,명사,불가산,-,arrogance of,-,ar-+rog(요구)+ance,arrogant,pride와 혼동주의,conceit,humility,sheer arrogance,His arrogance annoyed everyone.,arrogant/arrogance 세트 암기.,성격,중,4,O/X: arrogance는 불가산명사이다 → O,Q1 반의어? humility Q2 품사? noun Q3 collocation?
modest,adjective,겸손한; 많지 않은,스스로를 과장하지 않거나 규모가 크지 않음.,라틴어 modestus,‘적당한’ 의미로 확장,긍정적/격식,형용사,-,-,modest about,-,modest+ -y,modesty,moderate와 혼동,humble,arrogant,modest income,She is modest about her success.,'적당한 modest' 뜻도 중요.,성격/경제,고,4,O/X: modest는 항상 성격 의미만 있다 → X,Q1 명사형? modesty Q2 반의어? arrogant
awkward,adjective,어색한; 불편한; 서투른,능숙하지 못하거나 상황이 불편함.,중세 영어 awk(거꾸로)+ward,사회적·신체적 상황 모두,일상,형용사,-,-,-,-,awk + ward,awkwardly,embarrassing과 구분,clumsy,comfortable,awkward situation,It was an awkward moment.,awk-가 ‘서툼’을 의미.,사회/일상,고,3,O/X: awkward는 긍정적 의미이다 → X,Q1 부사형? awkwardly Q2 유사어? clumsy
awkwardly,adverb,어색하게; 서툴게,능숙하지 못하게 행동함.,awkward + ly,일상/회화,부사,-,-,-,-,awkward + ly,awkward,hardly와 혼동주의,clumsily,smoothly,She smiled awkwardly.,He moved awkwardly.,awkward↔awkwardly 구분.,일상,중,3,O/X: awkwardly는 awkward의 부사형이다 → O,Q1 의미? Q2 반의어?,
sincere,adjective,"진실한, 진심어린",속마음 그대로 표현함.,라틴어 sincerus(순수한),사과·감정 표현에서 자주 사용,격식/일상,형용사,-,-,sincere about,-,sin(하나)+cere(성실),sincerity,serious와 혼동주의,genuine,insincere,a sincere apology,She is sincere in her words.,사과 표현에 자주 등장.,감정/커뮤니케이션,고,3,O/X: sincere는 부정적 의미이다 → X,Q1 명사형? sincerity Q2 반의어?
sincerity,noun,"진심, 성실함",거짓 없이 진심을 보이는 태도.,sincere에서 파생,격식적 문맥에서 많이 사용,격식,명사,불가산,-,-,-,sincere + ity,sincere,honesty와 구분,honesty,insincerity,with sincerity,I could feel her sincerity.,sincere와 세트 암기.,감정,중,3,O/X: sincerity는 가산명사이다 → X,Q1 뜻? Q2 반의어?
sincerely,adverb,"진심으로, 성실하게",진심 어린 마음으로 행동함.,sincere + ly,편지 마무리 표현에 자주 사용,격식,부사,-,-,-,-,sincere + ly,sincerity,seriously와 구분,honestly,insincerely,Sincerely yours.,I sincerely apologize.,편지 표현 ‘Sincerely’ 암기.,커뮤니케이션,중,2,O/X: sincerely는 편지 서두에 사용된다 → X (말미),Q1 편지에서 위치? 끝 Q2 의미?
genuine,adjective,진짜의; 진실한,가짜가 아닌 원래 그대로임.,라틴어 genuinus(천연의),감정·물건 모두 사용,격식/일상,형용사,-,-,-,-,genu-기원,genuinely,sincere와 부분 중복,"real, authentic",fake,a genuine smile,This is genuine leather.,authentic과 비교.,감정/물건,고,4,O/X: genuine은 감정에만 쓴다 → X,Q1 반의어? fake Q2 부사형?
tolerate,verb,"참다, 용인하다",불편함·차이를 받아들임.,라틴어 tolerare(견디다),사회·문화적 맥락에서도 사용,격식,타동사,타동사,-,tolerate + O,-,toler + ate,tolerance,endure와 구분,"endure, accept",reject,tolerate differences,I cannot tolerate noise.,tolerance와 함께 암기.,사회/심리,고,5,O/X: tolerate는 자동사이다 → X,Q1 명사형? tolerance Q2 유사어?
endurance,noun,"지구력, 인내심",힘든 상황을 오래 버티는 능력.,endure에서 파생,운동·심리 모두 사용,격식/일상,명사,불가산,-,-,-,endure + ance,endure,patience와 구분,stamina,weakness,great endurance,He showed remarkable endurance.,endurance=지구력 강조.,운동/심리,중,4,O/X: endurance는 가산명사이다 → X,Q1 동사형? endure Q2 유사어?
