"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"precision","noun","정확성, 정밀","오차 없이 정확한 상태나 정도.","라틴어 precisio(정확히 자른 것)에서 유래, 중세 영어를 거쳐 현재 의미 확립","측정, 분석, 과학적·기술적 맥락에서 정확함을 강조","격식적·기술적","명사","해당 없음","불가산","precision in","해당 없음","precise + -ion","precise, precisely","accuracy(혼동 가능)","accuracy, exactness","inaccuracy","high precision, precision instrument","1) The engineer ensured precision in the measurements. 2) High-precision machinery is used in aerospace. 3) Precision is key in surgery.","정확·정밀 관련 단어와 함께 연상","과학, 기술, 일상","중","5","X","Q1: 'Precision'의 의미는? (A) 정확성 (B) 부정확성 (C) 속도 → A, Q2: 정밀도를 강조하는 형용사는? (A) precise (B) imprecise (C) fast → A, Q3: 'precision instrument' 뜻? (A) 정확한 기구 (B) 빠른 기구 (C) 큰 기구 → A"
"estimate","verb, noun","추정하다, 견적","정확하지 않지만 합리적인 판단이나 계산을 내리다.","라틴어 aestimare(평가하다)에서 유래, 중세 영어로 넘어오면서 추정·평가 의미 확대","수치·비용·시간 등에 대한 추정, 평가","중립적·일상적","타동사, 명사","가산 가능","estimate + O, estimate that ...","보어 가능","est- 어근(가치 평가)","estimation, estimator","guess(혼동 가능)","calculate, assess","know exactly","rough estimate, cost estimate","1) I estimate that the project will take three weeks. 2) The contractor gave an estimate for the repair. 3) Experts estimate the population at 2 million.","숫자 추정과 함께 estimate/estimation 세트로 기억","경제, 일상, 공학","고","4","X","X","Q1: 'Estimate'의 품사는? (A) 동사만 (B) 명사만 (C) 둘 다 → C, Q2: estimate ~ 뜻? (A) 정확히 측정 (B) 추정 (C) 제거 → B, Q3: 'cost estimate' 의미? (A) 비용 추정 (B) 시간 추정 (C) 사람 수 → A"
"complement","noun, verb","보완하다, 보충물","전체를 완성하거나 보충하는 역할을 하다.","라틴어 complementum(완성)에서 유래, 영어로 넘어오면서 보완·보충 의미 확립","수량·품질·역할 등을 채워 완전하게 만들다","격식적","타동사, 명사","가산","complement to, complement with","해당 없음","com- (함께) + plement(채우다)","complementary, complemented","compliment(혼동 주의)","supplement, enhance","diminish","complementary skills, complement each other","1) This wine complements the meal perfectly. 2) The scarf is a complement to her dress. 3) Complementary colors improve design aesthetics.","'compliment'와 혼동 주의, 의미·발음 비교","일상, 문화, 예술","중","5","X","X","Q1: 'Complement'의 의미는? (A) 칭찬 (B) 보완 (C) 제거 → B, Q2: 'complementary' 의미? (A) 보충의 (B) 칭찬의 (C) 파괴의 → A, Q3: 올바른 전치사? complement ___ → to"
"seize","verb","붙잡다, 장악하다","강제로 움켜쥐거나 장악하다.","라틴어 'sacrire'(잡다)에서 유래, 프랑스어 saisir를 거쳐 영어로 도입","물리적·권력적 장악 모두 가능","격식적·일상적 모두","타동사","해당 없음","해당 없음","seize + O","해당 없음","s- (강조) + seize(잡다)","seizure, seizable","grab(일상적), capture(법적)","grab, capture","release","seize the opportunity, seize control","1) The police seized the stolen goods. 2) He seized the moment to speak. 3) The rebels seized the city.","grab과 혼동 가능, 법적·정치적 문맥과 구분","법, 정치, 일상","고","6","X","Q1: 'Seize'의 의미? (A) 놓치다 (B) 붙잡다 (C) 던지다 → B, Q2: 명사형은? (A) seizure (B) seizing (C) seized → A, Q3: 'seize the day' 의미? (A) 순간을 잡다 (B) 날을 놓치다 (C) 휴식 → A"
"flee","verb","도망치다, 달아나다","위험·위협으로부터 급히 벗어나다.","고대 영어 flēon에서 유래, 독일어 fliehen과 어원 공유","전쟁·위기·범죄 상황에서 도망","비격식~문학적","자동사","해당 없음","해당 없음","flee from + N","해당 없음","어근 flē- (날다, 도망)","fled, fleeing","escape(유사), run away","escape, run away","stay, remain","flee the scene, flee from danger","1) He fled the country to avoid arrest. 2) Civilians fled from the war zone. 3) The thief fled the building.","flee, run away 구분, 시제 변화 주의","법, 사회, 문학","중","5","X","Q1: 'flee'의 과거형은? (A) fled (B) flied (C) flown → A, Q2: flee와 유사어? (A) escape (B) attack (C) capture → A, Q3: 올바른 패턴? flee ___ danger → from"
"belong","verb","속하다, 소속되다","어떤 집단·장소·물건의 일부로 자연스럽게 자리 잡다.","고대 영어 'belangian'(적합하다)에서 유래","집단·소속·위치와 연관","일상적·중립","자동사","해당 없음","해당 없음","belong to + N","해당 없음","be- + long(길게, 관련)","belonging","own(혼동 주의)","fit, be part of","misfit","belong to a team, belong to a category","1) She belongs to the local club. 2) This painting belongs to the museum. 3) I feel I belong here.","'belong to' 패턴과 함께 숙지","일상, 사회","고","4","X","Q1: belong 다음 올 전치사는? (A) at (B) to (C) in → B, Q2: 'belong' 품사는? (A) 명사 (B) 동사 (C) 형용사 → B, Q3: 반의어는? (A) fit (B) misfit (C) belong → B"
"demonstrate","verb","증명하다, 보여주다","행동·예시를 통해 명확히 보여주다.","라틴어 demonstratus에서 유래, '보여주다' 의미","실험, 설명, 시위 등 다양한 맥락","격식적·일상적","타동사","해당 없음","해당 없음","demonstrate + O, demonstrate that ...","해당 없음","de- + monstr(보이다) + ate","demonstration, demonstrator","show(일상적)","show, illustrate","conceal","demonstrate ability, demonstrate skill","1) The teacher demonstrated the experiment. 2) He demonstrated his point with charts. 3) Citizens demonstrated against the policy.","'demonstration'과 함께 연상, show와 비교","교육, 사회, 과학","중","5","X","Q1: 'demonstrate'의 의미? (A) 보여주다 (B) 숨기다 (C) 무시하다 → A, Q2: 명사형은? (A) demonstration (B) demonstrator (C) demonstrate → A, Q3: 올바른 패턴? demonstrate ___ → that"
"disastrous","adjective","재앙의, 처참한","큰 피해나 실패를 초래하는 상태.","라틴어 disaster(재앙)에서 파생, 16세기 영어로 도입","사건·결과·영향이 심각히 나쁨을 강조","격식적","형용사","해당 없음","해당 없음","해당 없음","해당 없음","dis- + aster(별, 재앙) + -ous","catastrophic, disastrousness","catastrophe(유사)","catastrophic, devastating","fortunate","disastrous effect, disastrous results","1) The hurricane was disastrous. 2) Their decision had a disastrous impact on the company. 3) The plan proved disastrous.","disaster와 연결하여 연상","사회, 자연, 경제","중","5","X","Q1: 'disastrous' 의미? (A) 행운의 (B) 재앙의 (C) 평범한 → B, Q2: 반의어? (A) fortunate (B) catastrophic (C) devastating → A, Q3: collocation 예? → disastrous impact"
"allocate","verb","할당하다, 배분하다","자원·예산 등을 목적에 맞게 분배하다.","라틴어 allocare(할당하다)에서 유래","예산, 자원, 시간 배분 문맥에서 사용","격식적·행정적","타동사","해당 없음","해당 없음","allocate + O, allocate O to ...","해당 없음","al-(to) + locare(배치)","allocation, reallocatation","assign(혼동 가능)","assign, distribute","hoard","allocate resources, allocate budget","1) The manager allocated funds to each department. 2) Resources were allocated according to need. 3) The government allocated land for housing.","allocate와 allocation 세트로 학습","경제, 행정, 경영","중","5","X","Q1: 'allocate' 의미? (A) 축적하다 (B) 할당하다 (C) 버리다 → B, Q2: 올바른 패턴? allocate ___ → O, O to ..., Q3: 명사형은? (A) allocation (B) allocateion (C) alloc → A"
"designate","verb, adjective","지정하다; 지명된","사람·장소를 공식적으로 지정하거나 이름을 붙이다.","라틴어 designatus에서 유래","공식적/관리적 문맥에서 사용","격식적","타동사, 형용사(past participle)","해당 없음","해당 없음","designate as, designate for ...","해당 없음","de- + signare(표시하다)","designation, designated","nominate(유사)","appoint, nominate","remove","designated driver, designated area","1) He was designated as team leader. 2) The committee designated a site for the festival.","공식 문서 예문으로 패턴 연습","행정, 조직, 법","중","5","X","Q1: 'designate' 의미? (A) 지정하다 (B) 제거하다 (C) 의심하다 → A, Q2: 명사형은? (A) designation (B) designateion (C) desig → A, Q3: 올바른 패턴? designate ___ → as"
