단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
overwhelm,verb,압도하다; 이기다,감정·일·힘에 의해 완전히 눌리는 상태.,over(넘어)+helm(덮다),감정 폭발 의미,일상/격식,타동사,타동사,타동사,overwhelm with,with,해당 없음,over+whelm,overwhelming,overwhelm vs overcome,overpower,calm,be overwhelmed with joy,The task overwhelmed him.,감정·업무 모두 사용.,"감정, 일반",상,3,"O, X: overwhelm=약화시키다 → X, Q1 형용사형? overwhelming"
overwhelming,adjective,압도적인,강렬하여 감당하기 힘듦.,overwhelm에서 파생,긍정·부정 모두 가능,일상,형용사,해당 없음,해당 없음,overwhelming for,for,해당 없음,over+whelm+ing,overwhelmingly,overwhelmed와 혼동,intense,weak,an overwhelming majority,The view was overwhelming.,"overwhelming, overwhelmed 구별.",감정,상,3,"O, X: overwhelming=미미한 → X, Q1 부사형? overwhelmingly"
burden,"noun, verb",짐; 부담; 짐을 지우다,신체적·정신적 무게 또는 부담.,Old English byrthen,세금 부담 등,일상,"명, 동","명, 동",타동사,burden with,with,해당 없음,burd+en,burdensome,border와 혼동,load,relief,"bear a heavy burden, burden him with work",Debt burden is rising.,burdensome 형용사 기억.,"일반, 경제",상,2,"O, X: burden=가벼운 도움 → X, Q1 형용사형? burdensome"
complex,"adjective, noun",복잡한; 복합체,여러 요소가 얽혀 이해하기 어려움.,Latin complecti(얽다),심리학 콤플렉스 의미,격식/일상,"형, 명",해당 없음,해당 없음,complex in,해당 없음,해당 없음,com+plex,complexity,complicate와 혼동,complicated,simple,"a complex issue, a building complex",She has a complex about height.,complex vs complicated 구별.,"학문, 일반",상,3,"O, X: complex=단순함 → X, Q1 명사형? complexity"
intend,verb,의도하다,어떤 목적을 가지고 계획함.,Latin intendere(향하다),intend A for B,격식/일상,타동사,타동사,타동사,"intend to-v, intend A for B",to-v,A for B,in+tend,intention,attend와 혼동,plan,forget,I intend to study.,The gift is intended for you.,'intend to-v' 기본 패턴.,일반,상,2,"O, X: intend=우연히 하다 → X, Q1 명사형? intention"
intentional,adjective,고의적인,우연이 아닌 의도적 행위.,intention에서 파생,법적 의미 강함,격식,형용사,해당 없음,해당 없음,intentional in,해당 없음,해당 없음,intent+ional,intentionally,intensive와 혼동,deliberate,accidental,an intentional act,He intentionally broke it.,intentional↔accidental 대비.,"법, 일반",상,3,"O, X: intentional=실수로 → X, Q1 부사형? intentionally"
abrupt,adjective,갑작스러운; 퉁명스러운,예상 없이 급작스럽고 거친 변화.,Latin abruptus(끊어진),태도 퉁명스러움,격식,형용사,해당 없음,해당 없음,abrupt in,해당 없음,해당 없음,ab+rupt,abruptly,absorb와 혼동,sudden,gradual,an abrupt change,He was abrupt in speech.,태도 의미도 기억.,일반,상,3,"O, X: abrupt=점진적인 → X, Q1 부사형? abruptly"
hostile,adjective,적대적인,강한 반감·대립을 가진 상태.,Latin hostis(적),환경이 ‘험한’ 의미도,격식/일상,형용사,해당 없음,해당 없음,hostile to,to,해당 없음,host+ile,hostility,hostel과 혼동,aggressive,friendly,a hostile environment,He was hostile to the idea.,hostile↔friendly 대비.,"감정, 정치",상,3,"O, X: hostile=친근한 → X, Q1 명사형? hostility"
curiously,adverb,이상하게도; 호기심 있게,기묘함 또는 호기심 나타내는 방식.,curious에서 파생,문학적 뉘앙스,일상,부사,부사,해당 없음,해당 없음,해당 없음,해당 없음,curious+ly,curious,furiously와 혼동,strangely,normally,"Curiously, nobody answered.",He looked curiously at the box.,"curious, curiously 구별.","문학, 일상",상,2,"O, X: curiously=분노하여 → X, Q1 형용사형? curious"
curious,adjective,호기심 많은; 이상한,알고 싶어 하거나 특이함.,Latin curiosus(궁금한),문학적 표현 多,일상/격식,형용사,해당 없음,해당 없음,curious about,about,해당 없음,curi+ous,curiosity,furious와 혼동,inquisitive,indifferent,"a curious child, a curious case",She is curious about everything.,curious case → 이상한 사건.,일반,상,2,"O, X: curious=무관심한 → X, Q1 명사형? curiosity"
